stratum	direction	n	total_c	total_p	direct_c_prime	direct_p	a	a_p	b	b_p	indirect_ab	ci_indirect_lo	ci_indirect_hi	prop_mediated	ci_prop_lo	ci_prop_hi	aic	bic
BRAF_like_cPTC	forward (MAPK->8gMeth->HT)	363	-0.1547	0.0031	-0.1856	0.0000	0.0453	0.3898	0.6831	0.0000	0.0309	-0.0689	0.1299	-0.1999	-3.5546	0.3268	791.0518	802.7350
BRAF_like_cPTC	reverse (HT->8gMeth->MAPK)	363	-0.1547	0.0031	-0.3400	0.0000	0.6747	0.0000	0.2746	0.0001	0.1853	0.0761	0.3025	-1.1979	-6.7658	-0.2672	1010.7448	1022.4280
BRAF_like_cPTC	alt (MAPK->HT->8gMeth)	363	0.0453	0.3898	0.1533	0.0001	-0.1547	0.0031	0.6984	0.0000	-0.1080	-0.2116	-0.0147	-2.3859	-23.2217	18.8066	799.0971	810.7803
RAS_like_FVPTC	forward (MAPK->8gMeth->HT)	91	0.2409	0.0214	0.0348	0.6405	0.2814	0.0069	0.7325	0.0000	0.2061	0.0700	0.3337	0.8554	0.4300	2.6379	190.1522	197.6847
RAS_like_FVPTC	reverse (HT->8gMeth->MAPK)	91	0.2409	0.0214	0.0715	0.6405	0.7423	0.0000	0.2283	0.1378	0.1695	-0.0134	0.3501	0.7034	-0.2270	4.4224	255.5084	263.0410
RAS_like_FVPTC	alt (MAPK->HT->8gMeth)	91	0.2814	0.0069	0.1088	0.1378	0.2409	0.0214	0.7161	0.0000	0.1725	0.0172	0.3042	0.6132	0.1390	1.0465	188.0887	195.6213
All_TCGA_THCA	forward (MAPK->8gMeth->HT)	509	0.0658	0.1382	-0.1203	0.0002	0.2497	0.0000	0.7455	0.0000	0.1861	0.1109	0.2582	2.8290	-16.8245	19.8822	1070.0118	1082.7092
All_TCGA_THCA	reverse (HT->8gMeth->MAPK)	509	0.0658	0.1382	-0.2312	0.0002	0.7155	0.0000	0.4151	0.0000	0.2970	0.2069	0.3895	4.5138	-41.3174	42.2814	1402.3571	1415.0544
All_TCGA_THCA	alt (MAPK->HT->8gMeth)	509	0.2497	0.0000	0.2035	0.0000	0.0658	0.1382	0.7021	0.0000	0.0462	-0.0284	0.1150	0.1850	-0.1786	0.3699	1039.4607	1052.1581
