stratum	dm	n	mean_8g_beta	std_8g_beta	DIO1_mean	FOXE1_mean	NKX2-1_mean	PAX8_mean	SLC5A5_mean	TG_mean	TPO_mean	TSHR_mean
BRAF_like_cPTC	dm1	87	0.3903	0.0625	0.5684	0.1020	0.0741	0.0891	0.5795	0.6607	0.8562	0.1926
BRAF_like_cPTC	dm2	25	0.2562	0.0574	0.3194	0.0597	0.0207	0.0410	0.6016	0.4901	0.4447	0.0724
BRAF_like_cPTC	dm1_minus_dm2_cohend	112	0.1341	2.2346								
RAS_like_FVPTC	dm1	18	0.3619	0.0636	0.4691	0.1053	0.0887	0.0865	0.6032	0.6490	0.7220	0.1718
RAS_like_FVPTC	dm2	39	0.2634	0.0603	0.3667	0.0641	0.0309	0.0528	0.5471	0.5450	0.4174	0.0832
RAS_like_FVPTC	dm1_minus_dm2_cohend	57	0.0985	1.5906								
All_TCGA_THCA	dm1	109	0.3848	0.0630	0.5536	0.1024	0.0751	0.0882	0.5844	0.6575	0.8296	0.1879
All_TCGA_THCA	dm2	68	0.2583	0.0603	0.3404	0.0623	0.0264	0.0480	0.5671	0.5166	0.4255	0.0798
All_TCGA_THCA	dm1_minus_dm2_cohend	177	0.1266	2.0522								
