target	within_slide_adjustment	residual_alignment_rho	p	n
DM1_like_score	slide_mean_only	0.44041596786431836	5.805947770780421e-152	3200
DM1_like_score	coord_only	0.4382222738742454	2.6586116228851323e-150	3200
DM1_like_score	qc_only	0.3027299863505845	8.269109114344064e-69	3200
DM1_like_score	coord_qc	0.29754091199129995	2.0051416620857217e-66	3200
TDS_like_score	slide_mean_only	0.40985584326435837	6.738221270385224e-130	3200
TDS_like_score	coord_only	0.4054114266759205	7.094568247176779e-127	3200
TDS_like_score	qc_only	0.27737652464614493	1.285723111433232e-57	3200
TDS_like_score	coord_qc	0.2733336492513329	6.1440855869145125e-56	3200
MAPK_output_score	slide_mean_only	0.32827867409583994	2.798774211274098e-81	3200
MAPK_output_score	coord_only	0.3380929395110292	2.1152938221378996e-86	3200
MAPK_output_score	qc_only	0.130678807195196	1.160071539534448e-13	3200
MAPK_output_score	coord_qc	0.151336247444946	7.490433703347025e-18	3200
CAF_ECM_score	slide_mean_only	0.3913422668149219	1.3175046681250957e-117	3200
CAF_ECM_score	coord_only	0.3187594720468234	1.7260606272586965e-76	3200
CAF_ECM_score	qc_only	0.3430912809415313	4.408845583360031e-89	3200
CAF_ECM_score	coord_qc	0.28013411268399535	8.857635806432494e-59	3200
Epithelial_score	slide_mean_only	0.30354531957151715	3.453749199533514e-69	3200
Epithelial_score	coord_only	0.3329971500729639	1.0186962170455416e-83	3200
Epithelial_score	qc_only	0.11956151912221864	1.1598263953772848e-11	3200
Epithelial_score	coord_qc	0.15301066875104186	3.217892380859614e-18	3200
