score	target	adjustment	n	spearman_rho	spearman_p
prob_DM1_uni_loto	dedifferentiation_proxy_score	none	54	0.5272727272727272	4.1940487750114625e-05
prob_DM1_uni_loto	dedifferentiation_proxy_score	dm_label	54	0.18421955403087475	0.18236732060403496
prob_DM1_uni_loto	dedifferentiation_proxy_score	tss	54	0.31968744044215736	0.018450529430107995
prob_DM1_uni_loto	dedifferentiation_proxy_score	tss_dm_label	54	0.11835334476843909	0.39401039641760727
prob_DM1_uni_loto	dedifferentiation_proxy_score	histology_molecular_sex_age	54	0.4431103487707261	0.00079204941042524
prob_DM1_uni_loto	dedifferentiation_proxy_score	full	54	0.10737564322469981	0.4396276861356242
prob_DM1_uni_oof	dedifferentiation_proxy_score	none	54	0.41017724413950823	0.002066988036516249
prob_DM1_uni_oof	dedifferentiation_proxy_score	dm_label	54	0.0512673908900324	0.7127510235975079
prob_DM1_uni_oof	dedifferentiation_proxy_score	tss	54	0.23407661520869066	0.08845323943528942
prob_DM1_uni_oof	dedifferentiation_proxy_score	tss_dm_label	54	0.052487135506003424	0.7062217875071307
prob_DM1_uni_oof	dedifferentiation_proxy_score	histology_molecular_sex_age	54	0.3737373737373737	0.005372726973401974
prob_DM1_uni_oof	dedifferentiation_proxy_score	full	54	0.01902039260529826	0.8914160808874302
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_dm_DM1	25	0.10615384615384615	0.6135400689983799
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_dm_DM2	29	0.27142857142857135	0.15436180201590535
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_molecular_subtype_BRAF_like	37	0.5229966808914176	0.0008965174539907738
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_molecular_subtype_RAS_like	16	0.34411764705882353	0.19185563142554296
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_histology_subtype_cPTC	37	0.5229966808914176	0.0008965174539907738
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_histology_subtype_FVPTC	16	0.34411764705882353	0.19185563142554296
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_sex_Female	42	0.49080301434243584	0.0009666151046868155
prob_DM1_uni_loto	dedifferentiation_proxy_score	within_sex_Male	12	0.6433566433566434	0.024003191200713647
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_dm_DM1	25	0.12384615384615384	0.5553203690461636
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_dm_DM2	29	-0.15024630541871917	0.43660296162230755
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_molecular_subtype_BRAF_like	37	0.5142247510668563	0.0011307669572223659
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_molecular_subtype_RAS_like	16	-0.10882352941176471	0.6882882939574141
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_histology_subtype_cPTC	37	0.5142247510668563	0.0011307669572223659
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_histology_subtype_FVPTC	16	-0.10882352941176471	0.6882882939574141
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_sex_Female	42	0.4327850255246739	0.004201480409318609
prob_DM1_uni_oof	dedifferentiation_proxy_score	within_sex_Male	12	0.18181818181818185	0.5717012385276553
