feature_set	c_value	protocol	n_features	n_rows	n_pos	auprc	auroc	brier	ece	top10_precision	top20_precision	oof_available
reference_stress_guarded_final_review_score		clean_subset_reference_not_refit	1	410	35	0.6577355444364779	0.9367619047619047	0.07799236116803449	0.16875631730513613	0.9	0.7	410
reference_bma_v2_discovery_score		clean_subset_reference_not_refit	1	410	35	0.619771740125358	0.8916571428571428	0.15839568612715255	0.3281886538667213	0.8	0.65	410
reference_stress_guarded_discovery_score		clean_subset_reference_not_refit	1	410	35	0.5908310085274217	0.9142095238095238	0.10976083375761161	0.23383034278007447	0.7	0.8	410
reference_stress_guarded_clean_score		clean_subset_reference_not_refit	1	410	35	0.5467089632173481	0.8988190476190476	0.10933061173692993	0.235454900944707	0.7	0.8	410
reference_validity_dag_cap		clean_subset_reference_not_refit	1	410	35	0.5351669473358184	0.8982095238095238	0.12143408451555475	0.260275805955605	0.7	0.7	410
reference_bma_v2_claim_safe_score		clean_subset_reference_not_refit	1	410	35	0.5323711655238242	0.8980571428571428	0.12134518369646531	0.25912495105860167	0.7	0.7	410
stress_floor_above_median	0.1	hla_heldout_oof	14	410	35	0.32287537114462184	0.7783238095238095	0.19058953325596506	0.2930959575041204	0.5	0.3	410
classical_stack_mix	0.03	hla_heldout_oof	23	410	35	0.3199440309898004	0.8385904761904761	0.18041286109314417	0.30175952766614966	0.5	0.4	410
stress_floor_above_median	0.03	hla_heldout_oof	14	410	35	0.31968961885390024	0.7828952380952381	0.2058691364907409	0.34006332416547763	0.5	0.3	410
all_clean_internal	0.03	hla_heldout_oof	27	410	35	0.310661260393555	0.8474285714285714	0.1780405571120758	0.2978725787454201	0.5	0.4	410
top40_bma_v2_clean	0.03	hla_heldout_oof	27	410	35	0.310661260393555	0.8474285714285714	0.1780405571120758	0.2978725787454201	0.5	0.4	410
all_clean_internal	0.1	hla_heldout_oof	27	410	35	0.2613191524262976	0.836152380952381	0.1570584338614373	0.23491925620268755	0.3	0.25	410
top40_bma_v2_clean	0.1	hla_heldout_oof	27	410	35	0.2613191524262976	0.836152380952381	0.1570584338614373	0.23491925620268755	0.3	0.25	410
stress_floor_above_median	0.3	hla_heldout_oof	14	410	35	0.2610045603435256	0.775047619047619	0.1853268635917993	0.26036477167820626	0.4	0.3	410
top20_bma_v2_clean	0.03	hla_heldout_oof	20	410	35	0.2563145770004165	0.8212952380952381	0.19143775650614384	0.3122349002899412	0.4	0.3	410
classical_stack_mix	0.1	hla_heldout_oof	23	410	35	0.24824827697358243	0.8330285714285715	0.15885802276500763	0.2389731716042763	0.2	0.25	410
classical_stack_mix	0.3	hla_heldout_oof	23	410	35	0.22351447466724034	0.8232761904761905	0.15209868990311726	0.19809260533922662	0.2	0.2	410
top20_bma_v2_clean	0.1	hla_heldout_oof	20	410	35	0.22079003761993315	0.803847619047619	0.17554546729627674	0.25599474003161515	0.3	0.25	410
stress_floor_above_median	1.0	hla_heldout_oof	14	410	35	0.21180654174854754	0.7705523809523809	0.18591785938331876	0.2372358059977154	0.3	0.15	410
all_clean_internal	0.3	hla_heldout_oof	27	410	35	0.2062532108775036	0.8049904761904763	0.1597847004262437	0.19820654889550762	0.1	0.2	410
top40_bma_v2_clean	0.3	hla_heldout_oof	27	410	35	0.2062532108775036	0.8049904761904763	0.1597847004262437	0.19820654889550762	0.1	0.2	410
stress_floor_above_median	3.0	hla_heldout_oof	14	410	35	0.20565945430019938	0.765295238095238	0.1883504777906407	0.22439716587342431	0.3	0.15	410
top20_bma_v2_clean	0.3	hla_heldout_oof	20	410	35	0.2003107609603749	0.7942476190476191	0.17108035075912054	0.21950633307997144	0.3	0.25	410
classical_stack_mix	1.0	hla_heldout_oof	23	410	35	0.1954816185883756	0.8040761904761904	0.1632975738692887	0.18977705260247738	0.0	0.15	410
all_clean_internal	1.0	hla_heldout_oof	27	410	35	0.19409710748388168	0.7902095238095238	0.16279037362113022	0.17061861146415658	0.1	0.1	410
top40_bma_v2_clean	1.0	hla_heldout_oof	27	410	35	0.19409710748388168	0.7902095238095238	0.16279037362113022	0.17061861146415658	0.1	0.1	410
classical_stack_mix	3.0	hla_heldout_oof	23	410	35	0.19350928766449715	0.8035428571428571	0.16690828338767663	0.1818230811193045	0.0	0.05	410
all_clean_internal	3.0	hla_heldout_oof	27	410	35	0.190953921190379	0.7847238095238096	0.16203423015272772	0.17130054552370577	0.0	0.05	410
top40_bma_v2_clean	3.0	hla_heldout_oof	27	410	35	0.190953921190379	0.7847238095238096	0.16203423015272772	0.17130054552370577	0.0	0.05	410
top20_bma_v2_clean	3.0	hla_heldout_oof	20	410	35	0.18007253971192275	0.7854095238095238	0.17979028743329423	0.19881129371743905	0.0	0.15	410
top20_bma_v2_clean	1.0	hla_heldout_oof	20	410	35	0.1799825452700956	0.7821333333333332	0.18002487797583142	0.2115613466178669	0.1	0.15	410
classical_stack_mix	0.3	source_heldout_oof	23	410	35	0.2607057468577243	0.4539047619047619	0.6042026808981622	0.7274439556437208	0.6	0.35	410
classical_stack_mix	1.0	source_heldout_oof	23	410	35	0.24709508083686918	0.5173714285714286	0.4721139641354174	0.6333555985721886	0.5	0.3	410
all_clean_internal	0.3	source_heldout_oof	27	410	35	0.2371711813564651	0.46121904761904764	0.6044973382438354	0.7188184645650711	0.6	0.35	410
top40_bma_v2_clean	0.3	source_heldout_oof	27	410	35	0.2371711813564651	0.46121904761904764	0.6044973382438354	0.7188184645650711	0.6	0.35	410
stress_floor_above_median	0.3	source_heldout_oof	14	410	35	0.21695665031933992	0.47051428571428566	0.6139992735978027	0.7349807061190872	0.5	0.3	410
classical_stack_mix	3.0	source_heldout_oof	23	410	35	0.19958355550508045	0.5095238095238095	0.4101229975308415	0.5568358838286733	0.4	0.25	410
stress_floor_above_median	1.0	source_heldout_oof	14	410	35	0.196164283212919	0.5134095238095239	0.4986508771659509	0.6542268171687349	0.4	0.3	410
classical_stack_mix	0.1	source_heldout_oof	23	410	35	0.18311798630430298	0.3733714285714286	0.7190434776684457	0.7966820374507999	0.5	0.25	410
stress_floor_above_median	3.0	source_heldout_oof	14	410	35	0.1823682424201904	0.5286476190476191	0.4474659833220812	0.6125770197981976	0.3	0.3	410
all_clean_internal	1.0	source_heldout_oof	27	410	35	0.16081785573227203	0.4636571428571429	0.473729137277975	0.6145763433129451	0.4	0.2	410
top40_bma_v2_clean	1.0	source_heldout_oof	27	410	35	0.16081785573227203	0.4636571428571429	0.473729137277975	0.6145763433129451	0.4	0.2	410
stress_floor_above_median	0.1	source_heldout_oof	14	410	35	0.16034949410658966	0.38144761904761904	0.7160662534013859	0.7962081249226038	0.5	0.25	410
all_clean_internal	0.1	source_heldout_oof	27	410	35	0.15637423584948973	0.3841904761904762	0.7198173215795297	0.7938613360699757	0.5	0.25	410
top40_bma_v2_clean	0.1	source_heldout_oof	27	410	35	0.15637423584948973	0.3841904761904762	0.7198173215795297	0.7938613360699757	0.5	0.25	410
all_clean_internal	3.0	source_heldout_oof	27	410	35	0.14885794690182222	0.48758095238095234	0.4143845397147231	0.5683592038619197	0.3	0.2	410
top40_bma_v2_clean	3.0	source_heldout_oof	27	410	35	0.14885794690182222	0.48758095238095234	0.4143845397147231	0.5683592038619197	0.3	0.2	410
top20_bma_v2_clean	3.0	source_heldout_oof	20	410	35	0.12874595349644483	0.36967619047619044	0.6491020368586489	0.7539389369559462	0.2	0.1	410
classical_stack_mix	0.03	source_heldout_oof	23	410	35	0.11958313805403699	0.27904761904761904	0.7323946182409752	0.8011200867134143	0.2	0.15	410
stress_floor_above_median	0.03	source_heldout_oof	14	410	35	0.09616402371392493	0.284152380952381	0.7267133658207269	0.7964054610600529	0.2	0.1	410
all_clean_internal	0.03	source_heldout_oof	27	410	35	0.08984499008099472	0.2868952380952381	0.7335816075217639	0.8014810687661142	0.2	0.1	410
top40_bma_v2_clean	0.03	source_heldout_oof	27	410	35	0.08984499008099472	0.2868952380952381	0.7335816075217639	0.8014810687661142	0.2	0.1	410
top20_bma_v2_clean	1.0	source_heldout_oof	20	410	35	0.07679505687759319	0.3445333333333333	0.6648113548002768	0.7635930866280971	0.0	0.0	410
top20_bma_v2_clean	0.3	source_heldout_oof	20	410	35	0.06365051341952879	0.296	0.7026940891805846	0.7860684206163562	0.0	0.0	410
top20_bma_v2_clean	0.1	source_heldout_oof	20	410	35	0.055997156943731835	0.2228571428571429	0.7395306379749481	0.8061242727963756	0.0	0.0	410
top20_bma_v2_clean	0.03	source_heldout_oof	20	410	35	0.05444474958115405	0.19611428571428569	0.7253541388316884	0.7924006830069314	0.0	0.0	410
