method_name	coefficient	abs_coefficient
sourceheld_counterfactual_rf	-1.039986372597806	1.039986372597806
source_balanced_rf	0.8627744537059241	0.8627744537059241
source_balanced_plus_pu_rf	0.7773186401452903	0.7773186401452903
F_topk_diversification_hla_cluster	-0.736448060098066	0.736448060098066
B_rank_normalization_hla_supertype_train_only	-0.520256488483302	0.520256488483302
C_source_balanced_training	-0.4602239445241232	0.4602239445241232
E_pu_style_conservative_ranker	0.44653466683909576	0.44653466683909576
bagging_pu_rf	0.42557368425847697	0.42557368425847697
decoy_focal_positive_pattern	0.3927985392548116	0.3927985392548116
positive_only_centroid	0.35879142871696135	0.35879142871696135
pu_logistic_weighted	-0.34851940186252117	0.34851940186252117
pu_weighted_rf	-0.32739267827907786	0.32739267827907786
pairwise_positive_over_unlabeled	0.32682629287337933	0.32682629287337933
source_balanced_rf_train_prior_calibrated	-0.2986894465993624	0.2986894465993624
hard_decoy_sequence_only_source_stress	0.279545227968783	0.279545227968783
A_score_standardization_train_only	-0.2596675911346653	0.2596675911346653
sourceheld_prespecified_late_fusion_w0.5	-0.24391638342304872	0.24391638342304872
source_balanced_plus_pu_rf_train_prior_calibrated	0.21271958010900327	0.21271958010900327
pu_weighted_rf_train_prior_calibrated	-0.14457351439796473	0.14457351439796473
anchor_rf_retrained_cf	0.12280241759230358	0.12280241759230358
G_abstention_extreme_ood	0.10810440982559726	0.10810440982559726
anchor_rf	-0.04823880239676684	0.04823880239676684
D_positive_class_reweighting	-0.026866420565288162	0.026866420565288162
