evidence	level	n	n_groups	observed_centered_rho	boot_mean	boot_ci_low	boot_ci_high	boot_p05	boot_p95	n_boot
GSE250521 UNI DM1/RAI smoothed spots	spot	3200	16	0.44041596786431836	0.4407546557313888	0.407772880463798	0.47465832217513476	0.41414645934498134	0.4682125442195518	2000
GSE250521 UNI DM1/RAI coordinate domains	domain	96	16	0.5811448724905046	0.5648619062858795	0.38108797853401477	0.7292452411210009	0.4090090604074853	0.707977377347545	2000
GSE230424 H&E DM1/low-RAI smoothed spots	spot	15489	4	0.6443833509054786	0.6443279874826667	0.6342192916674748	0.6546238060135329	0.6359729952228861	0.6529800752217009	2000
GSE230424 H&E DM1/low-RAI coord+QC residual target	spot	15489	4	0.2322668209810756	0.23261160810519702	0.217474294384168	0.24766675555674297	0.21997495425038072	0.24547111787808634	2000
GSE230424 H&E DM1/low-RAI coordinate domains	domain	39	4	0.9099190283400811	0.8949489866524154	0.788363599472456	0.9561954978706145	0.8114765842563394	0.9508836376419866	2000
