	RAI_8 (canonical)	TDS-16 (full)	NONOVERLAP_8	TF_4_backbone	RAI_5_effectors_only	TF_3_within_RAI8	RAI_8 + HHEX (9)	RAI_8 + TF_4 (12 unique)	RAI_8 + NONOVERLAP_8 (16)	TF_4 + RAI_5 (9)	TF_3 + iodide	Iodide-handling 6	Lineage TF + Effector minimal 6	Lineage TF + Effector minimal 4	TIERA TDS-extended 12	Mechanism arm 5
RAI_8 (canonical)	1.0	0.966	0.877	0.8	0.945	0.821	0.988	0.988	0.966	0.988	0.974	0.91	0.972	0.932	0.948	-0.272
TDS-16 (full)	0.966	1.0	0.969	0.807	0.918	0.785	0.976	0.976	1.0	0.976	0.975	0.952	0.958	0.935	0.947	-0.304
NONOVERLAP_8	0.877	0.969	1.0	0.768	0.836	0.706	0.907	0.907	0.969	0.907	0.918	0.933	0.887	0.882	0.888	-0.32
TF_4_backbone	0.8	0.807	0.768	1.0	0.596	0.958	0.855	0.855	0.807	0.855	0.789	0.703	0.84	0.839	0.71	-0.277
RAI_5_effectors_only	0.945	0.918	0.836	0.596	1.0	0.606	0.917	0.917	0.918	0.917	0.926	0.9	0.885	0.835	0.932	-0.248
TF_3_within_RAI8	0.821	0.785	0.706	0.958	0.606	1.0	0.842	0.842	0.785	0.842	0.792	0.683	0.861	0.846	0.719	-0.222
RAI_8 + HHEX (9)	0.988	0.976	0.907	0.855	0.917	0.842	1.0	1.0	0.976	1.0	0.973	0.913	0.971	0.941	0.94	-0.304
RAI_8 + TF_4 (12 unique)	0.988	0.976	0.907	0.855	0.917	0.842	1.0	1.0	0.976	1.0	0.973	0.913	0.971	0.941	0.94	-0.304
RAI_8 + NONOVERLAP_8 (16)	0.966	1.0	0.969	0.807	0.918	0.785	0.976	0.976	1.0	0.976	0.975	0.952	0.958	0.935	0.947	-0.304
TF_4 + RAI_5 (9)	0.988	0.976	0.907	0.855	0.917	0.842	1.0	1.0	0.976	1.0	0.973	0.913	0.971	0.941	0.94	-0.304
TF_3 + iodide	0.974	0.975	0.918	0.789	0.926	0.792	0.973	0.973	0.975	0.973	1.0	0.936	0.953	0.94	0.94	-0.284
Iodide-handling 6	0.91	0.952	0.933	0.703	0.9	0.683	0.913	0.913	0.952	0.913	0.936	1.0	0.878	0.875	0.883	-0.25
Lineage TF + Effector minimal 6	0.972	0.958	0.887	0.84	0.885	0.861	0.971	0.971	0.958	0.971	0.953	0.878	1.0	0.959	0.937	-0.339
Lineage TF + Effector minimal 4	0.932	0.935	0.882	0.839	0.835	0.846	0.941	0.941	0.935	0.941	0.94	0.875	0.959	1.0	0.896	-0.327
TIERA TDS-extended 12	0.948	0.947	0.888	0.71	0.932	0.719	0.94	0.94	0.947	0.94	0.94	0.883	0.937	0.896	1.0	-0.351
Mechanism arm 5	-0.272	-0.304	-0.32	-0.277	-0.248	-0.222	-0.304	-0.304	-0.304	-0.304	-0.284	-0.25	-0.339	-0.327	-0.351	1.0
