gene_dropped	AUC_remaining	ΔAUC	ARI_remaining	ΔARI
DIO2	0.843	0.035	0.116	0.064
IYD	0.854	0.023	0.101	0.078
TFF3	0.869	0.008	0.093	0.087
GLIS3	0.869	0.008	0.242	-0.063
SLC26A4	0.872	0.005	0.199	-0.02
HHEX	0.874	0.004	0.221	-0.041
DUOX2	0.89	-0.013	0.29	-0.111
DUOX1	0.896	-0.019	0.232	-0.052
