sample_short	sub_cluster_v2	RAI8_z_mean
TCGA-FK-A3SE-01	sub_B	0.16608732970783285
TCGA-EL-A4KD-01	sub_B	0.8361933622012087
TCGA-ET-A40S-01	sub_A	-0.1840377387280019
TCGA-ET-A39L-01	sub_B	0.44226086441374407
TCGA-KS-A4IB-01	sub_A	-0.5134929039321909
TCGA-DJ-A2PO-01	sub_A	-0.3732919375663301
TCGA-EM-A1CS-01	sub_B	0.04207397008719146
TCGA-CE-A484-01	sub_B	0.21644126250466408
TCGA-EL-A3ZP-01	sub_B	0.4532463335265029
TCGA-BJ-A3PR-01	sub_B	-0.16248522698961632
TCGA-EL-A3CO-01	sub_B	0.37542070365227653
TCGA-CE-A482-01	sub_A	-0.2847083325540355
TCGA-EM-A3FQ-01	sub_B	0.5081505928907109
TCGA-DJ-A3UZ-01	sub_B	0.6088815676138556
TCGA-E8-A432-01	sub_A	-0.6146659006681544
TCGA-DJ-A4UT-01	sub_B	0.07785995029579448
TCGA-ET-A40R-01	sub_B	0.9963103873526924
TCGA-DJ-A4UQ-01	sub_B	0.4894367975124305
TCGA-CE-A481-01	sub_B	0.4627563962747516
TCGA-EM-A2CP-01	sub_B	0.1173267077938008
TCGA-EL-A3H3-01	sub_A	-0.6027755559877433
TCGA-EL-A3CS-01	sub_A	-0.6999596754783081
TCGA-DJ-A13W-01	sub_B	0.5515561658956137
TCGA-DJ-A13R-01	sub_B	0.4715533031596935
TCGA-EL-A3ZK-01	sub_A	-0.42921415912152666
TCGA-EL-A3D4-01	sub_B	0.6705601576513605
TCGA-EM-A3AN-01	sub_B	0.054184823358577265
TCGA-DE-A0Y2-01	sub_A	-0.25021820723781074
TCGA-CE-A27D-01	sub_B	0.9180458574584031
TCGA-FK-A4UB-01	sub_B	0.24237924994257082
TCGA-H2-A421-01	sub_B	-0.06594953135684663
TCGA-CE-A483-01	sub_A	-0.3937522884809767
TCGA-FY-A76V-01	sub_B	0.3729836593978302
TCGA-DO-A2HM-01	sub_A	-0.9234949349557734
TCGA-EL-A3T0-01	sub_B	0.5103643073711925
TCGA-BJ-A0ZJ-01	sub_B	0.49114635095374837
TCGA-EL-A3T9-01	sub_A	-1.3908402982303585
TCGA-DJ-A3VK-01	sub_B	0.40166677591909833
TCGA-EM-A4FR-01	sub_B	1.065773712568342
TCGA-EM-A2P1-06	sub_A	-0.9279194629750185
TCGA-ET-A39R-01	sub_A	-0.0933485266710379
TCGA-ET-A3DR-01	sub_B	0.8091422340917246
TCGA-CE-A485-01	sub_B	0.02095931746300911
TCGA-ET-A3DT-01	sub_A	-0.33876283496746096
TCGA-CE-A13K-01	sub_A	-0.31646485529382384
TCGA-DJ-A2Q9-01	sub_A	-0.9057261421011564
TCGA-DE-A3KN-01	sub_B	-0.04475400699179756
TCGA-BJ-A0Z5-01	sub_A	-0.14497487565663109
TCGA-DO-A1JZ-01	sub_B	0.15500601411937662
TCGA-EM-A3AO-01	sub_B	0.06945327204707855
TCGA-ET-A40T-01	sub_B	-0.039301351776606167
TCGA-ET-A25L-01	sub_A	-0.5959631192426267
TCGA-E3-A3E0-01	sub_B	0.3084757368554233
TCGA-EM-A2CU-01	sub_B	0.4554271147057132
TCGA-DJ-A3V3-01	sub_B	0.18380745244234653
TCGA-FY-A3R6-01	sub_B	0.27067668067632256
TCGA-EL-A3CX-01	sub_A	-3.6009881216215778
TCGA-DJ-A3VL-01	sub_B	0.8954185951639434
TCGA-EM-A3AJ-01	sub_B	0.7176987272603084
TCGA-FE-A238-01	sub_B	-0.045096556367546205
TCGA-DJ-A2Q1-01	sub_A	-1.3223159633567527
TCGA-ET-A25N-01	sub_B	0.012228743461918656
TCGA-E8-A438-01	sub_B	0.05012126206089934
TCGA-ET-A3DQ-01	sub_B	-0.024830905461878577
TCGA-J8-A3O1-01	sub_A	-1.343811318571205
TCGA-DE-A4M8-01	sub_B	0.18505360792728853
TCGA-BJ-A28W-01	sub_B	0.2724033117370489
TCGA-BJ-A28T-01	sub_B	0.9080622364725811
TCGA-EM-A3FQ-06	sub_B	0.7639517818276951
TCGA-DJ-A4V0-01	sub_B	1.0980311229589115
TCGA-EL-A3ZM-01	sub_A	-1.7151257264755442
TCGA-FE-A3PA-01	sub_B	0.3404375177168917
TCGA-ET-A25P-01	sub_B	0.8124732089493909
TCGA-DJ-A3UV-01	sub_B	1.0256625697874098
TCGA-FE-A3PD-01	sub_B	-0.0596955292218487
TCGA-ET-A3BN-01	sub_B	0.3362349195549133
TCGA-BJ-A45E-01	sub_A	-0.7038959552291901
TCGA-EL-A3CW-01	sub_B	0.6158868204929144
TCGA-KS-A41J-01	sub_A	-0.2605000803635844
TCGA-BJ-A28Z-01	sub_A	-0.5133564837384438
TCGA-DJ-A3US-01	sub_B	0.9090574679641248
TCGA-FK-A3S3-01	sub_B	-0.08247747519986151
TCGA-ET-A39T-01	sub_A	-0.35241046223691436
TCGA-DE-A69K-01	sub_B	-0.03354620527756891
TCGA-ET-A25M-01	sub_A	-0.35877807404571566
TCGA-DJ-A4V5-01	sub_B	0.2737871998957064
TCGA-KS-A4ID-01	sub_B	0.6577457666240384
TCGA-DJ-A13U-01	sub_B	-0.08042108537849374
