panel	n_panel	TCGA_AUC	perm_null_p	perm_null_mean	perm_null_95CI_low	perm_null_95CI_high	CoxOS_HR_unadj	CoxOS_p_unadj	CoxOS_HR_adj	CoxOS_p_adj	CoxOS_Cindex	AUC_in_BRAF	AUC_in_RAS	AUC_in_unknown	NRI_vs_RAI8	NRI_CI_low	NRI_CI_high	IDI_vs_RAI8
RAI_8 (canonical)	8	0.861	0.0002	0.5	0.414	0.588	0.962	0.9198	1.344	0.5666	0.95			0.862				
TF_3_within_RAI8	3	0.784	0.0002	0.5	0.414	0.586	1.364	0.3297	1.316	0.4644	0.952			0.792	-1.194	-1.432	-0.942	-0.1998
NONOVERLAP_8	8	0.877	0.0002	0.501	0.414	0.587	1.166	0.6708	1.615	0.2801	0.954			0.88	-0.243	-0.526	0.045	-0.0723
TDS-16 (full)	16	0.882	0.0002	0.501	0.414	0.587	1.067	0.8663	1.549	0.3786	0.953			0.884	0.777	0.513	1.04	0.063
Lineage TF + Effector minimal 6	6	0.893	0.0002	0.5	0.411	0.587	1.053	0.8883	1.447	0.4272	0.952			0.893	-0.297	-0.599	-0.023	-0.0321
Mechanism arm 5	5	0.171	0.0002	0.5	0.41	0.586	0.831	0.7406	0.431	0.1199	0.958			0.184	-0.606	-0.876	-0.312	-0.1435
