panel	ComBat_pooled_AUC	ComBat_SE	ComBat_n_pos	ComBat_n_neg
RAI_8 (canonical)	0.604	0.0281	152	344
TDS-16 (full)	0.633	0.0278	152	344
NONOVERLAP_8	0.683	0.027	152	344
TF_4_backbone	0.625	0.0279	152	344
RAI_5_effectors_only	0.573	0.0283	152	344
TF_3_within_RAI8	0.611	0.0281	152	344
RAI_8 + HHEX (9)	0.61	0.0281	152	344
RAI_8 + NONOVERLAP_8 (16)	0.633	0.0278	152	344
TF_3 + iodide	0.648	0.0276	152	344
Iodide-handling 6	0.603	0.0281	152	344
Lineage TF + Effector minimal 6	0.599	0.0282	152	344
Lineage TF + Effector minimal 4	0.613	0.0281	152	344
TIERA TDS-extended 12	0.642	0.0277	152	344
Mechanism arm 5	0.349	0.0255	152	344
