panel	n_panel	AUC_min_DM	AUC_mean_DM	AUC_geomean_DM	n_DM_cohorts	dir_consistent	composite_robustness	TCGA_AUC	TCGA_AUC_CI_low	TCGA_AUC_CI_high	TCGA_PR_AUC	TCGA_cohens_d	TCGA_MCC	TCGA_ARI	TCGA_LogReg_CV_AUC	TCGA_LOO_AUC_min	TCGA_LOO_AUC_max	TCGA_coverage	TCGA_n_found	K2_n260_AUC	K2_n260_AUC_CI_low	K2_n260_AUC_CI_high	K2_n260_PR_AUC	K2_n260_cohens_d	K2_n260_MCC	K2_n260_ARI	K2_n260_LogReg_CV_AUC	K2_n260_LOO_AUC_min	K2_n260_LOO_AUC_max	K2_n260_coverage	K2_n260_n_found	K2_n23_AUC	K2_n23_AUC_CI_low	K2_n23_AUC_CI_high	K2_n23_PR_AUC	K2_n23_cohens_d	K2_n23_MCC	K2_n23_ARI	K2_n23_LogReg_CV_AUC	K2_n23_LOO_AUC_min	K2_n23_LOO_AUC_max	K2_n23_coverage	K2_n23_n_found	K2_balanced_AUC	K2_balanced_AUC_CI_low	K2_balanced_AUC_CI_high	K2_balanced_PR_AUC	K2_balanced_cohens_d	K2_balanced_MCC	K2_balanced_ARI	K2_balanced_LogReg_CV_AUC	K2_balanced_LOO_AUC_min	K2_balanced_LOO_AUC_max	K2_balanced_coverage	K2_balanced_n_found	GSE286332_AUC	GSE286332_AUC_CI_low	GSE286332_AUC_CI_high	GSE286332_PR_AUC	GSE286332_cohens_d	GSE286332_MCC	GSE286332_ARI	GSE286332_LogReg_CV_AUC	GSE286332_LOO_AUC_min	GSE286332_LOO_AUC_max	GSE286332_coverage	GSE286332_n_found
NONOVERLAP_8	8	0.595	0.697	0.686	3	True	0.542	0.877	0.824	0.929	0.9	1.392	0.612	0.179	0.92	0.843	0.896	FULL	8											PARTIAL(0/8)	0	0.595	0.34	0.844	0.7	0.335	0.335	-0.028	0.633	0.563	0.635	FULL	8	0.619	0.295	0.921	0.787	0.377	0.312	-0.009	0.4	0.571	0.679	FULL	8	0.877	0.688	1.0	0.904	1.535	0.707	0.414	0.9	0.84	0.877	FULL	8
TDS-16 (full)	16	0.516	0.649	0.629	3	True	0.496	0.882	0.825	0.932	0.894	1.369	0.691	0.199	0.95	0.867	0.89	FULL	16											PARTIAL(8/16)	8	0.516	0.259	0.781	0.626	-0.176	0.164	0.049	1.0	0.476	0.579	FULL	16	0.548	0.241	0.843	0.729	-0.131	0.218	0.047	1.0	0.5	0.619	FULL	16	0.889	0.694	1.0	0.915	1.617	0.671	0.414	0.95	0.877	0.889	FULL	16
RAI_8 + NONOVERLAP_8 (16)	16	0.516	0.649	0.629	3	True	0.496	0.882	0.825	0.932	0.894	1.369	0.691	0.199	0.95	0.867	0.89	FULL	16											PARTIAL(8/16)	8	0.516	0.259	0.781	0.626	-0.176	0.164	0.049	1.0	0.476	0.579	FULL	16	0.548	0.241	0.843	0.729	-0.131	0.218	0.047	1.0	0.5	0.619	FULL	16	0.889	0.694	1.0	0.915	1.617	0.671	0.414	0.95	0.877	0.889	FULL	16
TF_3 + iodide	8	0.532	0.656	0.641	3	True	0.488	0.866	0.806	0.921	0.876	1.32	0.666	0.243	0.941	0.838	0.888	FULL	8											PARTIAL(6/8)	6	0.532	0.252	0.798	0.626	-0.106	0.244	-0.028	0.967	0.468	0.611	FULL	8	0.571	0.297	0.867	0.739	-0.007	0.286	-0.101	0.867	0.488	0.655	FULL	8	0.877	0.688	1.0	0.899	1.592	0.671	0.41	0.95	0.84	0.914	FULL	8
TF_4_backbone	4	0.587	0.675	0.669	3	True	0.431	0.795	0.724	0.862	0.814	0.969	0.543	0.021	0.902	0.71	0.869	FULL	4											PARTIAL(3/4)	3	0.587	0.307	0.84	0.69	0.182	0.302	-0.028	0.433	0.54	0.659	FULL	4	0.643	0.328	0.921	0.796	0.366	0.435	-0.067	0.567	0.548	0.726	FULL	4	0.975	0.889	1.0	0.977	2.441	0.894	0.414	1.0	0.938	0.988	FULL	4
TF_3_within_RAI8	3	0.54	0.673	0.666	4	True	0.35	0.784	0.708	0.853	0.802	0.905	0.517	-0.013	0.885	0.661	0.872	FULL	3	0.738	0.619	0.851	0.204	0.906	0.225	-0.025	0.863	0.677	0.783	FULL	3	0.54	0.25	0.79	0.631	0.099	0.211	-0.044	0.483	0.492	0.619	FULL	3	0.631	0.276	0.957	0.75	0.335	0.356	-0.051	0.567	0.524	0.75	FULL	3	0.938	0.791	1.0	0.944	2.115	0.798	0.414	0.95	0.926	0.963	FULL	3
TIERA TDS-extended 12	12	0.429	0.597	0.559	3	False	0.202	0.917	0.868	0.955	0.935	1.728	0.717	0.301	0.965	0.9	0.935	FULL	12											PARTIAL(8/12)	8	0.444	0.19	0.712	0.601	-0.245	0.211	-0.046	0.967	0.365	0.548	FULL	12	0.429	0.136	0.716	0.684	-0.302	0.126	-0.101	0.95	0.357	0.536	FULL	12	0.877	0.671	1.0	0.911	1.736	0.671	0.414	0.95	0.84	0.914	FULL	12
Iodide-handling 6	6	0.437	0.576	0.552	3	False	0.187	0.828	0.762	0.883	0.869	1.077	0.501	-0.01	0.928	0.766	0.852	FULL	6											PARTIAL(2/6)	2	0.437	0.175	0.719	0.577	-0.226	0.266	-0.046	0.95	0.365	0.571	FULL	6	0.464	0.173	0.813	0.696	-0.077	0.19	-0.05	0.95	0.381	0.667	FULL	6	0.84	0.618	1.0	0.869	1.321	0.671	0.41	0.95	0.778	0.889	FULL	6
RAI_8 + HHEX (9)	9	0.381	0.543	0.501	3	False	0.177	0.868	0.806	0.919	0.876	1.269	0.618	0.209	0.947	0.842	0.884	FULL	9											PARTIAL(8/9)	8	0.381	0.145	0.641	0.568	-0.591	0.143	0.049	1.0	0.302	0.476	FULL	9	0.381	0.128	0.657	0.666	-0.571	0.089	0.047	1.0	0.286	0.524	FULL	9	0.901	0.724	1.0	0.922	1.763	0.671	0.41	0.95	0.852	0.951	FULL	9
RAI_8 + TF_4 (12 unique)	9	0.381	0.543	0.501	3	False	0.177	0.868	0.806	0.919	0.876	1.269	0.618	0.209	0.947	0.842	0.884	FULL	9											PARTIAL(8/9)	8	0.381	0.145	0.641	0.568	-0.591	0.143	0.049	1.0	0.302	0.476	FULL	9	0.381	0.128	0.657	0.666	-0.571	0.089	0.047	1.0	0.286	0.524	FULL	9	0.901	0.724	1.0	0.922	1.763	0.671	0.41	0.95	0.852	0.951	FULL	9
