panel	n_panel	TCGA_AUC	TCGA_SE	TCGA_n_pos	TCGA_n_neg	TCGA_n_found	TCGA_coverage	K2_n260_AUC	K2_n260_SE	K2_n260_n_pos	K2_n260_n_neg	K2_n260_n_found	K2_n260_coverage	K2_n23_AUC	K2_n23_SE	K2_n23_n_pos	K2_n23_n_neg	K2_n23_n_found	K2_n23_coverage	K2_balanced_AUC	K2_balanced_SE	K2_balanced_n_pos	K2_balanced_n_neg	K2_balanced_n_found	K2_balanced_coverage	GSE286332_AUC	GSE286332_SE	GSE286332_n_pos	GSE286332_n_neg	GSE286332_n_found	GSE286332_coverage	meta_DM_cohorts	meta_k	DL_pooled_AUC	DL_SE	DL_tau2	DL_Q	DL_I2	HE_RE2_pooled	HE_RE2_choice	Stouffer_Z	Stouffer_p	dir_consistent_rate	LOCO_AUC_min	LOCO_AUC_max	ComBat_pooled_AUC	ComBat_SE	ComBat_n_pos	ComBat_n_neg
TF_4_backbone	4	0.795	0.0326	110	69	4	FULL			0	0	3	PARTIAL(3/4)	0.587	0.1222	14	9	4	FULL	0.532	0.1022	14	20	4	FULL	0.975	0.0391	9	9	4	FULL	TCGA,K2_n23,K2_balanced	3	0.66	0.098	0.0212	8.13	75.4	0.66	REM	6.114	4.864877215443656e-10	1.0	0.555	0.724	0.625	0.0279	152	344
TF_3_within_RAI8	3	0.784	0.0334	110	69	3	FULL	0.738	0.0778	14	246	3	FULL	0.54	0.1248	14	9	3	FULL	0.486	0.1018	14	20	3	FULL	0.938	0.0618	9	9	3	FULL	TCGA,K2_n260,K2_n23,K2_balanced	4	0.664	0.073	0.0142	10.53	71.5	0.664	REM	6.039	7.775073711197174e-10	0.75	0.603	0.733	0.611	0.0281	152	344
NONOVERLAP_8	8	0.877	0.0252	110	69	8	FULL			0	0	0	PARTIAL(0/8)	0.595	0.1216	14	9	8	FULL	0.457	0.1011	14	20	8	FULL	0.877	0.0866	9	9	8	FULL	TCGA,K2_n23,K2_balanced	3	0.656	0.151	0.0604	20.56	90.3	0.656	REM	7.461	4.289963527856818e-14	0.67	0.513	0.761	0.683	0.027	152	344
TDS-16 (full)	16	0.882	0.0247	110	69	16	FULL			0	0	8	PARTIAL(8/16)	0.516	0.1256	14	9	16	FULL	0.411	0.0991	14	20	16	FULL	0.889	0.0824	9	9	16	FULL	TCGA,K2_n23,K2_balanced	3	0.614	0.177	0.0855	28.27	92.9	0.614	REM	7.192	3.186944805234499e-13	0.67	0.451	0.72	0.633	0.0278	152	344
RAI_8 + NONOVERLAP_8 (16)	16	0.882	0.0247	110	69	16	FULL			0	0	8	PARTIAL(8/16)	0.516	0.1256	14	9	16	FULL	0.411	0.0991	14	20	16	FULL	0.889	0.0824	9	9	16	FULL	TCGA,K2_n23,K2_balanced	3	0.614	0.177	0.0855	28.27	92.9	0.614	REM	7.192	3.186944805234499e-13	0.67	0.451	0.72	0.633	0.0278	152	344
TF_3 + iodide	8	0.866	0.0263	110	69	8	FULL			0	0	6	PARTIAL(6/8)	0.532	0.1251	14	9	8	FULL	0.407	0.0989	14	20	8	FULL	0.877	0.0866	9	9	8	FULL	TCGA,K2_n23,K2_balanced	3	0.613	0.169	0.0777	25.78	92.2	0.613	REM	6.904	2.5358039410138802e-12	0.67	0.455	0.721	0.648	0.0276	152	344
Mechanism arm 5	5	0.171	0.0335	110	69	5	FULL			0	0	0	PARTIAL(0/5)	0.595	0.1216	14	9	5	FULL	0.661	0.0974	14	20	5	FULL	0.296	0.1256	9	9	5	FULL	TCGA,K2_n23,K2_balanced	3	0.465	0.187	0.097	31.4	93.6	0.465	REM	-5.611	0.9999999899520771	0.67	0.367	0.635	0.349	0.0255	152	344
Lineage TF + Effector minimal 4	4	0.872	0.0257	110	69	4	FULL	0.598	0.082	14	246	4	FULL	0.325	0.1195	14	9	4	FULL	0.336	0.0934	14	20	4	FULL	0.951	0.0553	9	9	4	FULL	TCGA,K2_n260,K2_n23,K2_balanced	4	0.543	0.154	0.0878	54.37	94.5	0.543	REM	5.2	9.966210134988322e-08	0.5	0.43	0.615	0.613	0.0281	152	344
RAI_8 (canonical)	8	0.861	0.0269	110	69	8	FULL	0.652	0.0816	14	246	8	FULL	0.31	0.1179	14	9	8	FULL	0.275	0.0867	14	20	8	FULL	0.877	0.0866	9	9	8	FULL	TCGA,K2_n260,K2_n23,K2_balanced	4	0.534	0.16	0.0953	61.31	95.1	0.534	REM	5.361	4.134141753288914e-08	0.5	0.418	0.626	0.604	0.0281	152	344
Iodide-handling 6	6	0.828	0.03	110	69	6	FULL			0	0	2	PARTIAL(2/6)	0.437	0.1259	14	9	6	FULL	0.439	0.1004	14	20	6	FULL	0.84	0.0979	9	9	6	FULL	TCGA,K2_n23,K2_balanced	3	0.583	0.158	0.0666	21.51	90.7	0.583	REM	6.043	7.576558492028474e-10	0.33	0.438	0.652	0.603	0.0281	152	344
