gene_dropped	AUC_remaining	ΔAUC	ARI_remaining	ΔARI
FOXE1	0.827	0.034	0.151	0.069
DIO1	0.836	0.025	0.231	-0.012
TPO	0.839	0.022	0.278	-0.058
TG	0.858	0.003	0.277	-0.058
PAX8	0.858	0.003	0.199	0.021
TSHR	0.862	-0.001	0.242	-0.022
NKX2-1	0.876	-0.015	0.231	-0.012
SLC5A5	0.886	-0.025	0.34	-0.121
