metric	sub_A	sub_B	comparison
n	37	73	—
age (median)	45.6	36.3	—
advanced stage III/IV %	29.7	23.3	—
OS event %	5.41	2.74	—
Cohen d (age)	—	—	0.33
MW p (age)	—	—	0.11
