panel	n_genes	n_found	AUC	ARI	missing
TIERA TDS-extended 12	12	12	0.917	0.301	
Lineage TF + Effector minimal 6	6	6	0.893	0.41	
TDS-16 (full)	16	16	0.882	0.199	
RAI_8 + NONOVERLAP_8 (16)	16	16	0.882	0.199	
NONOVERLAP_8	8	8	0.877	0.179	
Lineage TF + Effector minimal 4	4	4	0.872	0.327	
RAI_8 + HHEX (9)	9	9	0.868	0.209	
RAI_8 + TF_4 (12 unique)	9	9	0.868	0.209	
TF_4 + RAI_5 (9)	9	9	0.868	0.209	
TF_3 + iodide (NIS+TPO+TG+SLC26A4+IYD)	8	8	0.866	0.243	
RAI_8 (canonical)	8	8	0.861	0.22	
RAI_5_effectors_only	5	5	0.843	0.151	
Iodide-handling 6	6	6	0.828	-0.01	
TF_4_backbone	4	4	0.795	0.021	
TF_3_within_RAI8	3	3	0.784	-0.013	
Mechanism arm 5 (STAT3+AP1+DNMT)	5	5	0.171	0.5	
