panel	n_features	n_samples	Linear_AUC	Linear_SD	RBF_SVM_AUC	RBF_SVM_SD	Quantum_AUC	Quantum_SD	Quantum_n	Quantum_qubits	Quantum_vs_RBF_delta
RAI_8 (canonical)	8	179	0.955	0.029	0.963	0.03	0.369	0.1	80	8	-0.594
TF_3_within_RAI8	3	179	0.883	0.071	0.894	0.062	0.597	0.1	80	3	-0.297
NONOVERLAP_8	8	179	0.918	0.021	0.924	0.018	0.534	0.138	80	8	-0.39
