gene	cohen_d	p
TPO	2.3	1.9e-18
DIO1	1.24	6.5e-11
TSHR	1.2	9.8e-12
PAX8	0.97	4.5e-08
TG	0.86	2.2e-06
FOXE1	0.84	1e-05
NKX2-1	0.63	8.9e-07
SLC5A5	0.22	0.42
