panel	removed_gene	cohort	AUC
RAI_8 (canonical)	SLC5A5	TCGA	0.886
RAI_8 (canonical)	SLC5A5	K2_n260	0.581
RAI_8 (canonical)	SLC5A5	K2_n23	0.302
RAI_8 (canonical)	SLC5A5	K2_balanced	0.369
RAI_8 (canonical)	SLC5A5	GSE286332	0.926
RAI_8 (canonical)	TPO	TCGA	0.839
RAI_8 (canonical)	TPO	K2_n260	0.731
RAI_8 (canonical)	TPO	K2_n23	0.413
RAI_8 (canonical)	TPO	K2_balanced	0.452
RAI_8 (canonical)	TPO	GSE286332	0.877
RAI_8 (canonical)	TG	TCGA	0.858
RAI_8 (canonical)	TG	K2_n260	0.632
RAI_8 (canonical)	TG	K2_n23	0.325
RAI_8 (canonical)	TG	K2_balanced	0.321
RAI_8 (canonical)	TG	GSE286332	0.852
RAI_8 (canonical)	TSHR	TCGA	0.862
RAI_8 (canonical)	TSHR	K2_n260	0.588
RAI_8 (canonical)	TSHR	K2_n23	0.262
RAI_8 (canonical)	TSHR	K2_balanced	0.238
RAI_8 (canonical)	TSHR	GSE286332	0.864
RAI_8 (canonical)	PAX8	TCGA	0.858
RAI_8 (canonical)	PAX8	K2_n260	0.619
RAI_8 (canonical)	PAX8	K2_n23	0.23
RAI_8 (canonical)	PAX8	K2_balanced	0.274
RAI_8 (canonical)	PAX8	GSE286332	0.852
RAI_8 (canonical)	NKX2-1	TCGA	0.876
RAI_8 (canonical)	NKX2-1	K2_n260	0.581
RAI_8 (canonical)	NKX2-1	K2_n23	0.23
RAI_8 (canonical)	NKX2-1	K2_balanced	0.19
RAI_8 (canonical)	NKX2-1	GSE286332	0.84
RAI_8 (canonical)	FOXE1	TCGA	0.827
RAI_8 (canonical)	FOXE1	K2_n260	0.648
RAI_8 (canonical)	FOXE1	K2_n23	0.31
RAI_8 (canonical)	FOXE1	K2_balanced	0.298
RAI_8 (canonical)	FOXE1	GSE286332	0.852
RAI_8 (canonical)	DIO1	TCGA	0.836
RAI_8 (canonical)	DIO1	K2_n260	0.754
RAI_8 (canonical)	DIO1	K2_n23	0.429
RAI_8 (canonical)	DIO1	K2_balanced	0.464
RAI_8 (canonical)	DIO1	GSE286332	0.889
TDS-16 (full)	DIO1	TCGA	0.869
TDS-16 (full)	DIO1	K2_n260	0.754
TDS-16 (full)	DIO1	K2_n23	0.579
TDS-16 (full)	DIO1	K2_balanced	0.619
TDS-16 (full)	DIO1	GSE286332	0.889
TDS-16 (full)	DIO2	TCGA	0.867
TDS-16 (full)	DIO2	K2_n260	0.652
TDS-16 (full)	DIO2	K2_n23	0.508
TDS-16 (full)	DIO2	K2_balanced	0.524
TDS-16 (full)	DIO2	GSE286332	0.889
TDS-16 (full)	DUOX1	TCGA	0.885
TDS-16 (full)	DUOX1	K2_n260	0.652
TDS-16 (full)	DUOX1	K2_n23	0.516
TDS-16 (full)	DUOX1	K2_balanced	0.524
TDS-16 (full)	DUOX1	GSE286332	0.889
TDS-16 (full)	DUOX2	TCGA	0.885
TDS-16 (full)	DUOX2	K2_n260	0.652
TDS-16 (full)	DUOX2	K2_n23	0.508
TDS-16 (full)	DUOX2	K2_balanced	0.548
TDS-16 (full)	DUOX2	GSE286332	0.877
TDS-16 (full)	FOXE1	TCGA	0.867
TDS-16 (full)	FOXE1	K2_n260	0.648
TDS-16 (full)	FOXE1	K2_n23	0.508
TDS-16 (full)	FOXE1	K2_balanced	0.548
TDS-16 (full)	FOXE1	GSE286332	0.889
TDS-16 (full)	GLIS3	TCGA	0.881
TDS-16 (full)	GLIS3	K2_n260	0.652
TDS-16 (full)	GLIS3	K2_n23	0.524
TDS-16 (full)	GLIS3	K2_balanced	0.56
TDS-16 (full)	GLIS3	GSE286332	0.889
TDS-16 (full)	HHEX	TCGA	0.877
TDS-16 (full)	HHEX	K2_n260	0.652
TDS-16 (full)	HHEX	K2_n23	0.492
TDS-16 (full)	HHEX	K2_balanced	0.524
TDS-16 (full)	HHEX	GSE286332	0.877
TDS-16 (full)	IYD	TCGA	0.872
TDS-16 (full)	IYD	K2_n260	0.652
TDS-16 (full)	IYD	K2_n23	0.5
