	ERR1518626	ERR1518627	ERR1518628	ERR1518629	ERR1518630	ERR1518631	ERR1518632	ERR1518633	ERR1518634	ERR1518642	ERR1518644	ERR1518654	ERR1518660	ERR1518669	ERR1518672	ERR1518681	ERR1518683	ERR1518687	ERR1518691	ERR1518695	ERR1518697	ERR1518702	ERR1518704	ERR1518713	ERR1518717	ERR1518722	ERR1518727	ERR1518729	ERR1518732	ERR1518733	ERR1518740	ERR1518744	ERR1518747	ERR1518781	ERR1518782	ERR1518785	ERR1518801	ERR1518840
DIO1	5.809696000000001	63.75540719999999	15.5319532	76.46729599999999	59.625094	33.997257000000005	2.9801621000000003	72.95441174999999	207.83592000000002	364.84435343990003	586.51431	598.2198999330001	575.3268150000001	33.054974	148.932673	1148.9396119999997	167.79081300000004	261.109377	1.560452255161	10.694794000000002	159.35091300000002	748.060232	414.612551	201.89404800000003	15.7508152359	176.28765	0.281755	325.88437000000005	375.131616	76.41182400000001	98.58358900000002	419.2827173999999	39.7131988435	0.235103	23.8583272	4.6520901	467.959974	395.219407
DIO2	177.51639	147.3951241	263.181004	118.91646	219.040596	88.81542000000002	375.305879	334.00378	94.041572	96.51435000000001	385.76136999999994	484.677324	773.15471	111.649325	124.232141	286.27180999999996	395.29416000000003	441.08303399999994	207.13351999999998	59.937636999999995	288.90770999999995	441.83450000000005	45.383357000000004	737.339039	273.67786899999993	171.63293000000002	48.56012	153.06665700000002	21.52552	45.5162019	42.31846899999999	90.00572100000001	64.507336	18.392142	71.696126	35.12067	32.40451	169.09355599999998
DNMT1	6.73349528607362	6.762540401063	16.729819320803056	13.7955767395	11.081260024999999	10.144094415491073	24.4476480609472	8.138510189122	16.891270383100004	28.443466502379998	10.227697999999998	13.939252142603175	18.03887232554449	13.44595036450005	7.9328947510268	7.031898226613479	19.1362903599227	11.882070132604	18.405075799209	14.046397882812967	8.820909531849999	11.834245370514001	4.942700899999999	19.474144796687153	30.66983757584309	22.224985734982493	23.36303913699435	18.922082818518685	17.5352373752691	9.210005803828693	26.419937599999997	18.22075548127579	28.6326830401135	26.106156971473105	24.267268197979803	10.136513150297967	7.600175500793064	14.03852572806316
DNMT3B	0.45879777000000005	0.43665177748	2.51205849	4.254682000000001	5.057638599999999	2.36835584	4.9439218002295195	1.296641694	2.492532	2.7042361226503	2.499209	5.132181137482657	4.195548384215099	2.0065822	0.46455465152754	0.9980703	0.8791937	2.2116624	3.216743095595	0.8594324900000001	1.2008884465816498	1.4624239013200002	1.2128369	2.6333633434557	8.55931232521841	7.24590438961183	0.578527572339	2.99707	1.079929	0.3490478	2.5116646179999997	1.234490071	5.493067	2.1637020000000002	4.049297600928854	0.8204747130000001	1.41710414	2.047223318
DUOX1	26.489014000000005	44.707834999999996	254.41885500000004	134.950045	113.907024	96.60635	247.05414	134.609137	297.439273	92.81786000000001	205.99789715709102	149.851295	163.58797700000002	162.51106	128.318241	222.30975200000006	63.526608	53.668307	219.81324900000004	391.452634	212.32483070000004	164.552642	133.002066	74.42207	482.36396	434.68946	141.999143	248.235251	355.9554595	77.06724009999999	335.613232	340.93125399999997	284.48452599999996	31.57103	64.353995	35.260281683289996	161.63774999999998	148.878144
DUOX2	42.3979380190935	41.377749015999996	437.773453	89.32938356299998	50.845986008303925	51.8695984	112.598376431666	79.2478577	374.04778481500006	103.19098063	61.0820000640629	87.1779200305183	67.8888528	121.997832	115.26766599999999	110.81033000035549	62.766096007191194	51.004719	63.1290060206225	346.5898995551999	260.6501060219003	328.3173910008319	115.9102430431489	55.70648019832001	535.55610854119	468.40329700000007	38.355876	245.04229900000004	271.93703120000004	21.484005599999996	244.73213	387.968101	109.52966900000001	7.063629551000001	87.53720800034057	20.66386900252759	260.38128100566223	56.053201
FOSL1	0.269739	0.122674	1.295693	1.150633	0.202912	0.0677083	3.200092	0.612471	1.8554279999999999	0.0	0.0	0.2473543	0.452291	0.46211099999999994	0.303888	0.39510599999999996	0.768505	29.919939000000003	0.685893	0.999787	0.3554424	0.683143	0.309553	0.2803675	1.08697175	1.29229	0.24457500000000001	0.49272	0.8035337	0.2871216	1.5550840000000001	3.2236920000000002	0.553938	1.0546544	0.86495	2.26962618	1.5238126888999999	10.072576
FOXE1	149.116	120.405	213.975	164.381	380.596	152.145	335.781	156.727	229.298	230.861	358.224	333.719	454.699	193.043	229.942	635.119	336.537	143.13	358.735	194.219	248.128	347.685	294.599	142.922	105.724	111.051	38.7767	160.805	82.5513	58.5744	37.3539	164.539	115.437	53.9842	160.135	112.184	273.822	123.211
GLIS3	6.562912258600001	6.43565167201272	11.436360899999999	10.601638700000002	21.6538596	10.364608821000001	29.856670913000002	18.686031000412466	10.357325471135	10.736320999999998	26.35837652	20.608233250999998	43.450836	9.824566704	5.6866657400000005	20.814781799999995	10.447231197000002	19.905381000000002	16.935950300000002	7.9309217	5.8308526	11.4836322	6.310468413989999	11.962418003048999	16.82561	28.0725498	3.2237890339540005	9.299865506320192	9.359731140000003	5.100268948999999	3.4254472999999996	7.0679566000000005	11.598837199999998	4.671699679	9.52694300760898	7.1023418	7.8202894999999994	11.668895100000002
HHEX	51.932596	112.00054999999999	425.95781	286.7927	149.94365	167.95651999999998	439.36137999999994	253.97544000000002	180.74348000000003	123.02872	155.01997	393.97053000000005	190.89842	214.81350000000003	144.77147	125.09761800000001	130.38771	158.6059	144.27236999999997	246.95125000000002	233.45646799999997	220.38212	139.94647000000003	98.21999	518.5799	333.34110000000004	161.20843	420.21305	144.66191400000002	44.055283	147.51392	252.79067	129.22044	62.376991000000004	217.38293000000002	61.34902	114.01721000000002	156.37204
IYD	333.52226599999995	319.2181990000001	458.14533	316.470538	879.29286	249.39649099999997	1380.9395499999998	379.11731700000007	544.6290799999999	493.32164	523.5655	752.9718739999998	630.43267	741.3824400000001	105.79890299999998	216.542222	183.84077815950002	534.413786	947.2669400000002	285.25083	669.307531	442.09222600000004	463.95727200000005	250.95927	664.497886	623.125849	27.743308999999996	426.37738399999995	241.4092398	19.351336	240.0692106	249.8276778	387.64597	111.94574	559.121954	229.641896	148.470188	128.03534000000002
JUNB	26.3422	91.5116	420.871	88.7283	301.471	344.102	651.44	198.069	32.9999	67.0169	31.1597	30.4965	30.5624	36.7076	55.8583	76.4711	234.971	352.485	161.907	69.871	38.8647	31.3818	41.7872	27.7212	246.594	90.6555	70.3993	142.706	92.2818	26.6637	144.965	158.922	130.963	101.787	91.4849	150.415	20.1873	498.225
NKX2-1	44.1389	66.08762999999999	266.4221	131.76706	229.423	130.54692000000003	260.2636	106.40570000000001	318.44169999999997	198.66232	121.490800211169	151.01078	145.46731000000003	153.9083	92.48015000000001	93.21453	123.8955	62.28916	195.8932	412.6993	180.78259999999997	87.97564	79.56022999999999	96.84612999999999	358.23659999999995	482.85530000000006	172.57260000000002	268.52364	174.29733	73.22875900000001	299.82053	161.82249000000002	152.78755826	78.3766	161.715	91.83306999999999	96.18988999999999	141.04718
PAX8	188.535413	283.149296	543.9275070000001	568.3150279999999	662.4722750000001	571.8843302029999	823.6260689999999	719.097547399	823.7709	413.85362	455.06002	1120.881596	1035.4116539999998	277.97441200000003	370.64929	786.9436890000001	451.66653199999996	502.30723900000004	543.0631209999999	275.195895	314.9850789999999	497.881165	283.18700199999995	743.644503	765.644758	1387.243241	265.471654617	718.777185005464	234.700646	263.4968380001528	404.09394746329997	323.17842835000005	767.61314	203.17623	287.23196100000007	204.545556	378.644701	507.7076359999999
SLC26A4	110.31996300202931	195.42730100000003	211.04666800000004	235.33906	180.76139700000004	178.65921000000003	197.97084999999998	300.12377	221.37734027473002	198.1847	185.78310000000002	317.242599	367.061912	136.461296	59.747861	139.89600000000002	9.707600000000001	222.344712	103.02920313930998	82.089598	118.4735799606	192.00901399999995	74.35742	405.90736300000003	340.72443000000004	288.39158899999995	6.974987	115.342179	59.134686	48.800956	56.63009099999999	33.396319999999996	90.11384299999999	14.779336	75.509107	9.729610000000001	133.36475199999998	85.800044
SLC5A5	0.0755879	0.268526	0.829688	1.12833	0.2135614	2.04034	0.278909	17.055767999999997	0.366539	4.2395700000000005	0.858776	0.0246178	0.329396	0.217573	0.224967	1.78136	0.0176571	0.091955	0.6022780000000001	0.332406	1.54683	0.0160499	0.0419113	0.940894	2.198697	0.528758	0.071255	0.0682132	0.0947332	54.768057	0.0952095	4.21757	0.915691	0.155487	0.316749	0.183421	6.60429	8.96122
SLC5A8	14.3774	14.3263	6.67865	22.6343	3.80532	20.739	2.01133	36.4959	17.1978	10.0732	19.5842	38.9372	18.2696	12.1394	17.3854	11.5796	15.0404	23.0274	3.98341	1.31065	12.9395	19.5757	9.81942	57.1782	9.38695	17.6321	0.198008	3.06671	4.68969	11.167	11.6394	5.10756	6.33961	0.0344983	2.80872	1.93956	32.5284	17.1125
STAT3	32.57137203747408	23.534131375726187	39.15922276807523	31.60380927	36.78077899061482	28.747029957124404	55.38562857361975	30.926344233036463	62.9362983822888	48.792222144792	37.4850309724677	46.13789650464	50.829600132272994	38.665541543784	18.5660979359069	30.04925654908735	50.565263748655724	79.501371663051	27.599968741020227	38.2041000530437	29.41938361635626	24.501600651550934	22.223030623899998	45.70668554939377	71.68343426987052	61.99047516703211	26.35750439460339	20.111372020121195	20.12527175164536	17.02929789004054	23.222567534383	26.664453907242212	29.222281869742186	44.50042058348831	51.42367788258558	52.157730016872996	24.0635001075522	36.82592957164967
TFF3	139.5113	1668.065	120.72279	2529.5776	457.83	9025.7066	3840.305	4867.16	1444.209	433.21000000000004	521.285	1874.7656799999997	558.47292	860.75345	114.91220000000001	1549.88879	1556.3483499999998	1285.1957499999999	2440.9662	110.5656	162.33339999999998	194.75781	437.47861	98.41826	158.0333	418.91309	12.145987	1438.4475499999999	1593.33376	1173.90419	15.50892	392.30656000000005	7584.78	13.89385	32.419399999999996	100.7517	1641.684	245.4715
TG	6053.072722999999	10225.364531999998	37418.59653000001	25445.400260000006	16410.88604	20272.21198	10960.8689	23705.130627000006	31787.377289999997	22532.241600000005	23880.106529999997	28950.150056000006	31994.193030000002	34819.058410000005	9760.970918999996	20723.013113999998	9616.806202999998	25828.58455	9211.132560000004	30307.598529999996	28571.362889999997	4471.865693000001	17430.390475999997	6691.603399999999	22630.067610000002	44128.0756	17280.048354	20732.637914	92561.490604	27058.454929400003	18205.830031	35060.55228	28788.46103	1059.0134699999999	14378.910498999998	2456.543367	19458.76361	45945.83255
THRA	31.999319	27.508317512999998	36.617875	31.399639999999998	42.184605999999995	36.558385	39.103507	45.021048	40.0333805757	27.134310594098	51.72086042008	28.57762	34.180014	38.29607	24.258840003399868	29.629033999999997	31.270418000000006	32.1637456	44.266540000700346	54.540002	27.628537	21.314459999999997	49.534093	37.56515	31.94598	29.927261999999995	29.761342	19.89894	20.68642	21.866585	19.54756	29.581254	23.132756999999998	16.047260431852003	38.416963	23.939943	27.9051736	16.532556
THRB	4.580351319	2.9223088000842363	3.25726550320991	3.453663	0.8897660000000001	2.5333924	7.058852222774	2.463695	4.701642999999999	2.3350679999999997	3.07343	2.393843	1.9569070071404902	2.9043185996000003	2.2836292001980407	3.4112416616999996	2.2587101	2.07335703	4.8711415	2.3093595000000002	1.466498	0.6369640999999999	1.17936	2.358871	2.670492	3.0640659047716103	0.8488099	1.048854	1.15225	0.4563634	0.6080331	1.1024107	1.3454492849158	2.3857190000000004	1.7974372	4.304162	1.0043190950618999	0.8729224000000001
TPO	686.8969176000002	627.013162815271	459.82002738667404	957.8851288000001	4822.273748434001	1459.9505072	828.3854330214052	1429.7765342999999	1668.9794667	5715.34010069395	4562.63656	3905.377135054651	8279.230570008138	1200.156880103866	1528.7337097693598	1221.8473126204212	4163.001393345701	4800.3655358	1096.6794790000001	466.57874799999996	917.61316	2614.552155	2347.4794389999997	599.145282	909.8037149999999	502.77793740000004	29.459602452699997	5365.4739674	4479.7243543	2604.6002883	604.29971194	717.8398086259299	2042.0327232788302	11.099431	233.85657080000001	37.169828305488544	1525.3107089999999	7328.4730939
TSHR	153.67618677000002	290.784523	547.299437	264.5194419106	277.390504	401.347768	357.128041	376.768359	341.70300599999996	548.2260600000001	274.94669999999996	380.399088	402.92060000000004	399.9176319999999	350.816257	274.12275700000004	310.518671	345.222591	379.92838699999993	426.224529	557.9234480000001	149.624128	291.02867499999996	164.126016	531.306304	488.765087	229.71598400000002	430.0051210000001	249.65662199999997	115.24901500000001	175.06631	310.101257	407.65435699999995	87.44838700000003	251.86246200000002	146.70341420000003	373.5635270000001	277.83798092603
