cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
ADM,RAMP3,1.0,0.232,1.0,1.0,0.886,0.512,0.148,0.558,0.952,0.844,0.0,0.018,0.0,0.906,0.702,0.154,0.058,0.158,0.784,0.654,,,,,
CALCA,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
CALCB,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
APELA,APLNR,,,,,,,,,,,,,,,,,,,,,,,,,
CCL17,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL22,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL20,CCR6,1.0,0.504,1.0,0.272,,0.884,0.686,0.942,0.536,,0.0,0.016,0.0,0.032,,0.52,0.374,0.606,0.284,,,,,,
CCL19,CCR7,0.0,0.0,0.0,,,0.048,0.074,0.066,,,1.0,1.0,1.0,,,0.982,0.98,0.986,,,0.968,0.976,0.988,,
CCL21,CCR7,0.0,0.008,0.0,,,0.356,0.388,0.462,,,1.0,1.0,1.0,,,0.67,0.684,0.752,,,0.808,0.824,0.844,,
SAA1,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
RSPO3,LGR5,,,,,,,,,,,,,,,,,,,,,,,,,
NMU,NMUR2,,,,0.098,,,,,0.224,,,,,0.058,,,,,0.238,,,,,,
SST,SSTR1,,,,,,,,,,,,,,,,,,,,,,,,,
SST,SSTR2,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,HMOX1,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DRA,LGMN,0.73,0.55,0.016,0.0,0.082,0.028,0.044,0.01,0.0,0.01,1.0,0.922,0.93,0.0,0.184,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.79,0.99
HLA-DRB5,LGMN,1.0,0.83,0.69,0.0,0.154,0.828,0.796,0.688,0.0,0.268,0.79,0.584,0.014,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.998,0.998,0.996,0.526,0.936
HLA-DQA2,LGMN,1.0,0.854,0.804,0.0,0.156,0.518,0.502,0.28,0.0,0.104,0.752,0.552,0.002,0.0,0.078,0.002,0.0,0.0,0.0,0.002,0.986,0.984,0.968,0.13,0.794
HLA-DRB1,LGMN,1.0,0.84,0.766,0.0,0.156,0.744,0.684,0.51,0.0,0.208,0.788,0.568,0.012,0.0,0.084,0.0,0.0,0.0,0.0,0.002,0.964,0.95,0.93,0.094,0.748
HLA-DQB2,LGMN,1.0,0.74,0.166,0.0,0.124,0.902,0.748,0.478,0.0,0.14,0.996,0.648,0.008,0.0,0.09,0.082,0.162,0.018,0.0,0.022,,,,,
LAMA3,ITGA6,0.992,0.018,0.316,0.65,0.228,0.104,0.006,0.034,0.308,0.11,0.91,0.006,0.034,0.586,0.198,0.694,0.052,0.43,0.642,0.252,,,,,
VEGFD,KDR,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,C3,,,,,,,,,,,,,,,,,,,,,,,,,
CGA,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,FLT1,1.0,0.922,1.0,1.0,0.2,0.23,0.096,0.08,0.268,0.028,0.0,0.006,0.0,0.126,0.014,0.314,0.176,0.188,0.342,0.064,0.956,0.882,0.908,0.946,0.642
PLAUR,PLAU,1.0,0.688,0.0,0.018,0.956,1.0,0.706,0.016,0.032,0.956,1.0,0.534,0.0,0.01,0.916,0.084,0.046,0.0,0.0,0.578,,,,,
OSM,LIFR,0.414,0.242,0.408,0.618,0.596,0.278,0.236,0.294,0.532,0.544,0.624,0.282,0.642,0.644,0.608,0.396,0.286,0.396,0.63,0.596,,,,,
VEGFA,KDR,1.0,1.0,1.0,,0.018,0.196,0.26,0.094,,0.002,0.0,0.046,0.0,,0.0,0.286,0.332,0.202,,0.008,0.952,0.954,0.914,,0.418
KDR,VEGFA,1.0,0.196,0.0,0.286,0.952,1.0,0.26,0.046,0.332,0.954,1.0,0.094,0.0,0.202,0.914,,,,,,0.018,0.002,0.0,0.008,0.418
HLA-G,CD160,,,,,,,,,,,,,,,,,,,,,,,,,
EDN1,EDNRB,,,,,,0.006,0.0,0.004,0.05,0.08,,,,,,,,,,,0.05,0.012,0.024,0.064,0.092
LAMA4,ITGA6,0.92,0.012,0.096,0.602,0.202,0.0,0.0,0.0,0.002,0.01,1.0,0.024,0.666,0.704,0.244,0.95,0.246,0.824,0.838,0.452,0.038,0.004,0.018,0.052,0.034
VWF,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFD,FLT4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
TG,TPO,1.0,1.0,1.0,0.498,0.976,1.0,1.0,1.0,1.0,1.0,0.0,0.88,0.0,0.022,0.64,0.896,0.986,0.772,0.602,0.96,1.0,1.0,1.0,1.0,1.0
HLA-G,KLRC1,,1.0,,,,,0.958,,,,,0.0,,,,,0.978,,,,,,,,
MMP9,LRP1,0.574,0.0,0.834,0.204,0.148,0.838,0.0,0.91,0.334,0.192,0.946,0.0,0.996,0.258,0.17,0.0,0.0,0.0,0.0,0.002,,,,,
MMRN2,CD93,0.87,0.002,0.992,0.454,0.0,0.002,0.0,0.012,0.104,0.0,0.714,0.002,0.95,0.428,0.0,0.686,0.002,0.8,0.516,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN1,ITGA6,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0,0.996,0.0,0.0,0.0,0.0,0.006,0.636,0.322,0.578,0.668,0.436,1.0,0.994,1.0,1.0,0.994
MMRN2,CLEC14A,1.0,0.238,0.034,0.774,0.002,0.018,0.012,0.0,0.116,0.0,1.0,0.18,0.008,0.68,0.002,0.862,0.366,0.408,0.748,0.014,0.0,0.0,0.0,0.0,0.0
SAA1,CD36,0.638,0.838,0.766,,,,,,,,0.156,0.702,0.24,,,0.044,0.108,0.05,,,,,,,
LY6H,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,ACKR1,0.074,0.906,0.998,0.686,,0.018,0.304,0.066,0.246,,0.016,0.884,0.98,0.662,,0.0,0.01,0.0,0.006,,,,,,
CCL14,ACKR1,0.006,0.87,0.994,0.634,,0.338,0.876,0.912,0.724,,0.004,0.9,0.976,0.648,,0.014,0.376,0.118,0.302,,,,,,
CCL17,ACKR1,0.06,0.856,0.892,0.632,,0.004,0.066,0.016,0.044,,0.088,0.894,0.918,0.642,,0.904,0.972,0.956,0.944,,0.916,0.962,0.952,0.948,
CCL2,ACKR1,0.064,0.904,0.986,0.66,,0.0,0.004,0.0,0.01,,0.172,0.93,0.996,0.708,,0.012,0.21,0.06,0.134,,0.01,0.036,0.012,0.028,
CCL5,ACKR1,0.012,0.85,0.896,0.604,,0.284,0.768,0.62,0.6,,0.108,0.914,0.988,0.696,,0.014,0.156,0.038,0.142,,0.458,0.752,0.638,0.664,
CXCL8,ACKR1,0.022,0.904,0.994,0.664,,0.362,0.91,0.904,0.72,,0.006,0.87,0.976,0.63,,0.0,0.038,0.004,0.026,,,,,,
PPBP,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL1,ACKR1,,,,,,0.006,0.788,0.624,0.538,,0.0,0.876,0.99,0.636,,,,,,,,,,,
CXCL2,ACKR1,0.34,0.946,1.0,0.738,,0.0,0.098,0.012,0.07,,0.024,0.892,0.976,0.648,,0.0,0.0,0.0,0.0,,0.0,0.004,0.002,0.004,
CXCL13,ACKR4,,0.004,,0.016,,,0.672,,0.542,,,0.788,,0.154,,,,,,,,,,,
CCL5,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
DEFB1,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL23,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,KDR,0.0,0.054,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,0.126,0.804,0.824,0.748,,0.262,0.0,0.0,0.0,,0.0
GREM1,KDR,0.602,0.64,0.0,,0.004,0.842,0.84,0.428,,0.006,1.0,0.904,0.332,,0.004,,,,,,,,,,
APOE,LDLR,0.904,0.708,0.096,0.186,0.0,0.012,0.012,0.004,0.006,0.0,1.0,0.984,0.954,0.494,0.006,0.0,0.0,0.0,0.0,0.0,0.978,0.974,0.964,0.956,0.72
MDK,LRP1,1.0,0.0,1.0,0.762,0.45,0.324,0.0,0.372,0.174,0.104,0.0,0.0,0.0,0.006,0.028,0.986,0.082,0.996,0.864,0.702,0.988,0.454,0.988,0.956,0.846
DLK1,NOTCH3,,,,,,,,,,,,,,,,,,,,,,,,,
DLL4,NOTCH3,1.0,0.0,0.576,0.816,0.0,0.192,0.0,0.008,0.546,0.0,0.992,0.0,0.032,0.728,0.0,0.614,0.0,0.112,0.658,0.0,0.0,0.0,0.0,0.02,0.0
DLL1,NOTCH4,0.996,0.022,0.088,,0.002,,,,,,0.986,0.022,0.026,,0.002,0.508,0.066,0.264,,0.004,,,,,
JAG1,NOTCH4,1.0,0.138,0.996,,0.004,0.0,0.0,0.0,,0.0,0.308,0.004,0.002,,0.002,0.7,0.312,0.604,,0.02,0.0,0.0,0.0,,0.0
DLK1,NOTCH4,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF14,TNFRSF6B,,,,,,0.086,0.36,0.794,0.466,0.458,,,,,,,,,,,,,,,
SCT,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
SCT,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
SCT,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
COMP,CD36,0.002,0.13,0.002,,,0.0,0.0,0.0,,,1.0,1.0,1.0,,,0.98,0.986,0.982,,,0.958,0.972,0.954,,
CCL2,ACKR4,,0.198,,0.076,,,0.0,,0.0,,,0.388,,0.108,,,0.022,,0.012,,,0.012,,0.006,
CCL13,ACKR4,,0.166,,0.09,,,0.024,,0.018,,,0.12,,0.076,,,0.0,,0.0,,,,,,
CXCL6,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,STAB1,0.998,0.002,1.0,0.04,0.436,0.704,0.006,0.826,0.056,0.424,0.0,0.0,0.022,0.006,0.234,0.554,0.018,0.636,0.062,0.392,,,,,
THBS1,ITGA6,0.698,0.004,0.052,0.538,0.194,0.0,0.0,0.0,0.0,0.002,1.0,0.038,0.908,0.774,0.29,0.73,0.268,0.616,0.704,0.426,0.104,0.03,0.082,0.138,0.07
THBS1,CD36,0.132,0.632,0.218,,,0.0,0.0,0.0,,,0.988,0.998,0.998,,,0.644,0.74,0.66,,,0.086,0.116,0.088,,
VWF,SCARA5,0.526,0.0,0.956,0.742,,0.45,0.026,0.562,0.568,,0.08,0.0,0.598,0.552,,0.964,0.45,0.988,0.978,,0.142,0.028,0.168,0.176,
FGF7,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTH2,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
TFF2,MUC6,,,,,,,,,,,,,,,,,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,,,,,,,,,,,,,,,,,
S100A1,RYR2,1.0,,1.0,,,0.872,,0.866,,,0.0,,0.0,,,0.836,,0.832,,,0.954,,0.952,,
SCGB3A1,MARCO,0.972,0.224,0.404,0.0,,,,,,,1.0,0.264,0.734,0.0,,0.196,0.116,0.126,0.0,,,,,,
ANGPTL4,GPIHBP1,,,,,,,,,,,,,,,,,,,,,,,,,
ANGPTL4,TIE1,1.0,0.052,0.998,0.36,0.004,0.03,0.002,0.022,0.026,0.0,0.128,0.008,0.018,0.114,0.004,0.856,0.318,0.796,0.576,0.026,0.108,0.03,0.096,0.07,0.002
IGF1,INSR,0.98,0.352,0.0,0.144,0.12,0.144,0.128,0.012,0.052,0.07,1.0,0.696,0.19,0.284,0.206,0.002,0.0,0.0,0.002,0.004,,,,,
PCSK9,LDLR,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL11,ACKR1,,,,,,,,,,,0.0,0.846,0.906,0.584,,,,,,,,,,,
ANGPT2,TIE1,0.982,0.028,0.818,0.25,0.004,0.0,0.0,0.0,0.0,0.0,0.96,0.028,0.668,0.216,0.004,0.562,0.138,0.476,0.34,0.018,0.002,0.0,0.002,0.0,0.0
CALCA,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
THBS2,NOTCH4,0.032,0.004,0.002,,0.002,0.0,0.0,0.0,,0.0,1.0,0.684,1.0,,0.01,0.686,0.42,0.598,,0.044,0.358,0.198,0.308,,0.034
THBS2,ITGA6,0.092,0.002,0.0,0.388,0.136,0.0,0.0,0.0,0.0,0.0,1.0,0.234,1.0,0.982,0.49,0.696,0.28,0.584,0.662,0.414,0.358,0.124,0.302,0.37,0.238
THBS2,CD36,0.006,0.286,0.004,,,0.0,0.0,0.0,,,1.0,1.0,1.0,,,0.614,0.682,0.626,,,0.32,0.36,0.33,,
S100A8,CD36,0.66,0.844,0.79,,,,,,,,0.45,0.796,0.616,,,0.0,0.0,0.0,,,0.184,0.324,0.184,,
S100A12,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
S100A9,CD36,1.0,0.998,1.0,,,0.12,0.282,0.124,,,0.012,0.564,0.032,,,0.0,0.0,0.0,,,0.694,0.778,0.712,,
CALCB,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
MDK,ITGA6,1.0,0.852,1.0,1.0,0.828,0.366,0.07,0.256,0.378,0.192,0.0,0.0,0.0,0.012,0.016,0.992,0.902,0.986,0.984,0.928,0.988,0.94,0.986,0.986,0.954
ADM,TSHR,1.0,0.998,0.0,0.09,0.972,1.0,0.976,0.0,0.076,0.928,1.0,0.954,0.0,0.024,0.864,0.954,0.872,0.002,0.028,0.818,,,,,
CGA,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL8,CD79A,0.0,0.79,1.0,0.982,0.904,0.014,0.84,1.0,0.984,0.914,0.0,0.774,1.0,0.974,0.9,0.0,0.068,0.014,0.324,0.348,,,,,
PTH2,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,LRP1,0.616,0.0,0.824,0.22,0.146,0.01,0.0,0.008,0.002,0.008,1.0,0.0,0.996,0.384,0.214,0.0,0.0,0.0,0.0,0.0,0.974,0.378,0.976,0.926,0.804
PCSK9,LRP1,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,LRP1,0.446,0.0,0.74,0.188,0.138,0.0,0.0,0.0,0.002,0.0,0.988,0.0,0.998,0.286,0.176,0.692,0.0,0.746,0.4,0.26,0.098,0.0,0.106,0.058,0.07
VWF,LRP1,0.824,0.0,0.956,0.242,0.166,0.518,0.0,0.588,0.27,0.164,0.424,0.0,0.694,0.184,0.148,0.982,0.01,0.988,0.712,0.44,0.164,0.0,0.178,0.094,0.09
CGA,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL7,ACKR4,,,,,,,,,,,,,,,,,0.004,,0.006,,,,,,
CCL8,ACKR4,,,,,,,0.052,,0.034,,,0.06,,0.058,,,0.042,,0.03,,,0.002,,0.0,
S100A9,CD68,1.0,0.296,1.0,0.0,0.954,0.16,0.086,0.186,0.0,0.768,0.268,0.14,0.474,0.0,0.88,0.0,0.0,0.0,0.0,0.092,0.742,0.448,0.764,0.0,0.924
S100A8,CD68,0.826,0.188,0.972,0.0,0.92,,,,,,0.814,0.182,0.91,0.0,0.918,0.0,0.0,0.0,0.0,0.274,0.196,0.142,0.214,0.0,0.832
PTH2,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,FLT4,,,,,,,,,,,,,,,,,,,,,,,,,
THBS2,NOTCH3,0.568,0.0,0.002,0.624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002,1.0,0.958,0.0,0.756,0.008,0.588,0.754,0.0,0.412,0.008,0.302,0.452,0.0
SCGB3A1,NOTCH3,1.0,0.0,0.082,0.754,0.0,,,,,,0.998,0.0,0.162,0.78,0.0,0.72,0.0,0.062,0.656,0.0,,,,,
CXCL8,KDR,0.996,0.838,0.076,,0.004,0.862,0.872,0.498,,0.006,0.976,0.768,0.016,,0.004,0.002,0.006,0.002,,0.0,,,,,
CXCL9,FCGR2A,0.61,0.004,0.992,0.0,0.448,0.016,0.002,0.068,0.0,0.266,0.318,0.004,0.976,0.0,0.424,0.68,0.014,0.922,0.002,0.506,0.366,0.02,0.446,0.0,0.422
VEGFD,FLT1,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,ICOS,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,F3,0.4,0.698,0.026,,0.168,0.0,0.0,0.0,,0.004,0.998,0.914,0.912,,0.244,0.384,0.578,0.268,,0.186,0.092,0.154,0.072,,0.058
CXCL12,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL3,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTN,PTPRB,0.998,0.002,0.006,0.412,0.0,0.816,0.024,0.356,0.506,0.0,1.0,0.004,0.058,0.462,0.0,0.352,0.008,0.14,0.254,0.0,0.484,0.08,0.34,0.43,0.0
CCL8,ACKR1,,,,,,0.014,0.758,0.5,0.53,,0.0,0.866,0.97,0.618,,0.028,0.67,0.196,0.462,,0.0,0.098,0.006,0.074,
EDN1,ADGRL4,,,,,,0.006,0.0,0.006,,0.0,,,,,,,,,,,0.046,0.0,0.034,,0.0
MDK,TSPAN1,1.0,1.0,0.0,0.928,1.0,0.94,0.994,0.002,0.478,0.996,0.98,0.994,0.0,0.184,0.988,1.0,1.0,0.602,0.942,1.0,0.998,1.0,0.852,0.978,1.0
CCL1,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,ITGA6,0.4,0.002,0.0,0.504,0.172,0.074,0.0,0.024,0.202,0.086,1.0,0.042,0.944,0.784,0.278,0.0,0.0,0.0,0.006,0.014,,,,,
CCL18,ACKR1,0.0,0.62,0.056,0.416,,0.744,0.94,0.956,0.852,,0.896,0.988,1.0,0.84,,0.014,0.112,0.032,0.082,,0.422,0.696,0.546,0.574,
CXCL3,ACKR1,0.002,0.872,0.978,0.622,,,,,,,0.026,0.908,1.0,0.68,,0.0,0.062,0.0,0.052,,0.004,0.044,0.012,0.032,
CXCL5,ACKR1,,,,,,,,,,,,,,,,0.0,0.268,0.026,0.21,,,,,,
CXCL9,ACKR1,0.026,0.892,0.996,0.67,,0.002,0.366,0.072,0.284,,0.002,0.876,0.956,0.634,,0.444,0.906,0.868,0.734,,0.256,0.704,0.428,0.56,
CXCL10,ACKR1,0.022,0.904,1.0,0.676,,0.08,0.686,0.388,0.488,,0.0,0.846,0.94,0.612,,0.326,0.87,0.742,0.672,,,,,,
CXCL13,ACKR1,0.0,0.702,0.306,0.474,,0.57,0.928,0.97,0.796,,0.392,0.956,1.0,0.76,,,,,,,,,,,
CCL7,ACKR1,,,,,,,,,,,,,,,,0.002,0.6,0.058,0.396,,,,,,
SPP1,ITGB6,0.806,0.684,0.0,0.04,,0.754,0.762,0.348,0.194,,1.0,0.998,0.624,0.178,,0.0,0.0,0.0,0.0,,,,,,
ANGPTL4,CDH5,1.0,0.63,0.992,0.712,0.0,0.032,0.05,0.024,0.138,0.0,0.166,0.308,0.066,0.47,0.0,0.854,0.712,0.802,0.802,0.0,0.102,0.104,0.1,0.154,0.0
ANGPTL4,CDH11,0.474,0.0,1.0,0.44,0.054,0.01,0.0,0.144,0.128,0.022,0.0,0.0,1.0,0.314,0.032,0.642,0.0,1.0,0.536,0.082,0.064,0.0,0.188,0.118,0.026
SLC1A2,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,TYROBP,0.898,0.036,0.356,0.0,,0.01,0.006,0.004,0.0,,1.0,0.106,0.968,0.0,,0.0,0.0,0.0,0.0,,0.978,0.876,0.968,0.008,
CCL20,ACKR4,,0.982,,0.488,,,0.806,,0.694,,,0.004,,0.004,,,0.424,,0.358,,,,,,
FAM3D,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-G,KLRD1,,1.0,,,,,0.946,,,,,0.0,,,,,0.974,,,,,,,,
FGFR4,MCAM,,,,,,,,,,,,,,,,,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,DLK1,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF9,FCRL1,,,,,,0.054,,,,0.066,0.002,,,,0.09,,,,,,,,,,
DCN,LRP1,0.0,0.0,0.002,0.056,0.068,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.726,0.408,0.788,0.014,0.818,0.562,0.366,0.0,0.0,0.0,0.002,0.004
IFNG,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
TPO,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
HAPLN1,IL1RL1,,,,,,0.388,0.09,0.012,0.24,,,,,,,,,,,,,,,,
SEMA3G,FCGR2A,0.646,0.002,0.998,0.0,0.456,0.0,0.0,0.0,0.0,0.164,0.53,0.004,0.998,0.0,0.442,0.324,0.004,0.78,0.0,0.442,0.0,0.0,0.0,0.0,0.026
VCAM1,VCAM1,0.0,0.008,0.912,0.142,,0.008,0.052,0.188,0.088,,0.912,0.188,1.0,0.524,,0.142,0.088,0.524,0.302,,,,,,
CCL5,ACKR4,,0.06,,0.052,,,0.358,,0.304,,,0.244,,0.09,,,0.018,,0.012,,,0.488,,0.462,
FLT4,FCRL1,0.214,,,,0.1,,,,,,0.022,,,,0.102,,,,,,0.112,,,,0.074
CRLF1,LIFR,1.0,0.536,0.992,0.854,0.688,0.0,0.002,0.0,0.024,0.05,0.02,0.116,0.012,0.438,0.47,0.762,0.638,0.758,0.812,0.784,0.896,0.818,0.902,0.91,0.902
PCSK9,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
EFNB2,FCRL1,0.332,,,,0.102,0.134,,,,0.054,0.264,,,,0.108,,,,,,0.002,,,,0.002
VCAN,LDLR,0.002,0.16,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.944,0.018,0.936,0.932,0.872,0.79,0.18,0.016,0.022,0.008,0.006,0.0
CEACAM5,CEACAM6,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1,ITGA6,0.994,0.038,0.812,0.762,0.282,0.0,0.0,0.0,0.0,0.0,0.958,0.028,0.584,0.704,0.25,0.246,0.062,0.198,0.274,0.146,0.006,0.0,0.004,0.014,0.004
