cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,0.1368758059874341,0.25941902149564183,0.1545246681925493,0.21829047898724402,0.0,0.29346038425470883,0.41600359976291656,0.3111092464598241,0.37487505725451875,0.0,0.13155307969897925,0.254096295207187,0.14920194190409447,0.2129677526987892,0.0,0.22281506758578967,0.3453582830939974,0.24046392979090492,0.3042297405855996,0.0,0.3204621448567062,0.44300536036491395,0.33811100706182146,0.4018768178565162,0.0
TNFSF9,TNFRSF9,0.014348882117441723,0.0,0.011219195248297575,0.047380806311910405,0.0,0.03410524206720429,0.0,0.03097555519806014,0.06713716626167297,0.0,0.021430520215259367,0.0,0.01830083334611522,0.05446244440972805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012747812597706496,0.034303987241453594,0.017150598764419555,0.0,0.19536070567038324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.2388976402307823,0.49782983581225076,0.2732115408612622,0.22488589939616976,0.9451300452152888,0.45096768113228425,0.7098998767137528,0.48528158176276415,0.4369559402976717,1.1572000861167908,0.2737424504980718,0.5326746460795402,0.3080563511285517,0.25973070966345924,0.9799748554825782,0.2385467334954075,0.49747892907687596,0.2728606341258874,0.22453499266079494,0.944779138479914,0.5650460136160528,0.8239782091975212,0.5993599142465327,0.5510342727814401,1.2712784186005592
HLA-DRB5,CTSL,0.8435697575055418,0.8831915137826741,0.9118602824672953,1.1147248015462696,1.052721025115186,0.8149587641143319,0.8545805203914643,0.8832492890760855,1.0861138081550599,1.0241100317239762,0.8776574908953204,0.9172792471724528,0.945948015857074,1.1488125349360483,1.0868087585049646,1.346237813119159,1.3858595693962914,1.4145283380809126,1.617392857159887,1.5553890807288033,0.44057310163811014,0.4801948579152425,0.5088636265998637,0.711728145678838,0.6497243692477543
HLA-DQA2,CTSL,0.46333350414485286,0.5029552604219852,0.5316240291066064,0.7344885481855807,0.6724847717544971,0.5050181506061073,0.5446399068832397,0.5733086755678609,0.7761731946468353,0.7141694182157516,0.5024554712170985,0.5420772274942309,0.5707459961788521,0.7736105152578265,0.7116067388267429,0.8180992160224434,0.8577209722995758,0.886389740984197,1.0892542600631714,1.0272504836320877,0.23576453864410685,0.2753862949212392,0.30405506360586043,0.5069195826848348,0.44491580625375116
HLA-DRB1,CTSL,0.6291825245288047,0.6688042808059371,0.6974730494905583,0.9003375685695327,0.838333792138449,0.638217292227697,0.6778390485048293,0.7065078171894505,0.909372336268425,0.8473685598373413,0.6667472319288568,0.7063689882059891,0.7350377568906103,0.9379022759695848,0.8758984995385011,1.0674532187536305,1.107074975030763,1.1357437437153841,1.3386082627943585,1.2766044863632748,0.4372766990446564,0.47689845532178876,0.50556722400641,0.7084317430853844,0.6464279666543007
IL2,IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147833724480045,0.011533892022238838,0.013710592493966774,0.012752698953189546,0.05190240409639146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQB2,CTSL,0.17293820436020474,0.21255996063733712,0.24122872932195832,0.44409324840093267,0.382089471969849,0.16593971649641956,0.20556147277355194,0.23423024145817314,0.4370947605371475,0.37509098410606384,0.185442656301808,0.2250644125789404,0.2537331812635616,0.456597700342536,0.3945939239114523,0.26585420579973595,0.30547596207686833,0.33414473076148954,0.5370092498404639,0.47500547340938026,0.0,0.0,0.0,0.0,0.0
