ligand_receptor,cluster_pair,mean,pval
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.6543254852767975,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.5559110449893137,0.0
"('CLU', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.4923181171928133,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.3811560422182083,0.0
"('CLU', 'TYROBP')","('B cell', 'Myeloid cell')",2.36916907314525,0.0
"('CLU', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.2158323018891473,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.1901367966617857,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'T cell')",2.128133020230702,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Fibroblast')",2.1204601472616194,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'T cell')",2.0742716132884933,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Fibroblast')",2.0589920462502374,0.0
"('TG', 'TPO')","('Malignant cell', 'Malignant cell')",2.0390504764599933,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Malignant cell')",1.9872722775828113,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Malignant cell')",1.978443421711209,0.0
"('DCN', 'LRP1')","('Fibroblast', 'Fibroblast')",1.9760473823547364,0.0
"('TG', 'TPO')","('Malignant cell', 'B cell')",1.9676301113788097,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Malignant cell')",1.9609463927094584,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Fibroblast')",1.9605776059627533,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Fibroblast')",1.9586035088981901,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'B cell')",1.9402810763772373,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Fibroblast')",1.939016714521817,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'B cell')",1.9339450141103423,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'B cell')",1.9189817526210577,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'T cell')",1.9088852132360141,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Malignant cell')",1.8625319524219743,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Myeloid cell')",1.8472750229494912,0.0
"('HLA-DRA', 'LGMN')","('Fibroblast', 'Myeloid cell')",1.843246016076633,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'B cell')",1.835530573822858,0.0
"('HLA-DRB5', 'LGMN')","('Myeloid cell', 'Myeloid cell')",1.8084121027163098,0.0
"('APOE', 'LDLR')","('Myeloid cell', 'T cell')",1.8046705449620883,0.0
