metric	value	display	claim_boundary
selected_score	stress_guarded_discovery_score	stress_guarded_discovery_score	score used only for retrospective known-answer visualization
top96_known_positive_hits	91	91/96	known labels, not wetlab assay result
top96_precision	0.9479166666666666	94.8%	retrospective precision on known labels
top24_known_positive_hits	22	22/24	retrospective precision on known labels
top10_known_positive_hits	10	10/10	retrospective precision on known labels
top96_false_positives	5	5	these are the visible red failure wells in the demo plate
positive_gallery_known_responders	96	96/96	positive-control gallery deliberately selects known responders
best_score_top96_precision	0.9479166666666666	94.8%	score-board comparison is retrospective
