subset	model	n	AUROC
ITSNdb_combined	QK_SVM_4q	319	0.5869897139183542
ITSNdb_combined	RBF_SVM_8d	319	0.6568627450980392
ITSNdb_combined	GP_RBF_8d_Bayesian_classical	319	0.6680327868852459
ITSNdb_combined	GP_quantum_4q_Bayesian_quantum	319	0.6143522982963677
ITSNdb_no_overlap	QK_SVM_4q	106	0.5828144458281445
ITSNdb_no_overlap	RBF_SVM_8d	106	0.5554171855541719
ITSNdb_no_overlap	GP_RBF_8d_Bayesian_classical	106	0.5359070153590701
ITSNdb_no_overlap	GP_quantum_4q_Bayesian_quantum	106	0.5869655458696554
ITSNdb_in_master	QK_SVM_4q	213	0.587819947043248
ITSNdb_in_master	RBF_SVM_8d	213	0.6881729920564872
ITSNdb_in_master	GP_RBF_8d_Bayesian_classical	213	0.7080317740511916
ITSNdb_in_master	GP_quantum_4q_Bayesian_quantum	213	0.6345984112974404
