model	subset	n	AUROC
Wave1_Bayesian_only	ITSNdb_combined	311	0.7840628984275395
Structure_LR_only	ITSNdb_combined	311	0.6893752656183595
Wave1+Structure_avg50	ITSNdb_combined	311	0.7724606884827879
Wave1_Bayesian_only	ITSNdb_no_overlap	103	0.4106514084507042
Structure_LR_only	ITSNdb_no_overlap	103	0.653169014084507
Wave1+Structure_avg50	ITSNdb_no_overlap	103	0.585387323943662
Wave1_Bayesian_only	ITSNdb_in_master	208	0.9384972170686456
Structure_LR_only	ITSNdb_in_master	208	0.689517625231911
Wave1+Structure_avg50	ITSNdb_in_master	208	0.8421150278293136
Structure_LR_only	train_5fold_cv	2396	0.8195680150826782
