epoch	loss	train_auc_eval	elapsed_s
2	0.6517	0.63	172.2
3	0.6422	0.675	241.9
4	0.6365	0.709	309.3
5	0.637	0.694	385.4
6	0.6348	0.7	473.3
7	0.6348	0.709	552.4
8	0.6303	0.695	639.5
