subset	model	n_eval	ECE	Brier
ITSNdb_combined	Wave1_Bayesian	311	0.105672425659164	0.1939635232382934
ITSNdb_combined	Structure_LR	311	0.12044491810824094	0.22860881243462058
ITSNdb_combined	VQC_quantum	319	0.05843340537009888	0.23733995773569466
ITSNdb_combined	QK_SVM_quantum	319	0.05011850890493424	0.23700207933689585
ITSNdb_combined	RBF_SVM_classical	319	0.10013633018125731	0.2327765378797296
ITSNdb_combined	GP_RBF_classical_Bayesian	319	0.0929123972382313	0.2261890975106001
ITSNdb_combined	GP_quantum_Bayesian	319	0.04870308724508309	0.23450776953707875
ITSNdb_no_overlap	Wave1_Bayesian	103	0.22030873330097087	0.26317033920687544
ITSNdb_no_overlap	Structure_LR	103	0.18370738451726076	0.22023263912107424
ITSNdb_no_overlap	VQC_quantum	111	0.17781171308922492	0.22544982205163297
ITSNdb_no_overlap	QK_SVM_quantum	111	0.15091680671486643	0.21661563113448765
ITSNdb_no_overlap	RBF_SVM_classical	111	0.16459903510103754	0.23851665656094848
ITSNdb_no_overlap	GP_RBF_classical_Bayesian	111	0.176778418069218	0.23418746622925718
ITSNdb_no_overlap	GP_quantum_Bayesian	111	0.14155229284567206	0.22398072563622723
ITSNdb_in_master	Wave1_Bayesian	208	0.2014282361057692	0.15969284033077444
ITSNdb_in_master	Structure_LR	208	0.13423682012168092	0.23275662902738634
ITSNdb_in_master	VQC_quantum	208	0.0520054917068255	0.24368517437478526
ITSNdb_in_master	QK_SVM_quantum	208	0.11278939199781814	0.2478813858295272
ITSNdb_in_master	RBF_SVM_classical	208	0.09916957424756472	0.22971330146811758
ITSNdb_in_master	GP_RBF_classical_Bayesian	208	0.10713404144310834	0.22192073728093217
ITSNdb_in_master	GP_quantum_Bayesian	208	0.06349393742953048	0.24012556700339863
