model	subset	n_total	n_valid	AUROC
Wave1_Bayesian	ITSNdb_combined	319	311	0.7840628984275395
Structure_LR	ITSNdb_combined	319	311	0.6893752656183595
Wave1+Structure_avg50	ITSNdb_combined	319	311	0.7724606884827879
VQC_8q3l_quantum	ITSNdb_combined	319	319	0.5895400895400895
LR_8d_PCA_classical	ITSNdb_combined	319	319	0.6632885632885633
QK_SVM_4q_quantum	ITSNdb_combined	319	319	0.5846560846560847
RBF_SVM_8d_classical	ITSNdb_combined	319	319	0.6485144485144485
GP_RBF_8d_classical_Bayesian	ITSNdb_combined	319	319	0.6564916564916565
GP_quantum_4q_Bayesian	ITSNdb_combined	319	319	0.6009768009768011
Ensemble_core_mean	ITSNdb_combined	319	319	0.7437932437932437
Ensemble_W1+VQC+Struct	ITSNdb_combined	319	319	0.7572649572649572
Wave1_Bayesian	ITSNdb_no_overlap	111	103	0.4106514084507042
Structure_LR	ITSNdb_no_overlap	111	103	0.653169014084507
Wave1+Structure_avg50	ITSNdb_no_overlap	111	103	0.585387323943662
VQC_8q3l_quantum	ITSNdb_no_overlap	111	111	0.5826740506329113
LR_8d_PCA_classical	ITSNdb_no_overlap	111	111	0.6159018987341772
QK_SVM_4q_quantum	ITSNdb_no_overlap	111	111	0.5739715189873418
RBF_SVM_8d_classical	ITSNdb_no_overlap	111	111	0.5320411392405063
GP_RBF_8d_classical_Bayesian	ITSNdb_no_overlap	111	111	0.5118670886075949
GP_quantum_4q_Bayesian	ITSNdb_no_overlap	111	111	0.5632911392405063
Ensemble_core_mean	ITSNdb_no_overlap	111	111	0.600870253164557
Ensemble_W1+VQC+Struct	ITSNdb_no_overlap	111	111	0.5882120253164558
Wave1_Bayesian	ITSNdb_in_master	208	208	0.9384972170686456
Structure_LR	ITSNdb_in_master	208	208	0.689517625231911
Wave1+Structure_avg50	ITSNdb_in_master	208	208	0.8421150278293136
VQC_8q3l_quantum	ITSNdb_in_master	208	208	0.596938775510204
LR_8d_PCA_classical	ITSNdb_in_master	208	208	0.6875695732838589
QK_SVM_4q_quantum	ITSNdb_in_master	208	208	0.588126159554731
RBF_SVM_8d_classical	ITSNdb_in_master	208	208	0.6883116883116883
GP_RBF_8d_classical_Bayesian	ITSNdb_in_master	208	208	0.7067717996289425
GP_quantum_4q_Bayesian	ITSNdb_in_master	208	208	0.6289424860853432
Ensemble_core_mean	ITSNdb_in_master	208	208	0.8012987012987013
Ensemble_W1+VQC+Struct	ITSNdb_in_master	208	208	0.8244897959183674
Wave1_Bayesian	ITSNdb_main	199	192	0.5638045540796963
Structure_LR	ITSNdb_main	199	192	0.7262808349146109
Wave1+Structure_avg50	ITSNdb_main	199	192	0.7106261859582542
VQC_8q3l_quantum	ITSNdb_main	199	199	0.5638709677419353
LR_8d_PCA_classical	ITSNdb_main	199	199	0.6234408602150537
QK_SVM_4q_quantum	ITSNdb_main	199	199	0.5858064516129031
RBF_SVM_8d_classical	ITSNdb_main	199	199	0.6510752688172042
GP_RBF_8d_classical_Bayesian	ITSNdb_main	199	199	0.6411827956989246
GP_quantum_4q_Bayesian	ITSNdb_main	199	199	0.5646236559139785
Ensemble_core_mean	ITSNdb_main	199	199	0.695483870967742
Ensemble_W1+VQC+Struct	ITSNdb_main	199	199	0.6989247311827955
Wave1_Bayesian	ITSNdb_Val	120	119	0.7831858407079646
Structure_LR	ITSNdb_Val	120	119	0.7020648967551621
Wave1+Structure_avg50	ITSNdb_Val	120	119	0.7640117994100295
VQC_8q3l_quantum	ITSNdb_Val	120	120	0.6418128654970761
LR_8d_PCA_classical	ITSNdb_Val	120	120	0.7353801169590644
QK_SVM_4q_quantum	ITSNdb_Val	120	120	0.41812865497076024
RBF_SVM_8d_classical	ITSNdb_Val	120	120	0.48538011695906436
GP_RBF_8d_classical_Bayesian	ITSNdb_Val	120	120	0.5073099415204678
GP_quantum_4q_Bayesian	ITSNdb_Val	120	120	0.4736842105263158
Ensemble_core_mean	ITSNdb_Val	120	120	0.706140350877193
Ensemble_W1+VQC+Struct	ITSNdb_Val	120	120	0.7558479532163742
RF_baseline	ITSNdb_combined	0	0	0.734
RF_baseline	ITSNdb_no_overlap	0	0	0.431
RF_baseline	ITSNdb_in_master	0	0	
RF_baseline_5fold_in_domain	in_domain_kfold	0	0	0.854
Wave1_venus_max_score	VenusVaccine_ext_venus_test	78	78	0.7023223082336383
Wave1_venus_mean_score	VenusVaccine_ext_venus_test	78	78	0.6002814919071077
Wave1_venus_top10_mean	VenusVaccine_ext_venus_test	78	78	0.7375087966220971
Wave1_venus_top1pct_mean	VenusVaccine_ext_venus_test	78	78	0.6326530612244898
Wave1_venus_max_score	VenusVaccine_ext_venus_valid	78	78	0.7227179135209334
Wave1_venus_mean_score	VenusVaccine_ext_venus_valid	78	78	0.514070006863418
Wave1_venus_top10_mean	VenusVaccine_ext_venus_valid	78	78	0.7364447494852437
Wave1_venus_top1pct_mean	VenusVaccine_ext_venus_valid	78	78	0.5902539464653397
Wave1_venus_max_score	VenusVaccine_both	156	156	0.7079861111111111
Wave1_venus_mean_score	VenusVaccine_both	156	156	0.5546874999999999
Wave1_venus_top10_mean	VenusVaccine_both	156	156	0.7336805555555557
Wave1_venus_top1pct_mean	VenusVaccine_both	156	156	0.6112847222222222
