slide	n_spots	pc	explained_var	rho_DM1	p_DM1	stage
GSM7980860_N-1	200	1	0.2693776488304138	0.3432835820895523	6.478109758337912e-07	PT
GSM7980860_N-1	200	2	0.06689988821744919	0.009723243081077027	0.8913084421589095	PT
GSM7980860_N-1	200	3	0.06254535168409348	-0.14526213155328885	0.0401367463633245	PT
GSM7980861_N-2	200	1	0.2887914180755615	0.36894022350558764	7.626206034086511e-08	PT
GSM7980861_N-2	200	2	0.06107182800769806	-0.08757818945473637	0.21751972050848561	PT
GSM7980861_N-2	200	3	0.05271771177649498	-0.06619665491637292	0.3516900534757774	PT
GSM7980862_N-3	200	1	0.15136225521564484	0.07019125478136955	0.32332360689001405	PT
GSM7980862_N-3	200	2	0.07490019500255585	0.28827570689267235	3.4806178108863756e-05	PT
GSM7980862_N-3	200	3	0.06323650479316711	0.09733593339833496	0.17032263846721396	PT
GSM7980863_N-4	200	1	0.17648078501224518	0.15749493737343434	0.025929058130077447	PT
GSM7980863_N-4	200	2	0.11860547959804535	-0.20757218930473265	0.003184895621871245	PT
GSM7980863_N-4	200	3	0.08041165769100189	0.20465161629040726	0.003650297667409064	PT
GSM7980864_PTC-1	200	1	0.1871412694454193	0.3022432579616573	1.362997056088564e-05	PTC
GSM7980864_PTC-1	200	2	0.15523450076580048	0.22846159803870203	0.0011386258554980737	PTC
GSM7980864_PTC-1	200	3	0.08403690904378891	0.18085196186041402	0.010384099989422744	PTC
GSM7980865_PTC-2	200	1	0.16320659220218658	0.4445376134403361	4.272727429407522e-11	PTC
GSM7980865_PTC-2	200	2	0.12419890612363815	-0.25943448586214657	0.00020752136193395035	PTC
GSM7980865_PTC-2	200	3	0.08038493245840073	-0.07094577364434111	0.31813661729987086	PTC
GSM7980866_PTC-3	200	1	0.21390974521636963	-0.000620265739243177	0.9930450078760291	PTC
GSM7980866_PTC-3	200	2	0.14308467507362366	-0.029020486394844315	0.6833286546313588	PTC
GSM7980866_PTC-3	200	3	0.062172550708055496	-0.1702055689663245	0.015970403674154598	PTC
GSM7980867_PTC-4	200	1	0.13200446963310242	0.3490952864919413	4.056104966824404e-07	PTC
GSM7980867_PTC-4	200	2	0.11072930693626404	0.25369554374866665	0.00028919438345349053	PTC
GSM7980867_PTC-4	200	3	0.07914091646671295	-0.11177196344473497	0.11508852618036082	PTC
GSM7980868_LPTC-1	200	1	0.16123270988464355	-0.2256761419035476	0.001313148515333774	LPTC
GSM7980868_LPTC-1	200	2	0.12357011437416077	0.3860466511662792	1.6451377419928056e-08	LPTC
GSM7980868_LPTC-1	200	3	0.08714675158262253	0.12546163654091355	0.0766979586367105	LPTC
GSM7980869_LPTC-2	200	1	0.19536010921001434	-0.6096799476535566	9.599305867074632e-22	LPTC
GSM7980869_LPTC-2	200	2	0.09351499378681183	0.028310333000391107	0.6906752833544264	LPTC
GSM7980869_LPTC-2	200	3	0.06671846657991409	0.20100628977636528	0.004316872385813177	LPTC
GSM7980870_LPTC-3	200	1	0.1533854901790619	-0.581204699453103	1.8305069653977617e-19	LPTC
GSM7980870_LPTC-3	200	2	0.09167095273733139	0.22187693573647962	0.0015907522204192221	LPTC
GSM7980870_LPTC-3	200	3	0.07440337538719177	0.17004559425250218	0.016071275883613127	LPTC
GSM7980871_LPTC-4	200	1	0.1881558895111084	0.6005942400788843	5.42715338934187e-21	LPTC
GSM7980871_LPTC-4	200	2	0.08138161152601242	0.11692946708523554	0.09916226631046349	LPTC
GSM7980871_LPTC-4	200	3	0.0618380531668663	0.011290036484676594	0.8739292738065484	LPTC
GSM7980872_ATC-1	200	1	0.2665056884288788	-0.21020285934350985	0.0028123694472955017	ATC
GSM7980872_ATC-1	200	2	0.10367104411125183	0.03393112821320901	0.6333705034576631	ATC
GSM7980872_ATC-1	200	3	0.061925049871206284	-0.09920172311172809	0.16223911562796678	ATC
GSM7980873_ATC-2	200	1	0.26303359866142273	-0.0777564179615039	0.2737765048276421	ATC
GSM7980873_ATC-2	200	2	0.15618953108787537	0.015862997030451614	0.8235786774212479	ATC
GSM7980873_ATC-2	200	3	0.06133909896016121	0.07467256259474477	0.2933145432632833	ATC
GSM7980874_ATC-3	200	1	0.2858017086982727	0.13567854313248506	0.05541286182269724	ATC
GSM7980874_ATC-3	200	2	0.09222512692213058	-0.03213088874035182	0.6515082884055821	ATC
GSM7980874_ATC-3	200	3	0.06427297741174698	0.13154639880112617	0.06334486052596026	ATC
GSM7980875_ATC-4	200	1	0.2286037802696228	0.01904265436705386	0.7889763892500844	ATC
GSM7980875_ATC-4	200	2	0.10348516702651978	-0.44207265590829664	5.6228251311730615e-11	ATC
GSM7980875_ATC-4	200	3	0.06937184929847717	-0.07009358951477797	0.32399898959808543	ATC
