topic_id	topic	metric	note	n_a	n_b	rate_a	rate_b	odds_ratio	p	bh_q	mean_a	mean_b	diff_a_minus_b	cohen_d_a_minus_b	n	mean	min	max	rate_gt_0_24	median_r	q25	q75	spearman_r	mean_activity	dm1_top_minus_bot	tpo_d	slc5a5_d	tpo_p	slc5a5_p	d_gap	HR	HR_lo	HR_hi	n_models	max_abs_spearman	max_auroc	pooled_n	auroc_q75	auroc_q50	sample	super_org_mean	n_atc
T00	T00 CNV-defined true-driver-negative residual class	Class6-DM2 vs Class6-DM1 CNV-signature rate	7-arm quick signature	45.0	65.0	0.3111111111111111	0.015384615384615385	28.903225806451612	9.518529173617739e-06																																	
T00	T00 CNV-defined true-driver-negative residual class	16p_Gain DM2 vs DM1	top Class6 arm CNV			0.2222222222222222	0.0		7.908952159087452e-05	0.0061689826840882																																
T00	T00 CNV-defined true-driver-negative residual class	16q_Gain DM2 vs DM1	top Class6 arm CNV			0.2	0.0		0.0002180305730343	0.0085031923483378																																
T00	T00 CNV-defined true-driver-negative residual class	2q_Loss DM2 vs DM1	top Class6 arm CNV			0.2	0.0		0.0002180305730343	0.0056687948988918																																
T00	T00 CNV-defined true-driver-negative residual class	2p_Loss DM2 vs DM1	top Class6 arm CNV			0.2	0.0		0.0002180305730343	0.0042515961741689																																
T00	T00 CNV-defined true-driver-negative residual class	7q_Gain DM2 vs DM1	top Class6 arm CNV			0.22727272727272727	0.015384615384615384		0.0005101835906324	0.0079588640138667																																
T00	T00 CNV-defined true-driver-negative residual class	7p_Gain DM2 vs DM1	top Class6 arm CNV			0.2222222222222222	0.015384615384615384		0.0005880814922252	0.0076450593989278																																
T00	T00 CNV-defined true-driver-negative residual class	12q_Gain DM2 vs DM1	top Class6 arm CNV			0.17777777777777778	0.0		0.0005909776058561	0.0065851790366826																																
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	PDTC PanCK+ vs microPTC PanCK+ DM1_axis	GSE301163 GeoMx	9.0	5.0				0.000999000999000999		3.9755288070116652	4.386108072478716	-0.41057926546705037	-3.2964609672025253																												
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	PDTC PanCK+ vs microPTC PanCK+ RAI_8	GSE301163 GeoMx	9.0	5.0				0.000999000999000999		4.457483874839831	4.827906951672985	-0.3704230768331547	-4.541752276421664																												
