population	country	region	locus	shannon_H	exp_het	n_alleles_observed
China Beijing	China	East Asia	A	0.44815822096377195	0.2757892219387754	2
China Beijing Shijiazhuang Tianjian Han	China	East Asia	A	0.5195459558863688	0.305877351471995	3
China Canton Han	China	East Asia	A	0.16068056204154624	0.07262370950516206	2
China Guangdong Province Meizhou Han	China	East Asia	A	0.5623351446188083	0.375	2
China Guangxi Region Maonan	China	East Asia	A	-0.0	0.0	1
China Guangzhou	China	East Asia	A	0.2599658249278464	0.13442554085276215	2
China Guizhou Province Bouyei	China	East Asia	A	0.4895518936229288	0.3106508875739644	2
China Guizhou Province Miao pop 2	China	East Asia	A	-0.0	0.0	1
China Guizhou Province Shui	China	East Asia	A	-0.0	0.0	1
China Han HIV negative	China	East Asia	A	-0.0	0.0	1
China Henan HIV negative	China	East Asia	A	-0.0	0.0	1
China Hubei Han	China	East Asia	A	0.483448895974555	0.3013289396051313	3
China Inner Mongolia Region	China	East Asia	A	2.0881275901328	0.8254093651249641	18
China Jiangsu Han	China	East Asia	A	0.5288714092606951	0.34493886478539926	2
China Jiangsu Province Han	China	East Asia	A	0.4859625927415553	0.24679828802924442	4
China Jingpo Minority	China	East Asia	A	-0.0	0.0	1
China North Han	China	East Asia	A	-0.0	0.0	1
China Qinghai Province Hui	China	East Asia	A	0.5524913700250476	0.3660741766697444	2
China Shanxi HIV negative	China	East Asia	A	0.5986807253546681	0.4085479213638701	2
China Sichuan HIV negative	China	East Asia	A	0.673559465251392	0.48054051552593824	2
China South Han	China	East Asia	A	0.2936729936424028	0.15755053507728878	2
China Southwest Dai	China	East Asia	A	-0.0	0.0	1
China Tibet Region Tibetan	China	East Asia	A	0.30637701641738985	0.16652777777777783	2
China Uyghur HIV negative	China	East Asia	A	0.32256938032383065	0.1781723026211166	2
China Yunnan Bulang	China	East Asia	A	-0.0	0.0	1
China Yunnan Hani	China	East Asia	A	-0.0	0.0	1
China Yunnan Province Han	China	East Asia	A	0.6730116670092565	0.48	2
China Yunnan Province Lisu	China	East Asia	A	-0.0	0.0	1
China Zhejiang Han	China	East Asia	A	0.09503011725564635	0.037721893491124314	2
Germany DKMS - China minority	China	East Asia	A	-0.0	0.0	1
India Andhra Pradesh Golla	India	South Asia	A	0.43197184045899284	0.2625091307523739	2
India Andhra Pradesh Telugu Speaking	India	South Asia	A	0.7782875944350878	0.4374413586038657	3
India Central UCBB	India	South Asia	A	0.9161619600220665	0.4843181302733508	7
India Delhi pop 2	India	South Asia	A	1.1737371362178084	0.5940821602987647	5
India East UCBB	India	South Asia	A	0.8632948603895219	0.4946292668176433	4
India Karnataka Kannada Speaking	India	South Asia	A	0.7132278029860133	0.4045923816304736	3
India Kerala Malayalam speaking	India	South Asia	A	0.298638764161795	0.1410170028010227	3
India Khandesh Region Pawra	India	South Asia	A	0.9347698978582792	0.5785123966942148	3
India Mumbai Maratha	India	South Asia	A	0.821760224372565	0.47383040479385785	3
India New Delhi	India	South Asia	A	0.6659119735267652	0.4730129578614428	2
India North UCBB	India	South Asia	A	0.7060286961248683	0.4291153523207947	4
