country	locus	n_alleles	n_pops	total_n
China	A	13	30	3732
China	B	19	27	3732
China	C	12	30	3732
China	DPB1	4	28	833
China	DQB1	4	30	3732
China	DRB1	6	41	3732
India	A	15	19	11446
India	B	10	19	11446
India	C	11	17	11446
India	DPB1	53	3	123
India	DQB1	14	25	11446
India	DRB1	6	26	11446
Indonesia	A	18	3	236
Indonesia	B	38	3	236
Indonesia	DPB1	27	3	58
Indonesia	DQB1	14	3	62
Indonesia	DRB1	21	8	236
Japan	A	25	6	18604
Japan	B	28	5	18604
Japan	C	21	8	18604
Japan	DPB1	13	10	3078
Japan	DQB1	19	9	3078
Japan	DRB1	11	17	18604
Malaysia	A	27	13	951
Malaysia	B	22	13	951
Malaysia	C	45	3	951
Malaysia	DPB1	27	1	74
Malaysia	DQB1	20	8	951
Malaysia	DRB1	23	18	951
Mongolia	A	43	2	141
Mongolia	B	38	1	102
Mongolia	C	33	1	102
Mongolia	DPB1	28	4	496
Mongolia	DQB1	19	7	496
Mongolia	DRB1	16	9	496
Pakistan	A	20	8	389
Pakistan	B	33	8	389
Pakistan	C	25	8	389
Pakistan	DPB1	25	1	389
Pakistan	DQB1	21	8	389
Pakistan	DRB1	32	8	389
Philippines	A	94	1	50
Philippines	B	91	1	50
Philippines	C	56	1	50
Philippines	DRB1	39	2	50
Singapore	A	32	8	149
Singapore	B	39	8	149
Singapore	C	23	6	132
Singapore	DPB1	32	4	132
Singapore	DQB1	15	4	132
Singapore	DRB1	25	4	132
South Korea	A	65	2	4128
South Korea	B	64	3	7096
South Korea	C	65	2	485
South Korea	DPB1	21	3	324
South Korea	DQB1	36	4	485
South Korea	DRB1	32	7	4128
Sri Lanka	A	26	2	714
Sri Lanka	B	55	1	714
Sri Lanka	C	32	1	714
Sri Lanka	DPB1	30	1	714
Sri Lanka	DQB1	21	1	714
Sri Lanka	DRB1	43	1	714
Taiwan	A	6	19	710
Taiwan	B	3	18	710
Taiwan	C	5	17	504
Taiwan	DPB1	10	12	504
Taiwan	DQB1	18	3	504
Taiwan	DRB1	3	31	710
Thailand	A	24	3	400
Thailand	B	39	4	400
Thailand	C	19	3	400
Thailand	DPB1	19	5	104
Thailand	DQB1	17	6	400
Thailand	DRB1	15	7	400
Vietnam	A	26	2	170
Vietnam	B	47	2	170
Vietnam	C	22	2	170
Vietnam	DQB1	27	5	2076
Vietnam	DRB1	35	4	170
