target	mode	n	pooled_rho	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class	neighbor_autocorr_pooled	neighbor_autocorr_weighted_sample	block_variance_fraction	target_sd	smoothness_expected_rho	smoothness_adjusted_residual
actual_DM1_low_RAI	raw_smoothed	15489	0.6256736065926544	0.6443833306505673	0.0	0.5860013839058571	4	actual_dm1	0.9834434874573003	0.9736684596301811	0.41239246621193504	0.442797884653092	0.7654026023598696	-0.12101927170930227
loo_drop_DIO1	raw_smoothed	15489	0.6385830037139121	0.6523043145547982	0.0	0.5753088820964488	4	panel_loo	0.9829981797187163	0.9738155833897086	0.41321760001037083	0.4637029291529149	0.7798370469009436	-0.12753273234614537
loo_drop_FOXE1	raw_smoothed	15489	0.6302967509533207	0.6337194339249622	0.0	0.577421001063011	4	panel_loo	0.9839430600525447	0.9735701828077686	0.4152485384514618	0.46898397749642223	0.7837533918883361	-0.15003395796337393
loo_drop_NKX2-1	raw_smoothed	15489	0.633720819837779	0.6405568709072955	0.0	0.5771434181112335	4	panel_loo	0.9836938388565891	0.9734469551538636	0.418433608611977	0.4612499409422774	0.7802869381454232	-0.13973006723812764
loo_drop_PAX8	raw_smoothed	15489	0.6306038684941526	0.6432697221762325	0.0	0.5796426521540434	4	panel_loo	0.9817858538041924	0.9714925120039107	0.40962387821841256	0.4234697203335064	0.7450071811518746	-0.10173745897564213
loo_drop_SLC5A5	raw_smoothed	15489	0.6455655445845919	0.6541566340671201	0.0	0.5945006799242416	4	panel_loo	0.9847261991367912	0.9751492582283001	0.4149259862157529	0.4916613276544928	0.802766297422237	-0.14860966335511694
loo_drop_TG	raw_smoothed	15489	0.6146682780158155	0.6330308260968999	0.0	0.6048065339912763	4	panel_loo	0.9802938152183449	0.9677552115751548	0.3884756137775115	0.40325069825441834	0.7086432859840165	-0.07561245988711662
loo_drop_TPO	raw_smoothed	15489	0.5801685520648602	0.6352302581712397	0.0	0.5842909466894288	4	panel_loo	0.979047793425381	0.9692203185853216	0.39802366931078764	0.41098710532509297	0.7235221540596285	-0.08829189588838882
loo_drop_TSHR	raw_smoothed	15489	0.596074496944668	0.6275702004045612	0.0	0.5677505336500048	4	panel_loo	0.9823920738014814	0.9720650045664159	0.4094432453002181	0.443247892030243	0.7593376872968536	-0.13176748689229234
null_random_matched_001	raw_smoothed	15489	0.5688475291370704	0.6107809689456619	0.0	0.5297511368973356	4	random_matched	0.9613290011542615	0.9510316754466953	0.3170046424740855	0.30342191635537896	0.5536190403120935	0.05716192863356839
null_random_matched_002	raw_smoothed	15489	0.5106318568063042	0.5266835210379386	0.0	0.4464905394661818	4	random_matched	0.9622116311937687	0.9407958857998879	0.307971025509597	0.2934275422733611	0.5123918898409383	0.014291631197000276
null_random_matched_003	raw_smoothed	15489	0.5120089746778803	0.5631926856464198	0.0	0.3746718586027899	4	random_matched	0.9499450231865676	0.9343903055371671	0.30440616261058634	0.29508775101868967	0.4929507326405981	0.0702419530058217
null_random_matched_004	raw_smoothed	15489	0.6531169393027009	0.6081736345795483	0.0	0.5137231098048913	4	random_matched	0.9716242077950321	0.9537654831708191	0.3860077456481007	0.3210698670627019	0.6138367778147319	-0.005663143235183576
null_random_matched_005	raw_smoothed	15489	0.2851127097580488	0.4631655479936923	0.0	0.3515420861004232	3	random_matched	0.9577693779987542	0.9332945596949364	0.3391439456947439	0.2884670534166789	0.5061358453564936	-0.04297029736280128
null_random_matched_006	raw_smoothed	15489	0.6049044004285979	0.4594501924341971	0.0	0.3179240752744217	3	random_matched	0.9740922885722334	0.93685516689324	0.3112190699396377	0.31427482307841414	0.5164848630323153	-0.05703467059811823
null_random_matched_007	raw_smoothed	15489	0.5575008186039303	0.5667050590831172	0.0	0.428885519107363	4	random_matched	0.9501589768991939	0.9326944020726569	0.329089276255405	0.2922247706599794	0.5008756540738799	0.06582940500923729
null_random_matched_008	raw_smoothed	15489	0.6901753792320544	0.6157843221615633	0.0	0.538016432041283	4	random_matched	0.9837118515351823	0.9661833103190615	0.36160584255945843	0.3690665650017326	0.6660707387223914	-0.05028641656082811
null_random_matched_009	raw_smoothed	15489	0.5298465888715872	0.5454772166606053	0.0	0.4386787814070918	4	random_matched	0.9526034788785703	0.9413393468995035	0.33523388716910735	0.26646207976154984	0.5126897475965473	0.03278746906405805
null_random_matched_010	raw_smoothed	15489	0.6054673449964976	0.6234791019647246	0.0	0.5110780093981087	4	random_matched	0.9672642056672609	0.9536833147121713	0.34968428830331205	0.3357635416349753	0.6015490973246952	0.021930004640029366
null_random_matched_011	raw_smoothed	15489	0.6263077831591286	0.6257487565721447	0.0	0.5098911425265714	4	random_matched	0.9763743781291155	0.9589218075269074	0.357870520947668	0.368287812495992	0.6424922467879282	-0.016743490215783474
null_random_matched_012	raw_smoothed	15489	0.5275981173879876	0.5597067810458622	0.0	0.5078086482202484	4	random_matched	0.9592812033665238	0.9487152456355125	0.31999424979915464	0.27942969215811386	0.5332203955491821	0.026486385496680143
null_random_matched_013	raw_smoothed	15489	0.6728745662040101	0.5864225458487471	0.0	0.521317215256139	4	random_matched	0.9772106034382642	0.9532235961204415	0.363860826594907	0.3355830305614851	0.6085248709462222	-0.022102325097475117
null_random_matched_014	raw_smoothed	15489	0.5546704577448134	0.5719631001818257	0.0	0.4302831733737283	4	random_matched	0.95520380407644	0.9409172406219359	0.3331374412669956	0.3115848839918549	0.5394202811734405	0.03254281900838518
null_random_matched_015	raw_smoothed	15489	0.5947829786607981	0.5208715647300081	0.0	0.4018285682082168	4	random_matched	0.9707916005926389	0.945904543431539	0.3579798140410109	0.3053268936864123	0.5644406335316784	-0.04356906880167033
null_random_matched_016	raw_smoothed	15489	0.6095180052488751	0.5493766246481598	0.0	0.4509322843258861	4	random_matched	0.9768727052714096	0.9557942739560329	0.38091576194027055	0.332755984137038	0.6242014995298355	-0.07482487488167566
null_random_matched_017	raw_smoothed	15489	0.5695322120039786	0.5237434390725506	0.0	0.4716906545831301	4	random_matched	0.9561383217889592	0.9402328704022329	0.2834144923001885	0.28813536517427096	0.4927784727992726	0.030964966273277994
null_random_matched_018	raw_smoothed	15489	0.5964782174066836	0.5782283915786945	0.0	0.4524744881321311	4	random_matched	0.9695617606243154	0.9501412146419476	0.3587042654163805	0.3053413419535745	0.5770493795972609	0.0011790119814336641
null_random_matched_019	raw_smoothed	15489	0.4441487719676502	0.4112829950877	0.0	0.3428015033611123	3	random_matched	0.9481805310836136	0.935452256964475	0.28780738043377535	0.2646388539800241	0.4664550909672322	-0.0551720958795322
null_random_matched_020	raw_smoothed	15489	0.6354127332710816	0.5731929912652637	0.0	0.5456074789192977	4	random_matched	0.9606311462386262	0.9426941857021699	0.31289245639093216	0.2737880289424174	0.5080616302423004	0.06513136102296324
null_random_matched_021	raw_smoothed	15489	0.4537065362818081	0.4031443856972432	0.0	0.3803217843177697	3	random_matched	0.9463570449190781	0.9304757070894848	0.29822851203995865	0.2653538310213262	0.4588072495959415	-0.05566286389869829
null_random_matched_022	raw_smoothed	15489	0.4941613275809255	0.5396786399157828	0.0	0.3785076822984238	4	random_matched	0.9534393508415294	0.9415162158103837	0.37316908124487963	0.2784430015809214	0.5434600625111029	-0.0037814225953201053
null_random_matched_023	raw_smoothed	15489	0.3842498585193518	0.4014998245190693	0.0	0.3255342698914963	3	random_matched	0.9531271913579024	0.9362785597798481	0.2707708502040594	0.25405692818968706	0.45187349338518346	-0.05037366886611416
