target	mode	neighbor_autocorr_pooled	neighbor_autocorr_weighted_sample	block_variance_fraction	target_sd
actual_DM1_low_RAI	raw_smoothed	0.9834434874573003	0.9736684596301811	0.41239246621193504	0.442797884653092
actual_DM1_low_RAI	coord_qc_residual_target	0.839085937203056	0.8278316830870187	0.12426485780085991	0.22937931792580393
loo_drop_DIO1	raw_smoothed	0.9829981797187163	0.9738155833897086	0.41321760001037083	0.4637029291529149
loo_drop_DIO1	coord_qc_residual_target	0.8414662516484117	0.8298203078826117	0.12415434397596894	0.23995776284204473
loo_drop_FOXE1	raw_smoothed	0.9839430600525447	0.9735701828077686	0.4152485384514618	0.46898397749642223
loo_drop_FOXE1	coord_qc_residual_target	0.8396498074169843	0.8280661050001792	0.1251762951259361	0.237341071751336
loo_drop_NKX2-1	raw_smoothed	0.9836938388565891	0.9734469551538636	0.418433608611977	0.4612499409422774
loo_drop_NKX2-1	coord_qc_residual_target	0.8366754077524654	0.825970875371836	0.12383231059181626	0.23450607586965957
loo_drop_PAX8	raw_smoothed	0.9817858538041924	0.9714925120039107	0.40962387821841256	0.4234697203335064
loo_drop_PAX8	coord_qc_residual_target	0.8338354766967	0.8236956784090873	0.11503651087500212	0.21975113060562518
loo_drop_SLC5A5	raw_smoothed	0.9847261991367912	0.9751492582283001	0.4149259862157529	0.4916613276544928
loo_drop_SLC5A5	coord_qc_residual_target	0.8404142496877793	0.8300228787189338	0.13102214528536943	0.2508179686843769
loo_drop_TG	raw_smoothed	0.9802938152183449	0.9677552115751548	0.3884756137775115	0.40325069825441834
loo_drop_TG	coord_qc_residual_target	0.8330186317982199	0.8241761927676934	0.11299122114175979	0.2217357064698151
loo_drop_TPO	raw_smoothed	0.979047793425381	0.9692203185853216	0.39802366931078764	0.41098710532509297
loo_drop_TPO	coord_qc_residual_target	0.8411924489885498	0.8308271295025597	0.12026612650379512	0.22637105182495007
loo_drop_TSHR	raw_smoothed	0.9823920738014814	0.9720650045664159	0.4094432453002181	0.443247892030243
loo_drop_TSHR	coord_qc_residual_target	0.8449985614192318	0.8350189632025569	0.12096683838562487	0.23259217132027568
null_random_matched_001	raw_smoothed	0.9613290011542615	0.9510316754466953	0.3170046424740855	0.30342191635537896
null_random_matched_001	coord_qc_residual_target	0.7083528604319008	0.7054159793701851	0.05086367060189055	0.1493892403018465
null_random_matched_002	raw_smoothed	0.9622116311937687	0.9407958857998879	0.307971025509597	0.2934275422733611
null_random_matched_002	coord_qc_residual_target	0.7084450933657025	0.7072904462744324	0.03869540837167373	0.13885642726677203
null_random_matched_003	raw_smoothed	0.9499450231865676	0.9343903055371671	0.30440616261058634	0.29508775101868967
null_random_matched_003	coord_qc_residual_target	0.7727202586567258	0.7725485234333851	0.0576173971132686	0.15415928573183693
null_random_matched_004	raw_smoothed	0.9716242077950321	0.9537654831708191	0.3860077456481007	0.3210698670627019
