sample_id	cluster	Treg_proxy	M2_proxy	ExhaustedT_proxy
TCGA-FK-A3SE-01A	DM1	0.8063835891371676	3.1617918108861063	1.2981332213125536
TCGA-FY-A2QD-01A	DM2	0.3073504385457527	1.8039906152068408	1.2414601832343142
TCGA-EL-A4KD-01A	DM1	1.170742704936655	3.2010122811137927	1.5682003016507249
TCGA-BJ-A192-01A	DM2	0.40396541702251054	3.0706195439543507	1.214276024611004
TCGA-ET-A40S-01A	DM1	2.545452941851907	4.4178979903283615	2.8517082417458086
TCGA-ET-A39L-01A	DM1	0.5319485578697376	3.2141971954291435	1.1775911841968756
TCGA-KS-A4IB-01A	DM1	0.4527776533972161	2.856256237492691	0.8654851314423209
TCGA-DJ-A2PO-01A	DM1	1.8410945133334373	4.5387120791625835	3.267444595960878
TCGA-EM-A2CJ-01A	DM2	0.4115707524080935	2.27790122391469	1.4156459628452052
TCGA-DJ-A1QL-01A	DM2	0.3191611287281887	2.1906121490583748	1.3375234429752043
TCGA-EM-A1CS-01A	DM1	0.5896047786767159	3.3227730611904116	1.1816426638140416
TCGA-CE-A484-01A	DM1	0.5346958674591349	2.2335735322158285	1.3614575329627367
TCGA-EL-A3ZP-01A	DM1	2.7621705465587008	3.824541676554977	3.7105270507943886
TCGA-BJ-A0YZ-01A	DM2	0.2992349423207782	3.0316251795615106	0.7066377150796356
TCGA-FY-A3NM-01A	DM2	0.2937216211098891	1.625181323170994	1.121338084251006
TCGA-BJ-A3PR-01A	DM1	3.9910024482292386	4.889612174283339	5.401776887749252
TCGA-EL-A3CO-01A	DM1	2.7131299271420537	5.59867138960949	3.0902850439133682
TCGA-CE-A482-01A	DM1	1.1628755878390362	3.778166584175486	1.3845019096846831
TCGA-EM-A3FQ-01A	DM1	3.005892082284156	4.825113964980479	3.3869423087565216
TCGA-EL-A3GO-01A	DM2	0.6400547808746049	3.069627732029213	2.2558676897585963
TCGA-DJ-A3UZ-01A	DM1	2.0215016245421893	3.199152023344465	2.73438942748101
TCGA-E8-A432-01A	DM1	1.2225544292738935	3.9689124034564047	1.7596620182563378
TCGA-DJ-A4UT-01A	DM1	3.2911225673225717	4.32132214968096	3.801512057879542
TCGA-ET-A40R-01A	DM1	1.859995062293739	3.3888130728912897	2.5625897023568296
TCGA-EM-A3FR-01A	DM2	0.6886007080324451	2.115107331558625	1.273222784447907
TCGA-DJ-A4UQ-01A	DM1	1.4296148522128584	4.219230208384079	1.836841924229183
TCGA-ET-A4KQ-01A	DM2	0.2996679171115443	2.2197531089586318	0.6376507228699259
TCGA-CE-A481-01A	DM1	1.9126874281975499	3.5651425735226616	2.6989540592392767
TCGA-EM-A2CP-01A	DM1	3.1428334020346753	5.327087892366664	4.765597546446662
TCGA-EL-A3H3-01A	DM1	2.494310100061221	4.770548317603999	2.832655719321166
TCGA-EL-A3CS-01A	DM1	0.9659406220492274	2.9460429368871037	1.0330134812486687
TCGA-FK-A3SD-01A	DM2	0.34285559810544786	1.8070914704791505	1.19072642373122
TCGA-DJ-A13W-01A	DM1	0.3453829040009352	1.6315075277255002	1.502471802121582
TCGA-DJ-A13R-01A	DM1	2.2186040654117174	3.429346335716603	4.3383014832079585
TCGA-EL-A3ZK-01A	DM1	1.9483529175176222	4.078580776896333	2.1642235808341495
TCGA-ET-A3DS-01A	DM2	0.8223183556147322	2.0873088538105913	1.8766882160731875
TCGA-EL-A3D4-01A	DM1	0.3975688111177512	3.503519060632216	0.9599604316105989
TCGA-EM-A3AN-01A	DM1	0.783858078908227	3.0118472666938514	1.4203390151523074
TCGA-DE-A0Y2-01A	DM1	0.671690722950939	3.644086185926466	1.0242099950532773
TCGA-CE-A27D-01A	DM1	2.885557263790713	3.7283736181072555	4.13608370156988
TCGA-BJ-A0Z0-01A	DM2	0.2902659677245211	1.7838924665440743	0.6105522329247127
TCGA-FK-A4UB-01A	DM1	0.715219443938945	2.0878404865416824	1.6051507791890067
TCGA-H2-A421-01A	DM1	2.532487139302863	4.0486875188371005	3.3907448345498055
TCGA-CE-A483-01A	DM1	0.7359247352569777	2.625546417869699	0.9618178684780336
TCGA-FY-A76V-01A	DM1	1.0075461922314806	3.9578490285067587	1.4795679393113401
TCGA-DO-A2HM-01B	DM1	3.757860570202383	5.8833781388138835	3.9100098605363707
TCGA-EL-A3T0-01A	DM1	1.228880437569706	3.70849330312547	1.870447000892026
TCGA-BJ-A0ZJ-01A	DM1	2.6507461896679336	3.910944289357448	3.811308081089224
TCGA-EL-A3T9-01A	DM1	2.500983586318853	3.534058221951761	1.9463802968348443
TCGA-EM-A1YD-01A	DM2	1.0940242118866799	2.82700489818548	1.8697447465669126
TCGA-EL-A3H1-01A	DM2	0.29244256225654225	2.5702877423670927	1.5140594067487783
TCGA-DJ-A3VK-01A	DM1	0.538682675241781	3.1293631404354967	1.3467333538630637
TCGA-EM-A4FR-01A	DM1	0.5783607584765369	2.4366539046554934	1.1753633452161227
TCGA-EL-A3ZR-01A	DM2	0.23906117128340357	1.7145049424762469	0.44024414840188325
TCGA-EM-A2P1-06A	DM1	3.006732088208765	5.192369863801835	3.632185851176814
TCGA-ET-A39R-01A	DM1	2.802667508321496	3.9638452715568535	4.038120331667434
TCGA-ET-A3DR-01A	DM1	0.6122235313528694	2.2309853822732384	1.0965225821426252
TCGA-ET-A2N3-01B	DM2	0.13879572820166083	0.9671244899826708	0.9166871346643031
TCGA-CE-A485-01A	DM1	2.543341851714048	4.0477917753378785	2.3447058162003516
TCGA-ET-A3DT-01A	DM1	2.823436142398941	5.032646679831355	4.143241676674608
TCGA-CE-A13K-01A	DM1	0.9741912882784034	2.8282803354584223	1.529628948287828
TCGA-DJ-A2Q9-01A	DM1	3.668764191460818	4.763116017530784	4.06370233025987
TCGA-BJ-A190-01A	DM2	0.17520882572938157	1.5055498775165321	0.8853225132121869
TCGA-DE-A3KN-01A	DM1	0.6722964983993939	2.449780824705843	1.4654052112742009
TCGA-EM-A3AL-01A	DM2	0.4237128050165254	2.2612049795172475	1.1825199969749272
TCGA-EM-A1YC-01A	DM2	0.21494939562728083	2.4549106719610876	1.1749557413435407
TCGA-BJ-A0Z5-01A	DM1	0.8809224854015317	2.851459545190852	1.2643918426531413
TCGA-DO-A1JZ-01A	DM1	0.46718215077351444	3.1407255855524894	0.9634987208194403
TCGA-EM-A3AO-01A	DM1	1.9972410905661764	3.594075136427061	2.4783754100358246
TCGA-EM-A1CW-01A	DM2	1.514563871863896	3.0328892230043913	2.725061378330183
TCGA-DJ-A3VM-01A	DM2	0.46281316349446994	2.383833955682781	1.2380536803542355
TCGA-EM-A2CL-01A	DM2	0.293455738623885	1.4363028682009062	0.8290898350235107
TCGA-ET-A40T-01A	DM1	2.0306951972997878	4.016601363963076	2.7739761847497597
TCGA-BJ-A0ZF-01A	DM2	0.5496936855099521	2.958026076017899	1.0564631982315404
TCGA-ET-A25L-01A	DM1	1.8680107270363582	3.9142661395433196	1.817767639983123
TCGA-EM-A3FN-01A	DM2	0.476100998803268	2.02877349383001	1.075453896883424
TCGA-EM-A1YA-01A	DM2	0.3647133066444456	2.462001917434626	0.9987725949639443
TCGA-E3-A3E0-01A	DM1	1.5117995900901424	3.3246430730316456	2.290902072915962
TCGA-BJ-A0ZC-01A	DM2	0.6346706252464525	2.1409364946896363	1.3809957326073827
TCGA-EM-A2CU-01A	DM1	1.5668191892861707	4.264840419820964	2.739270088115467
