analysis	estimate	pvalue	detail
age_welch_t	12.890148654146223	6.185203431976058e-07	DM2-DM1 mean age
age_mannwhitney			rank-sum
stage_high_fisher	-0.11195319771307008	0.09187543706202954	Stage III+ fraction DM2-DM1
stage_trend_spearman	0.053230429482759654	0.49711203643915153	cluster vs stage ordinal
histology_enrichment	86.0	4.167156521807293e-08	histology subtype by cluster
tumor_size_mm			DM2-DM1 tumor size
