subsample_fraction	rep	n_sub	ARI_vs_full
0.5	0	89	0.6687268800404383
0.5	1	89	0.5967584680148197
0.5	2	89	0.6324063180555208
0.5	3	89	0.8263434566030806
0.5	4	89	0.9110264968112944
0.5	5	89	0.8677471748971904
0.5	6	89	0.7854929415815448
0.5	7	89	0.6323085253218239
0.5	8	89	0.9107239625969953
0.5	9	89	0.7855233755422162
0.5	10	89	0.7849843593613223
0.5	11	89	0.7456880228595035
0.5	12	89	0.6684089702149724
0.5	13	89	0.7850468560005269
0.5	14	89	0.7855177817119977
0.5	15	89	0.7069268905292825
0.5	16	89	0.7454809134960236
0.5	17	89	0.7041271385713127
0.5	18	89	0.5965843119540736
0.5	19	89	0.5966844490334423
0.5	20	89	0.9109600855555939
0.5	21	89	0.8256008299233474
0.5	22	89	0.7855258367350771
0.5	23	89	0.7069109935628966
0.5	24	89	0.6690652435875366
0.5	25	89	0.867221160336355
0.5	26	89	0.7854560064282845
0.5	27	89	0.7850468560005269
0.5	28	89	0.7457118984061812
0.5	29	89	0.7855258367350771
0.5	30	89	0.955054303991753
0.5	31	89	0.7855030125981377
0.5	32	89	0.7456705112756068
0.5	33	89	0.7457118984061812
0.5	34	89	0.7456004408168888
0.5	35	89	0.8261838568113411
0.5	36	89	0.6691449814126395
0.5	37	89	0.7457118984061812
0.5	38	89	0.911134737195746
0.5	39	89	0.7452974199675889
0.5	40	89	0.7435692713576562
0.5	41	89	0.8263579511427636
0.5	42	89	0.7069268905292825
0.5	43	89	0.5965287523019057
0.5	44	89	0.7068412711164995
0.5	45	89	0.74570394038875
0.5	46	89	0.8256008299233474
0.5	47	89	0.6687251501565011
0.5	48	89	0.7069109935628966
0.5	49	89	0.7847777271799381
0.5	50	89	0.8263287784160576
0.5	51	89	0.8619258938557564
0.5	52	89	0.6323430463451807
0.5	53	89	0.7855233755422162
0.5	54	89	0.8682352278347095
0.5	55	89	0.6324465705337784
0.5	56	89	0.8680435832011585
0.5	57	89	0.7853722396389569
0.5	58	89	0.6324465705337784
0.5	59	89	0.7454928712821669
0.7	0	125	0.8750226232041707
0.7	1	125	0.7866366659231808
0.7	2	125	0.6764652029894969
0.7	3	125	0.8749209377615123
0.7	4	125	0.8451645797293863
0.7	5	125	0.6763375417279289
0.7	6	125	0.8448914239967977
0.7	7	125	0.7032875572201415
0.7	8	125	0.7868151275705736
0.7	9	125	0.7863918654658829
0.7	10	125	0.6501547987616099
0.7	11	125	0.8440827282960811
0.7	12	125	0.7306134581800616
0.7	13	125	0.7866366659231808
0.7	14	125	0.6764684341584883
