sample_id	cluster	mapk_activity_score	thyroid_diff_score
TCGA-FK-A3SE-01A	DM1	7.648684288347013	7.884781508703972
TCGA-FY-A2QD-01A	DM2	6.145192338956598	9.596065351103677
TCGA-EL-A4KD-01A	DM1	7.634149075913363	8.87502388946776
TCGA-BJ-A192-01A	DM2	5.933160326542967	8.680140561430864
TCGA-ET-A40S-01A	DM1	7.429431876945565	7.595059563865135
TCGA-ET-A39L-01A	DM1	7.98470809619221	8.567713715467853
TCGA-KS-A4IB-01A	DM1	5.622406254559408	6.860963733646783
TCGA-DJ-A2PO-01A	DM1	6.737605241783995	7.235567733558915
TCGA-EM-A2CJ-01A	DM2	5.985015509212843	9.68997147655522
TCGA-DJ-A1QL-01A	DM2	6.596381905523799	9.492356791126513
TCGA-EM-A1CS-01A	DM1	6.815217377727994	7.655491753561528
TCGA-CE-A484-01A	DM1	7.139864989323193	8.070621210386934
TCGA-EL-A3ZP-01A	DM1	7.088624002015045	7.992939516389529
TCGA-BJ-A0YZ-01A	DM2	5.3084318977303315	7.8685864144230955
TCGA-FY-A3NM-01A	DM2	5.48957677234634	10.267216346556836
TCGA-BJ-A3PR-01A	DM1	6.188745561894997	7.5191070843660075
TCGA-EL-A3CO-01A	DM1	7.425434334198713	8.858810446974907
TCGA-CE-A482-01A	DM1	6.58801556978923	7.192360861932903
TCGA-EM-A3FQ-01A	DM1	7.184639605365124	8.455241436940277
TCGA-EL-A3GO-01A	DM2	6.730405006065656	8.550719740006091
TCGA-DJ-A3UZ-01A	DM1	7.488917448626204	8.730961469637624
TCGA-E8-A432-01A	DM1	7.512829751516776	6.912878163188202
TCGA-DJ-A4UT-01A	DM1	7.342881369967386	7.443262148200688
TCGA-ET-A40R-01A	DM1	7.624134543469911	9.399583703500893
TCGA-EM-A3FR-01A	DM2	7.594317683996834	8.982183885887158
TCGA-DJ-A4UQ-01A	DM1	7.263828202067786	8.103875776197274
TCGA-ET-A4KQ-01A	DM2	6.913464575716546	9.552146837716316
TCGA-CE-A481-01A	DM1	7.387840947648489	8.42242156040411
TCGA-EM-A2CP-01A	DM1	6.054773205183729	8.375615630900187
TCGA-EL-A3H3-01A	DM1	6.794583847097175	6.863789556568497
TCGA-EL-A3CS-01A	DM1	7.503602603394185	6.218862134249025
TCGA-FK-A3SD-01A	DM2	6.011361034796784	9.67266342462885
TCGA-DJ-A13W-01A	DM1	5.926642763296187	7.243010862138874
TCGA-DJ-A13R-01A	DM1	4.633120562761684	7.4186264721555775
TCGA-EL-A3ZK-01A	DM1	7.500532310814365	7.01516243606583
TCGA-ET-A3DS-01A	DM2	5.363532327790384	10.30981759682528
TCGA-EL-A3D4-01A	DM1	7.323624107530224	8.496009611035488
TCGA-EM-A3AN-01A	DM1	7.154842517140644	7.912725859020075
TCGA-DE-A0Y2-01A	DM1	8.18180380354564	6.542340420502228
TCGA-CE-A27D-01A	DM1	6.470025336641211	9.197616886964614
TCGA-BJ-A0Z0-01A	DM2	6.094176323555103	9.716169788337995
TCGA-FK-A4UB-01A	DM1	6.9594808952665375	7.644874202360878
TCGA-H2-A421-01A	DM1	6.793869368387138	7.085806434506583
TCGA-CE-A483-01A	DM1	6.94930698513129	7.0331734272553375
TCGA-FY-A76V-01A	DM1	7.862509458245398	8.389131183700698
TCGA-DO-A2HM-01B	DM1	6.132860008195326	6.333470319912015
TCGA-EL-A3T0-01A	DM1	8.138743297590686	8.794028021640075
TCGA-BJ-A0ZJ-01A	DM1	6.742828093017757	8.554632938568068
TCGA-EL-A3T9-01A	DM1	7.521479536663726	5.632319246950343
TCGA-EM-A1YD-01A	DM2	6.917563269370631	9.980108628550722
TCGA-EL-A3H1-01A	DM2	7.858313708333987	9.312230016189803
TCGA-DJ-A3VK-01A	DM1	6.777251483799261	8.611570313521382
TCGA-EM-A4FR-01A	DM1	5.879034209662705	8.934563480072217
TCGA-EL-A3ZR-01A	DM2	6.1663574158798875	8.890014849385198
TCGA-EM-A2P1-06A	DM1	6.4096409747313245	6.104024528014855
TCGA-ET-A39R-01A	DM1	6.700069126854086	7.8117898598209194
TCGA-ET-A3DR-01A	DM1	8.062714700838718	8.926401145670821
TCGA-ET-A2N3-01B	DM2	7.176747426837152	8.868588745727296
TCGA-CE-A485-01A	DM1	7.7442228385045455	7.827216954423252
TCGA-ET-A3DT-01A	DM1	6.7936020171236535	6.91531375303799
TCGA-CE-A13K-01A	DM1	8.278151795786513	7.261861788888837
TCGA-DJ-A2Q9-01A	DM1	6.892558169823777	6.763012485831785
TCGA-BJ-A190-01A	DM2	5.427025716492981	9.65885490811723
TCGA-DE-A3KN-01A	DM1	8.22229641835868	7.690284115438684
TCGA-EM-A3AL-01A	DM2	6.073667181226802	9.502096366637723
TCGA-EM-A1YC-01A	DM2	5.3117813912081004	8.669259309020736
TCGA-BJ-A0Z5-01A	DM1	6.157480708006247	7.310430242856711
