sample_id	cluster	Hallmark_EMT	Hallmark_Hypoxia	Hallmark_Oxidative_Phosphorylation	Hallmark_TGF_beta	Hallmark_Inflammatory_Response	Hallmark_E2F_Targets	Hallmark_G2M_Checkpoint	Hallmark_Apoptosis	Hallmark_MTORC1	Hallmark_Interferon_Gamma
TCGA-FK-A3SE-01A	DM1	6.0637065402181	7.006174619494131	6.217261279863468	7.025885184310182	4.631272206703445	3.506788491189402	2.214918330784889	4.5924672311257435	5.050903090797659	6.100992691899428
TCGA-FY-A2QD-01A	DM2	3.956042054055847	6.2724192742002405	6.470298928575876	5.535801117679386	2.022795017770209	3.2557483789082267	2.0817111508977986	3.477098541890801	4.9977667577629745	5.691522023554614
TCGA-EL-A4KD-01A	DM1	6.261810864070975	6.649783165475804	6.353276816414826	6.616631612236747	3.8795270883128654	3.1181250739574042	2.109454100519059	4.537153724220905	4.956120666398233	6.202178117360944
TCGA-BJ-A192-01A	DM2	4.786434892672853	6.492236658749192	6.580383177335231	5.493544308121331	2.5042981075987316	2.638897845151508	1.81478324842539	4.7503083030417335	5.1142577698867235	5.785389884837206
TCGA-ET-A40S-01A	DM1	5.154784532910607	6.757867269696645	6.361243991947025	6.193709506280377	3.9477027224823895	3.7428147304529267	2.211224109689412	5.137215737705961	5.125798961509282	7.371715222524948
TCGA-ET-A39L-01A	DM1	5.498777735259056	6.592004823403778	6.119901644472823	6.631082468613097	2.823412592800165	3.1826959853816765	2.175483990901343	4.048635927806957	5.369962412995547	6.217567564771932
TCGA-KS-A4IB-01A	DM1	4.3867787715542885	6.132294498025507	6.412864199149624	5.60250674900085	2.310756308947675	4.039783696718419	3.1318370500242736	4.571424079966806	4.997117135245342	5.967311716533201
TCGA-DJ-A2PO-01A	DM1	5.81116850289871	6.751534062882619	6.049408595976366	6.777479263164482	3.3090583473235795	4.490539090992487	2.8056826488586917	4.345830481763673	5.259555990073423	7.419008299557764
TCGA-EM-A2CJ-01A	DM2	4.95338929399035	6.217097032785859	6.405126950686427	6.1791317768138425	2.1573439104938754	3.3915557819232354	2.3054479965145904	3.667489879010183	5.076806221412922	5.551233212318614
TCGA-DJ-A1QL-01A	DM2	5.129063645490299	6.3298596739879125	6.637485299525949	6.27032895865594	2.1153326065063984	4.677974202639528	2.527567500556798	3.722876703697042	5.115480129252677	5.611090015159197
TCGA-EM-A1CS-01A	DM1	5.656774967053912	6.909114343946084	5.9454212905692	6.916356442049015	2.6945791578531826	3.7068965129644087	2.5506721666608074	3.7393172732628877	5.168033292875108	5.9693324845329725
TCGA-CE-A484-01A	DM1	5.772011783890347	6.268970268295902	6.887045834936398	6.604008237842132	2.8714900730119375	3.3735696242730984	2.903762648259988	3.8197832804860306	5.08868332509671	5.976280191481677
TCGA-EL-A3ZP-01A	DM1	6.719051394123073	6.78277776509114	6.389169759922727	7.062137072141659	3.924103589202289	3.6751640950381943	2.6036236506236463	5.101039823747478	5.125631758313911	8.122767338211585
TCGA-BJ-A0YZ-01A	DM2	5.926765215439966	5.74687730362047	7.105851838877662	6.276228647721597	2.0332738371003325	3.457907803351269	2.2178743026713623	4.012587199131634	5.085444669407734	5.4238542012229685
TCGA-FY-A3NM-01A	DM2	4.400446001035012	6.557089459304632	7.088226527472287	5.743935067365283	2.0097097204080976	2.6845405922113206	1.9286520370381077	3.1601019642753543	4.983687564385861	5.267694089240657
TCGA-BJ-A3PR-01A	DM1	6.38989092042698	6.405349488383439	6.529656582532954	6.450007196490726	3.6696547629860348	5.402652824426819	4.678712591736487	5.269974097043178	5.219289667468544	8.632101005464639
TCGA-EL-A3CO-01A	DM1	6.90642411131171	7.0473372220389825	6.018773498390927	7.495027239156811	5.476377911112631	3.6999790674698354	2.722540926302105	4.034597272135495	5.233028342734653	7.502471041559695
TCGA-CE-A482-01A	DM1	6.327890400827778	6.770943398723956	6.337122001521609	6.601939099578951	3.554946986500886	3.971886925633227	2.725499027361544	4.923355147759143	5.110597149350879	6.4332235168044365
TCGA-EM-A3FQ-01A	DM1	6.734220426255884	6.563760181796647	6.597614593566036	6.986221127644969	4.657390019105071	3.9781724536015335	3.137166870753075	5.047961822945886	5.169070265350296	7.427125863103243
TCGA-EL-A3GO-01A	DM2	5.827268770842328	6.463028635456057	6.102667142907926	6.040597300320273	3.1031071066209646	4.43232874855022	3.934889858317142	4.2123109762654	5.070993823619221	6.696336994388765
TCGA-DJ-A3UZ-01A	DM1	5.2955616289795655	6.500280586831287	6.357291438456941	6.2422719686667145	3.3792390525939964	3.271928904834404	2.1607830146520364	3.962784419451261	5.034713301092826	7.207660804103433
TCGA-E8-A432-01A	DM1	7.093638577229354	6.911560999869365	6.437951471029919	7.188788272953711	3.714551240497541	4.512712723645371	3.9298135148183215	4.53557417425598	5.383478411168931	6.462192506754907
TCGA-DJ-A4UT-01A	DM1	7.170718365954196	6.426069759495048	6.120101950386829	7.196693473194392	3.801765739833916	3.930926935616754	3.0516212595866783	4.93437487085088	5.16638625843309	8.199398224989707
