cohort	classifier	AUC	DIA_AUC	n
GSE27155	LogReg	0.96875	0.96875	54
GSE27155	RandomForest	0.8767361111111112	0.8767361111111112	54
GSE27155	SVM_RBF	0.6111111111111112	0.6111111111111112	54
GSE27155	kNN_marker20	0.8020833333333334	0.8020833333333334	54
GSE76039	LogReg	0.9901960784313726	0.9901960784313726	37
GSE76039	RandomForest	0.9019607843137255	0.9019607843137255	37
GSE76039	SVM_RBF	0.5490196078431373	0.5490196078431373	37
GSE76039	kNN_marker20	0.5	0.5	37
