n	batch_shift	imbalance	label_auc	identifiability
40	0.0	0.5	1.0	1.0
40	0.0	0.7	0.9672619047619049	0.7175
40	0.0	0.85	0.7156862745098039	0.6074999999999999
40	0.5	0.5	1.0	1.0
40	0.5	0.7	0.9732142857142857	0.875
40	0.5	0.85	0.9558823529411765	0.9
40	1.0	0.5	1.0	1.0
40	1.0	0.7	0.9553571428571429	0.9924999999999999
40	1.0	0.85	0.9411764705882353	0.9974999999999999
40	1.5	0.5	1.0	1.0
40	1.5	0.7	0.9791666666666666	1.0
40	1.5	0.85	0.9852941176470589	0.99
40	2.0	0.5	1.0	1.0
40	2.0	0.7	1.0	1.0
40	2.0	0.85	1.0	1.0
80	0.0	0.5	0.95875	0.95875
80	0.0	0.7	0.9345238095238094	0.625625
80	0.0	0.85	0.9901960784313726	0.68125
80	0.5	0.5	0.99625	0.99625
80	0.5	0.7	0.9910714285714286	0.964375
80	0.5	0.85	0.9950980392156863	0.8943749999999999
80	1.0	0.5	1.0	1.0
80	1.0	0.7	0.9791666666666666	0.994375
80	1.0	0.85	0.9987745098039216	0.9450000000000001
80	1.5	0.5	1.0	1.0
80	1.5	0.7	0.9858630952380951	1.0
80	1.5	0.85	0.9803921568627452	1.0
80	2.0	0.5	1.0	1.0
80	2.0	0.7	0.9918154761904763	1.0
80	2.0	0.85	0.982843137254902	1.0
160	0.0	0.5	0.9512499999999999	0.9512499999999999
160	0.0	0.7	0.898251488095238	0.659375
160	0.0	0.85	0.9577205882352942	0.59671875
160	0.5	0.5	1.0	1.0
160	0.5	0.7	0.986235119047619	0.9539062500000001
160	0.5	0.85	0.9816176470588235	0.8759375
160	1.0	0.5	1.0	1.0
160	1.0	0.7	0.984188988095238	0.99671875
160	1.0	0.85	0.9761029411764706	0.9914062499999999
160	1.5	0.5	1.0	1.0
160	1.5	0.7	0.9845610119047619	0.99921875
160	1.5	0.85	0.9874387254901961	0.99984375
160	2.0	0.5	1.0	1.0
160	2.0	0.7	0.9912574404761905	1.0
160	2.0	0.85	0.9822303921568627	1.0
