cohort	classifier	sample_id	pseudo_cluster	prob_dm2	predicted_cluster	confidence
GSE27155	LogReg	GSM671255	DM1	2.2516422755150408e-05	DM1	0.9999549671544897
GSE27155	LogReg	GSM671256	DM1	4.0803533048295345e-05	DM1	0.9999183929339034
GSE27155	LogReg	GSM671257	DM1	5.7690555994236015e-05	DM1	0.9998846188880115
GSE27155	LogReg	GSM671258	DM1	5.332624371269197e-05	DM1	0.9998933475125746
GSE27155	LogReg	GSM671259	DM1	2.281299645279005e-05	DM1	0.9999543740070944
GSE27155	LogReg	GSM671260	DM1	2.300038404446559e-05	DM1	0.9999539992319111
GSE27155	LogReg	GSM671261	DM1	2.53144441623236e-05	DM1	0.9999493711116754
GSE27155	LogReg	GSM671262	DM2	7.461458301207036e-05	DM1	0.9998507708339759
GSE27155	LogReg	GSM671263	DM2	0.00014648852037634644	DM1	0.9997070229592473
GSE27155	LogReg	GSM671267	DM1	6.020739030308922e-05	DM1	0.9998795852193938
GSE27155	LogReg	GSM671275	DM2	0.00023476578159587275	DM1	0.9995304684368083
GSE27155	LogReg	GSM671276	DM2	0.0001038707886291108	DM1	0.9997922584227418
GSE27155	LogReg	GSM671277	DM2	0.00010420862577482659	DM1	0.9997915827484504
GSE27155	LogReg	GSM671278	DM2	0.0001048753128297004	DM1	0.9997902493743406
GSE27155	LogReg	GSM671279	DM1	3.384838732134146e-05	DM1	0.9999323032253573
GSE27155	LogReg	GSM671280	DM1	3.2037952717443696e-06	DM1	0.9999935924094565
GSE27155	LogReg	GSM671281	DM1	6.592101243066108e-05	DM1	0.9998681579751387
GSE27155	LogReg	GSM671282	DM1	4.1926119652823976e-05	DM1	0.9999161477606944
GSE27155	LogReg	GSM671283	DM1	2.4633208520537655e-05	DM1	0.9999507335829589
GSE27155	LogReg	GSM671284	DM1	2.996758588283905e-05	DM1	0.9999400648282343
GSE27155	LogReg	GSM671285	DM1	1.451844589060638e-05	DM1	0.9999709631082188
GSE27155	LogReg	GSM671286	DM1	1.5952486360455598e-05	DM1	0.9999680950272791
GSE27155	LogReg	GSM671287	DM1	1.2065899213757881e-05	DM1	0.9999758682015725
GSE27155	LogReg	GSM671288	DM1	5.1923651246989574e-05	DM1	0.999896152697506
GSE27155	LogReg	GSM671289	DM1	0.00011590777574448654	DM1	0.999768184448511
GSE27155	LogReg	GSM671290	DM1	5.087802114107618e-05	DM1	0.9998982439577179
GSE27155	LogReg	GSM671291	DM1	2.945987292707103e-05	DM1	0.9999410802541459
GSE27155	LogReg	GSM671292	DM1	5.576920892697076e-06	DM1	0.9999888461582146
GSE27155	LogReg	GSM671293	DM1	4.3451752673124674e-05	DM1	0.9999130964946538
GSE27155	LogReg	GSM671294	DM1	6.263849873644272e-06	DM1	0.9999874723002528
GSE27155	LogReg	GSM671295	DM1	4.0367464640121505e-05	DM1	0.9999192650707197
GSE27155	LogReg	GSM671296	DM1	0.0001056460914496059	DM1	0.9997887078171008
GSE27155	LogReg	GSM671304	DM1	6.631870931636314e-06	DM1	0.9999867362581367
GSE27155	LogReg	GSM671305	DM1	2.156827525134293e-06	DM1	0.9999956863449497
GSE27155	LogReg	GSM671306	DM1	1.679858583020514e-06	DM1	0.999996640282834
GSE27155	LogReg	GSM671307	DM1	3.427765517792939e-06	DM1	0.9999931444689644
GSE27155	LogReg	GSM671308	DM1	4.763510331640492e-06	DM1	0.9999904729793367
GSE27155	LogReg	GSM671309	DM1	5.8049798554345785e-06	DM1	0.9999883900402892
GSE27155	LogReg	GSM671310	DM1	5.0921895177196935e-06	DM1	0.9999898156209646
GSE27155	LogReg	GSM671311	DM1	7.992224568033029e-06	DM1	0.9999840155508639
GSE27155	LogReg	GSM671312	DM1	3.510850666730335e-06	DM1	0.9999929782986665
GSE27155	LogReg	GSM671313	DM1	5.984455887074797e-06	DM1	0.9999880310882259
GSE27155	LogReg	GSM671340	DM1	7.58997145126273e-05	DM1	0.9998482005709748
GSE27155	LogReg	GSM671341	DM1	1.1012040373558972e-05	DM1	0.9999779759192529
GSE27155	LogReg	GSM671342	DM1	4.706885964930398e-06	DM1	0.9999905862280701
GSE27155	LogReg	GSM671343	DM1	1.1109741893228608e-05	DM1	0.9999777805162136
GSE27155	LogReg	GSM671344	DM1	1.785068008578826e-05	DM1	0.9999642986398284
GSE27155	LogReg	GSM671345	DM1	9.720317404856472e-06	DM1	0.9999805593651903
GSE27155	LogReg	GSM671346	DM1	3.5070934915223175e-05	DM1	0.9999298581301695
GSE27155	LogReg	GSM671347	DM1	2.141658304933804e-06	DM1	0.9999957166833902
GSE27155	LogReg	GSM671349	DM1	2.34735218587404e-07	DM1	0.9999995305295628
GSE27155	LogReg	GSM671351	DM1	7.284514429226552e-07	DM1	0.9999985430971141
GSE27155	LogReg	GSM671352	DM1	1.3844938699442149e-06	DM1	0.9999972310122601
GSE27155	LogReg	GSM671353	DM1	9.145611596993495e-07	DM1	0.9999981708776806
GSE27155	RandomForest	GSM671255	DM1	0.4445894660894663	DM1	0.11082106782106738
GSE27155	RandomForest	GSM671256	DM1	0.44406863275613295	DM1	0.1118627344877341
GSE27155	RandomForest	GSM671257	DM1	0.4385805375180377	DM1	0.12283892496392457
GSE27155	RandomForest	GSM671258	DM1	0.4421936327561329	DM1	0.11561273448773424
GSE27155	RandomForest	GSM671259	DM1	0.44302696608946635	DM1	0.11394606782106731
GSE27155	RandomForest	GSM671260	DM1	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671261	DM1	0.4428186327561329	DM1	0.11436273448773415
GSE27155	RandomForest	GSM671262	DM2	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671263	DM2	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671267	DM1	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671275	DM2	0.4472977994227996	DM1	0.10540440115440075
GSE27155	RandomForest	GSM671276	DM2	0.4472977994227996	DM1	0.10540440115440075
GSE27155	RandomForest	GSM671277	DM2	0.4445894660894663	DM1	0.11082106782106738
GSE27155	RandomForest	GSM671278	DM2	0.44302696608946635	DM1	0.11394606782106731
GSE27155	RandomForest	GSM671279	DM1	0.43886029942279964	DM1	0.12227940115440072
GSE27155	RandomForest	GSM671280	DM1	0.43133252164502184	DM1	0.13733495670995632
GSE27155	RandomForest	GSM671281	DM1	0.4429227994227996	DM1	0.11415440115440079
GSE27155	RandomForest	GSM671282	DM1	0.4382977994227996	DM1	0.12340440115440077
GSE27155	RandomForest	GSM671283	DM1	0.4429227994227996	DM1	0.11415440115440079
GSE27155	RandomForest	GSM671284	DM1	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671285	DM1	0.43767279942279963	DM1	0.12465440115440074
GSE27155	RandomForest	GSM671286	DM1	0.4445894660894663	DM1	0.11082106782106738
GSE27155	RandomForest	GSM671287	DM1	0.43996446608946627	DM1	0.12007106782106747
GSE27155	RandomForest	GSM671288	DM1	0.440318632756133	DM1	0.11936273448773405
GSE27155	RandomForest	GSM671289	DM1	0.4429227994227996	DM1	0.11415440115440079
GSE27155	RandomForest	GSM671290	DM1	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671291	DM1	0.445631132756133	DM1	0.10873773448773405
GSE27155	RandomForest	GSM671292	DM1	0.4356509740259742	DM1	0.12869805194805162
GSE27155	RandomForest	GSM671293	DM1	0.4479227994227996	DM1	0.10415440115440078
GSE27155	RandomForest	GSM671294	DM1	0.44046446608946627	DM1	0.11907106782106747
GSE27155	RandomForest	GSM671295	DM1	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671296	DM1	0.44625613275613296	DM1	0.10748773448773408
GSE27155	RandomForest	GSM671304	DM1	0.43241486291486303	DM1	0.13517027417027394
GSE27155	RandomForest	GSM671305	DM1	0.438007124819625	DM1	0.12398575036074999
GSE27155	RandomForest	GSM671306	DM1	0.43696545815295834	DM1	0.12606908369408332
GSE27155	RandomForest	GSM671307	DM1	0.4379158549783552	DM1	0.12416829004328955
GSE27155	RandomForest	GSM671308	DM1	0.43145553751803767	DM1	0.13708892496392466
GSE27155	RandomForest	GSM671309	DM1	0.4306599025974027	DM1	0.13868019480519456
GSE27155	RandomForest	GSM671310	DM1	0.4397849025974028	DM1	0.12043019480519435
GSE27155	RandomForest	GSM671311	DM1	0.43697240259740283	DM1	0.12605519480519434
GSE27155	RandomForest	GSM671312	DM1	0.437382124819625	DM1	0.12523575036074996
GSE27155	RandomForest	GSM671313	DM1	0.4404158549783552	DM1	0.11916829004328955
GSE27155	RandomForest	GSM671340	DM1	0.44603490259740275	DM1	0.1079301948051945
GSE27155	RandomForest	GSM671341	DM1	0.4332015692640694	DM1	0.13359686147186123
GSE27155	RandomForest	GSM671342	DM1	0.444693632756133	DM1	0.11061273448773401
GSE27155	RandomForest	GSM671343	DM1	0.4351599025974027	DM1	0.12968019480519455
GSE27155	RandomForest	GSM671344	DM1	0.44188113275613294	DM1	0.11623773448773411
GSE27155	RandomForest	GSM671345	DM1	0.44103490259740274	DM1	0.11793019480519451
GSE27155	RandomForest	GSM671346	DM1	0.4377015692640694	DM1	0.12459686147186122
GSE27155	RandomForest	GSM671347	DM1	0.43029879148629163	DM1	0.13940241702741674
GSE27155	RandomForest	GSM671349	DM1	0.44021446608946624	DM1	0.11957106782106752
GSE27155	RandomForest	GSM671351	DM1	0.43673529942279954	DM1	0.12652940115440092
GSE27155	RandomForest	GSM671352	DM1	0.4437561327561329	DM1	0.11248773448773419
GSE27155	RandomForest	GSM671353	DM1	0.4378860930735932	DM1	0.12422781385281356
GSE27155	SVM_RBF	GSM671255	DM1	0.17125149380641774	DM1	0.6574970123871645
GSE27155	SVM_RBF	GSM671256	DM1	0.172776491337595	DM1	0.65444701732481
GSE27155	SVM_RBF	GSM671257	DM1	0.164748259532151	DM1	0.670503480935698
GSE27155	SVM_RBF	GSM671258	DM1	0.16706673476576298	DM1	0.6658665304684741
GSE27155	SVM_RBF	GSM671259	DM1	0.17395245310140867	DM1	0.6520950937971827
GSE27155	SVM_RBF	GSM671260	DM1	0.17415682676827673	DM1	0.6516863464634466
GSE27155	SVM_RBF	GSM671261	DM1	0.17900100544353553	DM1	0.6419979891129289
GSE27155	SVM_RBF	GSM671262	DM2	0.17433314805254818	DM1	0.6513337038949036
GSE27155	SVM_RBF	GSM671263	DM2	0.17011916932374724	DM1	0.6597616613525055
GSE27155	SVM_RBF	GSM671267	DM1	0.17442707901900092	DM1	0.6511458419619982
GSE27155	SVM_RBF	GSM671275	DM2	0.17420851475333313	DM1	0.6515829704933338
GSE27155	SVM_RBF	GSM671276	DM2	0.17705996983371844	DM1	0.6458800603325632
GSE27155	SVM_RBF	GSM671277	DM2	0.16625046789134953	DM1	0.6674990642173009
GSE27155	SVM_RBF	GSM671278	DM2	0.16533168377559573	DM1	0.6693366324488086
GSE27155	SVM_RBF	GSM671279	DM1	0.16134592616374038	DM1	0.6773081476725192
GSE27155	SVM_RBF	GSM671280	DM1	0.16207910047260746	DM1	0.6758417990547851
GSE27155	SVM_RBF	GSM671281	DM1	0.16469452235904725	DM1	0.6706109552819055
GSE27155	SVM_RBF	GSM671282	DM1	0.15938827165930997	DM1	0.6812234566813801
GSE27155	SVM_RBF	GSM671283	DM1	0.16660327423688728	DM1	0.6667934515262255
GSE27155	SVM_RBF	GSM671284	DM1	0.16933114067424831	DM1	0.6613377186515034
GSE27155	SVM_RBF	GSM671285	DM1	0.16827919672241282	DM1	0.6634416065551744
GSE27155	SVM_RBF	GSM671286	DM1	0.17149999819105904	DM1	0.6570000036178819
GSE27155	SVM_RBF	GSM671287	DM1	0.17463623886068105	DM1	0.650727522278638
GSE27155	SVM_RBF	GSM671288	DM1	0.15867823266392397	DM1	0.682643534672152
GSE27155	SVM_RBF	GSM671289	DM1	0.16239294830899925	DM1	0.6752141033820015
GSE27155	SVM_RBF	GSM671290	DM1	0.16656429067947098	DM1	0.666871418641058
GSE27155	SVM_RBF	GSM671291	DM1	0.18507433866348713	DM1	0.6298513226730258
GSE27155	SVM_RBF	GSM671292	DM1	0.17070339182600058	DM1	0.6585932163479988
GSE27155	SVM_RBF	GSM671293	DM1	0.16783821690376974	DM1	0.6643235661924605
GSE27155	SVM_RBF	GSM671294	DM1	0.1857293020692405	DM1	0.628541395861519
GSE27155	SVM_RBF	GSM671295	DM1	0.1767254793168059	DM1	0.6465490413663881
GSE27155	SVM_RBF	GSM671296	DM1	0.16583120373893137	DM1	0.6683375925221373
GSE27155	SVM_RBF	GSM671304	DM1	0.15635013107946957	DM1	0.6872997378410608
GSE27155	SVM_RBF	GSM671305	DM1	0.16525478303327468	DM1	0.6694904339334506
GSE27155	SVM_RBF	GSM671306	DM1	0.17627977841071685	DM1	0.6474404431785663
GSE27155	SVM_RBF	GSM671307	DM1	0.1634606282967026	DM1	0.6730787434065948
GSE27155	SVM_RBF	GSM671308	DM1	0.16581747167934255	DM1	0.6683650566413148
GSE27155	SVM_RBF	GSM671309	DM1	0.1621418837482694	DM1	0.6757162325034611
GSE27155	SVM_RBF	GSM671310	DM1	0.17024527569175035	DM1	0.6595094486164993
GSE27155	SVM_RBF	GSM671311	DM1	0.16591923826208	DM1	0.66816152347584
GSE27155	SVM_RBF	GSM671312	DM1	0.1671071865061534	DM1	0.6657856269876932
GSE27155	SVM_RBF	GSM671313	DM1	0.16618454521141304	DM1	0.667630909577174
GSE27155	SVM_RBF	GSM671340	DM1	0.16669781904188766	DM1	0.6666043619162247
GSE27155	SVM_RBF	GSM671341	DM1	0.16529497470791588	DM1	0.6694100505841682
GSE27155	SVM_RBF	GSM671342	DM1	0.16697368328482545	DM1	0.6660526334303492
GSE27155	SVM_RBF	GSM671343	DM1	0.1582427047899564	DM1	0.6835145904200872
GSE27155	SVM_RBF	GSM671344	DM1	0.16295230143576034	DM1	0.6740953971284793
GSE27155	SVM_RBF	GSM671345	DM1	0.1635973250890151	DM1	0.6728053498219698
GSE27155	SVM_RBF	GSM671346	DM1	0.16933107481546208	DM1	0.6613378503690759
GSE27155	SVM_RBF	GSM671347	DM1	0.17451210480765314	DM1	0.6509757903846938
GSE27155	SVM_RBF	GSM671349	DM1	0.19623822647097383	DM1	0.6075235470580523
