gene	log2fc_dm2_vs_dm1	pvalue	fdr	rank_score
SLC4A4	2.9571498357920087	6.253427970315089e-41	2.3078722597874288e-37	118.8889026055488
DIO1	3.8857678845312176	1.409911710526423e-26	3.4524795383639445e-24	100.45023983522877
TPO	3.9100259584539225	3.7009100272798666e-26	8.386781547784918e-24	99.4385738264207
SLC5A8	3.017276132430623	2.7140960796841408e-30	1.3884348143081207e-27	89.2099169530426
MRO	2.407153835041559	2.1639001530240817e-32	1.6441822515654157e-29	76.2219551672833
ZMAT4	2.8966248512675494	8.639645376390759e-26	1.8146064931193404e-23	72.59956878736745
MT1G	3.814639932813539	3.1547704872342115e-18	1.815497408615089e-16	66.7601364124426
PPARGC1A	2.283475218522944	3.9459909434434975e-29	1.5859430773529315e-26	64.85947369262428
MATN2	2.1867997281389204	1.5662796040500254e-29	6.916797827526215e-27	62.99105199989565
OGDHL	2.559404555246068	3.1314351575511367e-25	5.90492670512234e-23	62.71630590553066
MPPED2	2.320657610061777	1.0996966502577724e-27	3.2283594616771927e-25	62.561975197159924
FLRT1	2.409692753592009	1.2646973512527268e-26	3.1382645681143317e-24	62.406255200758
HGD	2.398922884295278	3.200563770473174e-26	7.34963239523591e-24	61.15999561546061
IQGAP2	2.019507418926067	3.787699807963133e-30	1.8817584007484534e-27	59.41718884973785
MAPK4	2.5549459244748496	7.336238609706516e-24	1.0829965042466179e-21	59.10746432809072
LGI3	2.14558564191442	2.0645722968072247e-27	5.797408773447592e-25	57.25531739909889
TRIM58	1.992672253967251	1.9437855960955137e-29	8.439623040257395e-27	57.21231378776601
FAM167A	2.5014743680226577	1.819680055233484e-23	2.4741902393106224e-21	56.88353954869465
CLCNKA	2.480440328198176	2.3506966556298878e-23	3.122256935811955e-21	56.12939655840732
TFCP2L1	2.4929332604826637	1.1428389895104183e-22	1.363699882448598e-20	54.69997887457264
MT1F	2.7572227943120984	2.4273615040980194e-20	1.9970846209193704e-18	54.08255437393551
CDH16	3.042426685881683	1.7173948364844418e-18	1.0390439860828822e-16	54.04910512522631
RAP1GAP	2.1859440789537237	3.851536448555039e-25	7.081892712595792e-23	53.36843877263598
SPX	2.228180811752266	4.364951853321902e-24	6.633186245806942e-22	52.05034953454823
BTBD11	1.9206731876805048	9.629810180247655e-28	2.8927501883316036e-25	51.889641060772355
PKHD1L1	3.248139107884334	1.6866999712331552e-15	6.145868414222474e-14	47.98463613923613
AF131216.3	1.9144622355589682	1.302120030134324e-25	2.6487377053929235e-23	47.642060841720784
IGFBPL1	2.420715273307402	4.163972451189012e-20	3.2896655750463892e-18	46.914653357628374
SORBS2	1.8232668701620796	3.432755645029822e-26	7.813375271691668e-24	46.42831868864002
CWH43	2.4672750048448195	1.5640089197115747e-19	1.1441340076564793e-17	46.39898350586902
FAM234B	1.68342104248259	4.27761832368557e-28	1.3727700841502237e-25	46.07321040771485
RNF150	1.8199681213521535	2.216269501833371e-25	4.3048952113055115e-23	44.870180974101956
LDHD	1.8227328719817537	2.7601520640863974e-25	5.243071207618234e-23	44.764618709410826
PWWP3B	2.1121144937710676	9.72959768679208e-22	1.0054177065623463e-19	44.37954933974833
DIO2	2.1232553096885765	2.05772660857583e-21	1.9947207957203748e-19	43.922959461709716
SLC25A15	2.054241303210698	1.0253035347503846e-21	1.0531885294927013e-19	43.11677380691598
DGKI	2.378568036751608	7.539245834899378e-19	4.924623941815184e-17	43.10600858631709
ACACB	1.3429789937320118	1.5866186531669053e-32	1.2420820086640554e-29	42.70609736818342
BDH1	1.241328836891026	1.3591744436220859e-34	1.4941664926184241e-31	42.03974210534726
IPCEF1	2.328316419106429	1.4542249883639597e-18	8.944868654617746e-17	41.531037712435804
OTOS	2.1304562262789513	3.711328788374812e-20	2.9592119728047802e-18	41.3957670045195
SLC39A14	1.4557302874917255	9.029012068360979e-29	3.380514460493298e-26	40.82502390539319
MTARC2	1.4091309433739942	1.6432872708459632e-29	7.195370060175358e-27	40.56082880256144
KATNAL2	1.5110327207279068	1.6756529663611778e-27	4.78329488762151e-25	40.459133979778635
AC106795.2	1.5986322016239916	5.966782732681568e-26	1.2845488759674635e-23	40.32431393964255
GNA14	1.636715348292154	2.572418268196272e-25	4.9409556535749064e-23	40.24627133694076
IP6K3	2.09607305224415	3.216318873629991e-19	2.2039889066672995e-17	38.76192625696138
SEMA3D	2.9882116768005615	1.4645666285990778e-13	3.953564710891179e-12	38.35157782880853
DUSP15	1.6448924107835698	6.094358452130131e-24	9.074447046243794e-22	38.18629575755193
KIT	2.452837508190507	2.721526698458972e-16	1.1303524232795672e-14	38.17887547882442
FHL1	1.842191839505067	3.3099432140696213e-21	3.109420836082713e-19	37.728419467262526
COL9A3	3.5730816052505308	2.7777257089594517e-11	5.142226153010282e-10	37.718559372796236
C16orf89	1.685217338312074	5.0554245876267483e-23	6.386397985171121e-21	37.574014210430626
IYD	2.2952497451772764	4.394391864109725e-17	2.096486046489578e-15	37.54363240256804
ACSF2	1.3010240255459804	2.5497786386263697e-29	1.0798521532831743e-26	37.20082724999586
PRR15L	1.5401197121560655	1.548379443811049e-24	2.523711959079788e-22	36.670439169704146
WSCD2	2.577876685207386	5.990138330179623e-15	2.0294981458604639e-13	36.66401394399175
MT1H	3.034789369971052	1.1907913900258511e-12	2.7839732823464108e-11	36.18732710641468
DLG2	1.8763459814709824	5.342049280794758e-20	4.188361187254986e-18	36.16148785414176
TFF3	2.903889923403585	4.708435481139929e-13	1.1838221140610114e-11	35.79660935688613
NCAM1	2.1852970592420036	5.594588433729767e-17	2.6278290472177232e-15	35.51595448292186
GPER1	1.5622747994940993	2.0591934505862136e-23	2.785193905887133e-21	35.44223923896846
EML1	1.2656113374226976	1.347464274611064e-28	4.834776676430865e-26	35.27319893577017
PPM1L	1.6462125105666514	4.1021989363002006e-22	4.481023565343737e-20	35.20751944264953
PAIP2B	1.337204755078699	3.161898727924265e-26	7.334055941628175e-24	34.09879084818768
LIFR	1.8611005642015934	6.230210640692146e-19	4.1111433382283753e-17	33.88226124037013
STXBP5L	2.153537268708524	2.1299095992922252e-16	8.99086349479009e-15	33.74945828026126
DPP6	2.532191714588127	6.933733110671196e-14	1.9673373001766027e-12	33.32119402813373
SNTA1	1.4424774640532476	9.028011892887412e-24	1.3029589901723655e-21	33.24103903572174
LRP1B	2.208471724826551	1.724038733561113e-15	6.277493536690317e-14	32.60466846981438
DEPTOR	1.5085824140906174	2.897709134758147e-22	3.2618482696009576e-20	32.49176537966123
COPZ2	1.356087927807856	1.7532631220554673e-24	2.830862468448809e-22	32.21543216155977
BCL2	1.398038468055013	1.0531159228581064e-23	1.486677418093788e-21	32.12346220206594
ALDH4A1	1.7074596042007135	1.995419355206649e-19	1.4319351006224604e-17	31.92943623676344
SYTL3	1.250882206826156	5.1195645551614875e-26	1.1208375484579819e-23	31.635770407757605
GATM	1.6889402423891875	1.9570496534076237e-19	1.4063538455113364e-17	31.597366515417352
WDR72	1.8944133008038202	2.4865712207906007e-17	1.2282615854283821e-15	31.45559450143549
TEX2	1.2078548204730204	1.735913145059337e-26	4.210852599949569e-24	31.114910292730475
PFKFB2	1.6572426930173831	2.373260330612869e-19	1.6705942065681977e-17	30.86557277896941
RBBP8NL	1.4453829749601632	7.920329187371713e-22	8.317633505144749e-20	30.4993972823584
SLC26A4-AS1	2.6175200461184254	2.2316870365292277e-12	4.99163661486546e-11	30.497685926279004
NETO2	1.4488413976267251	1.0476320679973421e-21	1.0697441440570489e-19	30.396390027737578
FAXDC2	1.3355318347462752	1.9705882245702823e-23	2.6723452070104293e-21	30.32379001863844
SLC29A4	1.9822716901507058	7.25217535765729e-16	2.804681110624527e-14	30.010665097403503
LINC01886	2.1485651202904643	1.344082863412831e-14	4.294747890341011e-13	29.803979965336314
HAP1	1.681702001828203	2.0282005943913106e-18	1.2142881611936296e-16	29.754167008082852
TMEM116	1.1732455001228521	1.4787688831458762e-25	2.972958391221055e-23	29.131802736641585
ID4	1.2999797354470246	4.61778373962253e-23	5.8766416319905636e-21	29.035783712539832
SLC27A4	1.7849815386552468	7.154394020115708e-17	3.2858064909452304e-15	28.81928938798099
FKBP4	1.0243657256173426	1.5274144736008112e-28	5.33232777175721e-26	28.493801172285785
SLC26A7	2.1156417463598354	3.8649897229032566e-14	1.1372226025225824e-12	28.376788902314377
FABP4	2.2037710667992614	1.4226358341093522e-13	3.852739864765481e-12	28.311640305427318
UGT8	1.7051679554982924	3.584748106577536e-17	1.729381560883736e-15	28.042410131022308
WFS1	1.2905032719088299	2.248630834797205e-22	2.576103280982306e-20	27.936920442852735
WDR31	1.0150184934269006	8.157159164783852e-28	2.49387041258019e-25	27.495288937961625
SELENOV	1.7491699236383245	5.432839665816238e-16	2.1476967089012503e-14	26.70103185212192
PRPSAP1	0.9188062644506045	1.0038536197128358e-29	4.6727125066056576e-27	26.643846904898794
ANKRD46	0.8737087151227936	3.296760570366682e-31	2.0522533150566957e-28	26.632312685821816
MMP15	1.1415909403778102	8.485228117753535e-24	1.2315021527755328e-21	26.338028705203637
ARHGAP24	1.4661040678193564	1.1925853409631985e-18	7.48705946499229e-17	26.277731702363262
KLHL3	1.589455129787864	3.045373984557929e-17	1.487224792383167e-15	26.252012120649777
SYPL2	1.337650768640394	3.1403607332732557e-20	2.5392200057396335e-18	26.088230311334375
PPIF	1.3943860332340234	2.0250045044597427e-19	1.4491403426097782e-17	26.06605850574388
ALDH6A1	1.1181130523828395	5.264070011037066e-24	7.883593313920671e-22	26.02819409789828
WWOX	0.9900402376477064	5.4020643621391266e-27	1.4537180284531478e-24	26.005822783325964
TMEM99	0.9470554442705637	4.367486315040074e-28	1.3929585365771022e-25	25.911217661854568
ELMO1	1.6887201773085083	5.131802994954936e-16	2.041185505337426e-14	25.820075597347973
SOD3	1.879128442222516	2.8082767454556606e-14	8.4310309636376e-13	25.465122013430438
ACAD8	1.157420684283248	1.0048928903487234e-22	1.2074606013613452e-20	25.46080158443489
TMEM164	1.0369802160407051	3.4247543375422607e-25	6.342301330183997e-23	25.37010526501183
CACNB4	1.5343730131836308	3.928304598713875e-17	1.886316375523685e-15	25.17260886939544
ADIPOR2	0.9237772338682637	1.864252401359935e-27	5.2924281908497315e-25	24.692099220599452
PLEKHD1	1.658470143860611	1.3787165782549492e-15	5.117494839459534e-14	24.645737038315445
AC141930.2	1.775772155120059	1.4272399939506942e-14	4.5268653166018705e-13	24.586458688687344
ADGRV1	1.637906232358037	1.1013798690206834e-15	4.132614021246236e-14	24.499904391897463
ALDH1B1	1.3134991459603764	2.5382868250000714e-19	1.7770759305434103e-17	24.425119915114166
RIMKLA	1.288091881336637	1.1125312571068197e-19	8.294699133072894e-18	24.41409134882493
IFTAP	1.2998579951457279	1.9113151761861532e-19	1.3792434709942201e-17	24.33160985767309
MACIR	1.2093262335642998	1.0032084084136443e-20	8.696941618442313e-19	24.184842300708862
TMEM38A	1.340319981930488	9.546477005998872e-19	6.097000914041406e-17	24.152776329261673
VAPB	0.9289700175329525	1.0405756488990696e-26	2.6484956959269525e-24	24.13717374501024
