panel_a	panel_b	n_a	n_b	n_overlap	jaccard	overlap_genes
HT13	HT13	13	13	13	1.0	AICDA,CCR6,CD79A,CD79B,CXCL13,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IFNG,MS4A1
HT13	TIS18	13	20	2	0.06451612903225806	HLA-DRA,IFNG
HT13	TLS12	13	12	3	0.13636363636363635	CD79B,CXCL13,MS4A1
TIS18	HT13	20	13	2	0.06451612903225806	HLA-DRA,IFNG
TIS18	TIS18	20	20	20	1.0	CCL5,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,GZMA,GZMK,HLA-DOB,HLA-DRA,HLA-E,IDO1,IFNG,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT
TIS18	TLS12	20	12	0	0.0	
TLS12	HT13	12	13	3	0.13636363636363635	CD79B,CXCL13,MS4A1
TLS12	TIS18	12	20	0	0.0	
TLS12	TLS12	12	12	12	1.0	CCL19,CCL21,CCR7,CD79B,CR2,CXCL13,CXCR5,FCRL2,JCHAIN,LAMP3,MS4A1,SELL
