stratum	panel	n	n_dm1	n_dm2	n_genes	auc_cv	auc_sd	score_cohens_d
all_tumor	HT_Bcell4	179	110	69	4	0.7433465085638999	0.09890924698269364	0.8850173840367841
all_tumor	HT_nonB9	179	110	69	9	0.8876152832674572	0.030714447773298157	1.634406998587981
all_tumor	HT13_full	179	110	69	13	0.8951251646903821	0.037944485663025454	1.4754678970161847
DM1_DM2_only	HT_Bcell4	179	110	69	4	0.7433465085638999	0.09890924698269364	0.8850173840367841
DM1_DM2_only	HT_nonB9	179	110	69	9	0.8876152832674572	0.030714447773298157	1.634406998587981
DM1_DM2_only	HT13_full	179	110	69	13	0.8951251646903821	0.037944485663025454	1.4754678970161847
