cohort	label	panel	n	auc
GSE213647_Lee2024	subB_proxy_DM1_tumor_only	HT13	369	0.43952533089913276
GSE213647_Lee2024	subB_proxy_DM1_tumor_only	TIS18	369	0.4964628023733455
GSE213647_Lee2024	subB_proxy_DM1_tumor_only	TLS12	369	0.567891373801917
GSE213647_Lee2024	tumor_vs_normal	HT13	632	0.6792069821838903
GSE213647_Lee2024	tumor_vs_normal	TIS18	632	0.6051088647768608
GSE213647_Lee2024	tumor_vs_normal	TLS12	632	0.5203870289653467
GSE213647_Lee2024	hashi_GMM_tumor_only	HT13	369	0.9102602230483272
GSE213647_Lee2024	hashi_GMM_tumor_only	TIS18	369	0.8569516728624537
GSE213647_Lee2024	hashi_GMM_tumor_only	TLS12	369	0.8856877323420075
GSE213647_Lee2024	spearman_tumor_HT13_vs_TIS18	HT13__TIS18	369	0.9104047844238724
GSE213647_Lee2024	spearman_tumor_HT13_vs_TLS12	HT13__TLS12	369	0.8355105901235276
GSE213647_Lee2024	spearman_tumor_TIS18_vs_TLS12	TIS18__TLS12	369	0.7885488616930822
