stratum	n	pair	pearson_r	spearman_r
all_tumor	513	HT13__TIS18	0.9459070161515136	0.9471265636732885
all_tumor	513	HT13__TLS12	0.9012178286234637	0.8727071991546637
all_tumor	513	TIS18__TLS12	0.8365494556945612	0.8675040211789201
BRAF_cPTC	252	HT13__TIS18	0.9232505304305979	0.9050498551624484
BRAF_cPTC	252	HT13__TLS12	0.8702154433223148	0.8105211377340255
BRAF_cPTC	252	TIS18__TLS12	0.7804887073115127	0.7953422522970419
RAS_FVPTC	34	HT13__TIS18	0.8547984446839874	0.8371275783040489
RAS_FVPTC	34	HT13__TLS12	0.3652955786190745	0.3674560733384262
RAS_FVPTC	34	TIS18__TLS12	0.6197821986964949	0.6421695951107715
DM1_DM2_only	179	HT13__TIS18	0.956538246340256	0.9587345427154604
DM1_DM2_only	179	HT13__TLS12	0.9347674912967171	0.9366183332287155
DM1_DM2_only	179	TIS18__TLS12	0.8777398952051059	0.9069696399054256
