n_genes	genes	cohens_d	auc_5fcv	r_vs_full	tso500_native	ihc_routine	tf_count	ef_count	label	category
8	DIO1 · FOXE1 · NKX2-1 · PAX8 · SLC5A5 · TG · TPO · TSHR	-1.6395608451425876	0.9356778531269925	1.0	3 / 8	3 / 8	3	5	FULL 8-gene panel (reference)	baseline
7	FOXE1 · NKX2-1 · PAX8 · SLC5A5 · TG · TPO · TSHR	-1.6293443540369992	0.9274456409237317	0.9040743119610027	3 / 7	3 / 7	3	4	n−1 LOO (drop DIO1)	LOO
7	DIO1 · NKX2-1 · PAX8 · SLC5A5 · TG · TPO · TSHR	-1.6908947667307	0.9381410375835258	0.998233240915015	3 / 7	3 / 7	2	5	n−1 LOO (drop FOXE1)	LOO
7	DIO1 · FOXE1 · PAX8 · SLC5A5 · TG · TPO · TSHR	-1.7279488609778766	0.9349538589562064	0.9950202675024155	2 / 7	2 / 7	2	5	n−1 LOO (drop NKX2-1)	LOO
7	DIO1 · FOXE1 · NKX2-1 · SLC5A5 · TG · TPO · TSHR	-1.6830900745292103	0.9369937733396263	0.9984067895160297	2 / 7	2 / 7	2	5	n−1 LOO (drop PAX8)	LOO
7	DIO1 · FOXE1 · NKX2-1 · PAX8 · TG · TPO · TSHR	-1.7251235984832367	0.9345694537595947	0.9751980554289726	3 / 7	3 / 7	3	4	n−1 LOO (drop SLC5A5)	LOO
7	DIO1 · FOXE1 · NKX2-1 · PAX8 · SLC5A5 · TPO · TSHR	-1.5343266871366479	0.9385347579302978	0.951944064380817	3 / 7	2 / 7	3	4	n−1 LOO (drop TG)	LOO
7	DIO1 · FOXE1 · NKX2-1 · PAX8 · SLC5A5 · TG · TSHR	-0.9544955875565914	0.8125644815394425	0.9498520374227837	3 / 7	3 / 7	3	4	n−1 LOO (drop TPO)	LOO
7	DIO1 · FOXE1 · NKX2-1 · PAX8 · SLC5A5 · TG · TPO	-1.7038655624793935	0.9336459601228771	0.9887577891912726	2 / 7	3 / 7	3	4	n−1 LOO (drop TSHR)	LOO
3	TPO · DIO1 · TSHR	-1.8666230196098867	0.9400623908057397	0.8881709720899904	1 / 3	0 / 3	0	3	Top-3 by per-gene d (TPO DIO1 TSHR)	top-3
4	TPO · DIO1 · TSHR · PAX8	-1.8163580193975175	0.9398702917091024	0.9041827654186501	2 / 4	1 / 4	1	3	Top-4 by per-gene d (TPO DIO1 TSHR PAX8)	top-4
5	TPO · DIO1 · TSHR · PAX8 · TG	-1.8907759688350843	0.9353725749559082	0.9625805591280985	2 / 5	2 / 5	1	4	Top-5 by per-gene d (TPO DIO1 TSHR PAX8 TG)	top-5
6	TPO · DIO1 · TSHR · PAX8 · TG · FOXE1	-1.8316433504670915	0.9323493429714087	0.9700774480858704	2 / 6	2 / 6	2	4	Top-6 by per-gene d (TPO DIO1 TSHR PAX8 TG FOXE1)	top-6
7	TPO · DIO1 · TSHR · PAX8 · TG · FOXE1 · NKX2-1	-1.7251235984832367	0.9345694537595947	0.9751875832493874	3 / 7	3 / 7	3	4	Top-7 by per-gene d (TPO DIO1 TSHR PAX8 TG FOXE1 NKX2-1)	top-7
3	TSHR · PAX8 · NKX2-1	-0.5432712690198068	0.7568206046981476	0.666666699447403	3 / 3	2 / 3	2	1	TSO500 NATIVE 3-gene only	TSO500-native
4	TSHR · PAX8 · NKX2-1 · TPO	-1.8548459994968651	0.9348387651008935	0.7996479462164998	3 / 4	2 / 4	2	2	TSO500 + top 1 add-on (4-gene)	TSO500+1
5	TSHR · PAX8 · NKX2-1 · TPO · DIO1	-1.7052452263840197	0.9403829354729197	0.9178835089025026	3 / 5	2 / 5	2	3	TSO500 + top 2 add-on (5-gene)	TSO500+2
6	TSHR · PAX8 · NKX2-1 · TPO · DIO1 · TG	-1.7877993019274323	0.9356096455274858	0.9728931453615475	3 / 6	3 / 6	2	4	TSO500 + top 3 add-on (6-gene)	TSO500+3
8	TSHR · PAX8 · NKX2-1 · TPO · DIO1 · TG · FOXE1 · SLC5A5	-1.6395608451425876	0.9356778531269925	0.9999998279018969	3 / 8	3 / 8	3	5	TSO500 + top 5 add-on (8-gene)	TSO500+5
4	TSHR · SLC5A5 · TPO · TG	-1.8346283415094893	0.9299363050732378	0.8554827285535405	1 / 4	1 / 4	0	4	RAI-uptake minimal (TSHR+NIS+TPO+TG)	hand-picked
3	PAX8 · NKX2-1 · FOXE1	-0.3917468166071464	0.6737980351243262	0.6126009989672336	2 / 3	2 / 3	3	0	TF-anchor (PAX8+NKX2-1+FOXE1)	hand-picked
3	PAX8 · NKX2-1 · TSHR	-0.5432712690198068	0.7568206046981476	0.6666469081509995	3 / 3	2 / 3	2	1	Lineage core (PAX8+NKX2-1+TSHR)	hand-picked
5	TG · TSHR · TPO · PAX8 · DIO1	-1.890775968835085	0.9353725749559082	0.9625789838195907	2 / 5	2 / 5	1	4	Landa overlap 5 (TG+TSHR+TPO+PAX8+DIO1)	hand-picked
4	PAX8 · NKX2-1 · TPO · DIO1	-1.788482282987572	0.9357160452426493	0.8902395421207037	2 / 4	2 / 4	2	2	Compact 4 (PAX8+NKX2-1+TPO+DIO1)	hand-picked
5	PAX8 · NKX2-1 · TSHR · TPO · DIO1	-1.7052452263840197	0.9403829354729197	0.9178796510066742	3 / 5	2 / 5	2	3	Compact 5 (PAX8+NKX2-1+TSHR+TPO+DIO1)	hand-picked
6	PAX8 · NKX2-1 · TG · TPO · TSHR · DIO1	-1.7877993019274323	0.9356096455274858	0.9728929991817484	3 / 6	3 / 6	2	4	Compact 6 (drop FOXE1+SLC5A5)	hand-picked
