endpoint	ep_label	panel	n_total	n_events	hr_per_sd	hr_ci_lo	hr_ci_hi	cox_p	logrank_median_p	logrank_tertile_p
OS	Overall Survival	Full-8	478	14	0.8967873467722786	0.5255070515097185	1.530383927333447	0.6895292133665489	0.5718766480197737	0.8053004670541558
OS	Overall Survival	TSO500-3	478	14	1.1665446830394721	0.6998693398538736	1.9444007903129328	0.5545487887573228	0.4332793832675791	0.3313003339804043
OS	Overall Survival	Compact-5	478	14	0.787966659959131	0.46744118889883496	1.3282771650264733	0.37108881679687433	0.2372355723912441	0.5753050659776373
PFI	Progression-Free Interval	Full-8	478	49	1.236258107856847	0.9191749902864342	1.6627237744638057	0.16073467141022452	0.009831091077079317	0.06565058385574075
PFI	Progression-Free Interval	TSO500-3	478	49	1.0862064824955262	0.8330732233266359	1.4162554858070433	0.5413033368681102	0.6346583237544559	0.2289857848226472
PFI	Progression-Free Interval	Compact-5	478	49	1.0254508675997835	0.768381037821551	1.3685260698811792	0.8644753942431733	0.47740161876570586	0.39965106107195525
DSS	Disease-Specific Survival	Full-8	472	5	1.0951962282754417	0.4332740842117792	2.7683510787653627	0.8475890045600901	0.6551374467393083	0.3373646420234282
DSS	Disease-Specific Survival	TSO500-3	472	5	0.9910275428887793	0.3764934481004951	2.608639262434165	0.9854378072008082	0.7801729370026012	0.9481705324482527
DSS	Disease-Specific Survival	Compact-5	472	5	0.8795131706453726	0.3606734390908199	2.1447196646601223	0.7777200134112613	0.6397598486785592	0.952809964322684
