	PAX8	NKX2-1	FOXE1	TG	TPO	TSHR	SLC5A5	DIO1
PAX8	1.0	0.834	0.874	-0.858	-0.12	0.807	0.849	0.023
NKX2-1	0.834	1.0	0.869	-0.8	-0.408	0.958	0.983	-0.303
FOXE1	0.874	0.869	1.0	-0.901	-0.165	0.89	0.874	-0.067
TG	-0.858	-0.8	-0.901	1.0	-0.074	-0.823	-0.816	-0.076
TPO	-0.12	-0.408	-0.165	-0.074	1.0	-0.347	-0.37	0.669
TSHR	0.807	0.958	0.89	-0.823	-0.347	1.0	0.953	-0.276
SLC5A5	0.849	0.983	0.874	-0.816	-0.37	0.953	1.0	-0.27
DIO1	0.023	-0.303	-0.067	-0.076	0.669	-0.276	-0.27	1.0
