score	n_fusion+	n_fusion-	median_+	median_-	cohens_d	mw_p	comparison	median_DM1	median_DM2
TLS_score	72.0	18.0	-0.125	0.278	-0.596	0.0520012147088313			
TLS_score					0.908	1.9619562328053686e-13	DM1 vs DM2	-0.092	-0.369
