contrast	n_a	n_b	mean_a	mean_b	cohens_d	mwu_p
PTC vs PDTC	81	25	-0.04585455368907674	-0.08013782042959545	0.17926483693510475	0.38799169962963775
PTC vs ATC	81	63	-0.04585455368907674	0.018723393942340533	-0.20848001302295882	0.08333435226094936
PDTC vs ATC	25	63	-0.08013782042959545	0.018723393942340533	-0.27806890650702537	0.774246303329209
