lineage	outcome	n	events	covariates	HR	HR_lower95	HR_upper95	p	concordance	fdr
brain lower grade glioma	DSS	521	123	DM1_like+age	44.73834840760912	8.120433158502506	246.4794400954989	1.2683393359069306e-05	0.7681967681967682	0.000367818407413
lung adenocarcinoma	DSS	508	125	DM1_like+age+stage_int	19.029118483441643	3.36721023312118	107.53927589523002	0.0008562645495848	0.7134239995531849	0.0124158359689797
uterine corpus endometrioid carcinoma	DSS	549	60	DM1_like+age	0.0822671492145754	0.0167809190782504	0.4033082936836866	0.0020735106503367	0.6199672342749343	0.0200439362865887
brain lower grade glioma	OS	529	136	DM1_like+age	35.94598766219502	7.014123586506612	184.21603398839096	1.7363558383082505e-05	0.7690142667658763	0.0005556338682586
lung adenocarcinoma	OS	544	203	DM1_like+age+stage_int	11.220020625642263	2.8643825959749787	43.94973737682126	0.0005192524343684	0.6899020725736132	0.0083080389498945
uterine corpus endometrioid carcinoma	OS	551	91	DM1_like+age	0.1474587356301634	0.0367016170227925	0.5924556048890944	0.0069818696087267	0.6257179539158051	0.074473275826419
