driver_anchor	DM1	DM2	total	DM1_pct
BRAF	3	271	274	1.094890510948905
NTRK	0	1	1	0.0
RAS	53	1	54	98.14814814814815
TP53	1	0	1	100.0
unknown	83	87	170	48.8235294117647
