split	algorithm	claim_status	n	positives	positive_rate	AUPRC	AUROC	top5_precision	top5_hits	top10_precision	top10_hits	top24_precision	top24_hits	top96_precision	top96_hits
academic_validation_like	BigMHC_IM	clean_comparator	430	11	0.02558139534883721	0.3337050077519977	0.8277283575612931	0.6	3	0.4	4	0.25	6	0.09375	9
academic_validation_like	CROSS_claimsafe	clean_comparator	430	11	0.02558139534883721	0.846480282703193	0.9919722282490779	1.0	5	0.8	8	0.4166666666666667	10	0.11458333333333333	11
academic_validation_like	BioDarwin_PanVax_v2	clean_prefreeze_model	430	11	0.02558139534883721	0.8863066757803602	0.97244521588197	1.0	5	0.9	9	0.4166666666666667	10	0.10416666666666667	10
academic_validation_like	BioDarwin_mode_bank_v4	gated_full_discovery	430	11	0.02558139534883721	0.8863066757803602	0.97244521588197	1.0	5	0.9	9	0.4166666666666667	10	0.10416666666666667	10
industrial_locked_v0	BigMHC_IM	clean_comparator	25	9	0.36	0.5781211163564105	0.6111111111111112	0.8	4	0.4	4	0.375	9	0.36	9
industrial_locked_v0	GA_public_feature_adapter	clean_comparator	25	9	0.36	0.5153963210229195	0.5902777777777778	0.6	3	0.4	4	0.375	9	0.36	9
industrial_locked_v0	BioDarwin_PanVax_v2	clean_prefreeze_model	25	9	0.36	0.4943223443223443	0.5416666666666666	0.6	3	0.4	4	0.375	9	0.36	9
industrial_locked_v0	BioDarwin_public_anchor_v3	diagnostic_selected_after_failure	25	9	0.36	0.6279786662139604	0.638888888888889	0.8	4	0.5	5	0.375	9	0.36	9
industrial_locked_v0	BioDarwin_mode_bank_v4	diagnostic_mode_bank	25	9	0.36	0.6279786662139604	0.638888888888889	0.8	4	0.5	5	0.375	9	0.36	9
