sample_id	n_tiles	B1_stromal_encased_thyrocyte_idx_mean	B1_stromal_encased_thyrocyte_idx_top25_mean	B1_stromal_encased_thyrocyte_idx_bot25_mean	B3_nuclear_eccentricity_var_mean	B3_nuclear_eccentricity_var_top25_mean	B3_nuclear_eccentricity_var_bot25_mean	B4_tumor_stroma_ratio_mean	B4_tumor_stroma_ratio_top25_mean	B4_tumor_stroma_ratio_bot25_mean	C2_spatial_celltype_entropy_mean	C2_spatial_celltype_entropy_top25_mean	C2_spatial_celltype_entropy_bot25_mean	B5_thyrocyte_cluster_med_mean	B5_thyrocyte_cluster_med_top25_mean	B5_thyrocyte_cluster_med_bot25_mean	DM1_like_score_mean	RAI_8_score_mean	stage
GSM7980860_N-1	200	0.9814241312319453	1.0	0.9814241312319453	0.012153594456779548	0.01985722614821193	0.005901955508769255	0.24286745755613615	0.3551657443926455	0.1315716344912225	1.295265166122818	1.433358440312156	1.079452789199654	3.2645502645502646	6.4765625	0.0	0.014728482669616011	-0.014728482669616011	N
GSM7980861_N-2	200	0.9860919434636278	1.0	0.945331769208751	0.01143499841956424	0.016696975324645265	0.006712710724191068	0.32393566449559247	0.4646840563256561	0.2056333438942481	1.3707647820923126	1.4613783587325018	1.2776997151914866	3.775	6.220779220779221	0.0	-0.016938808289518027	0.016938808289518027	N
GSM7980862_N-3	200	0.9950551404975794	1.0	0.9950551404975794	0.012875584536503691	0.01858097875115881	0.008292109705188906	0.2819928197710635	0.3796163216110304	0.19248037746873747	1.356099489258081	1.4407934212480995	1.2589106492240567	4.4625	6.297752808988764	2.736842105263158	0.02424536112742045	-0.02424536112742045	N
GSM7980863_N-4	200	0.9950310797507409	1.0	0.9950310797507409	0.01156153322568956	0.0173217326075269	0.006389437412701625	0.23971726884893066	0.31091760875670993	0.17654595164378142	1.2963216677963372	1.374163541180102	1.2101688891219982	2.62	5.952830188679245	0.0	0.038778832582315306	-0.038778832582315306	N
GSM7980864_PTC-1	200	0.9859473053972125	1.0	0.9859473053972125	0.011765346457573682	0.01906115584238072	0.005472505056102055	0.26888555506303957	0.39356458662209953	0.15644461968997392	1.3457516633158146	1.4556840960632735	1.2079610375894414	3.6557788944723617	7.333333333333333	0.0	0.06565663084481174	-0.06565663084481174	PTC
GSM7980865_PTC-2	200	0.9934792875682836	1.0	0.9934792875682836	0.011535778324104858	0.016201176912559335	0.006971767608075806	0.3372236371905422	0.4418010632733928	0.23914397484868316	1.3993645812184192	1.4697626206402914	1.3189875475759154	5.273869346733668	8.578125	2.5142857142857142	-0.03139750782511161	0.03139750782511161	PTC
GSM7980866_PTC-3	200	0.9958273762164436	1.0	0.9958273762164436	0.012104806995999074	0.017491217489899225	0.007559984515378804	0.346964227391971	0.4547214830128463	0.24325911639595998	1.3890126988282816	1.465328915869377	1.2932205643347388	5.36	8.11320754716981	3.0344827586206895	-0.03370766057146981	0.03370766057146981	PTC
GSM7980867_PTC-4	200	0.9898366848100155	1.0	0.9898366848100155	0.012037437893964	0.017304305469311835	0.007550775277024012	0.3078799524730199	0.4161687503073842	0.1975644779929082	1.3676177047633507	1.4549810095539288	1.2691007547874498	4.603015075376884	7.467213114754099	2.347058823529412	0.02862514568386687	-0.02862514568386687	PTC
GSM7980868_LPTC-1	200	0.9943945784101228	1.0	0.9943945784101228	0.012068943248660875	0.01828131145581484	0.0066808647946874945	0.4040925853851015	0.5868783125097347	0.2025283563290573	1.4162156654740403	1.5182770791797213	1.252160027535915	5.701058201058201	8.807017543859649	2.7641509433962264	-0.05210851698329421	0.05210851698329421	LPTC
GSM7980869_LPTC-2	200	0.9816571366928782	1.0	0.9816571366928782	0.012076780694716321	0.019543813566810807	0.00573619427793292	0.2514545736006811	0.37878891605652626	0.13663833449393967	1.3296264567776763	1.4475730580154504	1.1816635258329742	2.3534031413612566	5.050561797752809	0.0	0.06345559678553854	-0.06345559678553854	LPTC
GSM7980870_LPTC-3	200	0.9855938576888265	1.0	0.9855938576888265	0.012119663495570083	0.01883444314020086	0.006593064031280644	0.29925817545142763	0.4527306721040001	0.15215520570895935	1.3550846933697431	1.47472159262542	1.2041728327315226	4.312820512820513	7.459677419354839	0.0	-0.0014398656303718726	0.0014398656303718726	LPTC
GSM7980871_LPTC-4	200	0.9840708837148767	1.0	0.9840708837148767	0.01100930263744361	0.016729446851792323	0.005835915350748582	0.3017187455203612	0.46253062259859873	0.17306678956743027	1.3467564505100504	1.4635061322332106	1.2118572814318835	3.869109947643979	7.15	0.0	-0.035325093256545995	0.035325093256545995	LPTC
GSM7980872_ATC-1	200	0.9926604432672005	1.0	0.9926604432672005	0.012090013949933986	0.016908276653789977	0.007705865122334333	0.3412503139811587	0.45343214041121654	0.24835713441004914	1.4062135066135584	1.4766450003393936	1.3378199015346888	5.2575	7.279411764705882	3.5555555555555554	0.026021746545372922	-0.026021746545372922	ATC
GSM7980873_ATC-2	200	0.9864912177462143	1.0	0.9864912177462143	0.011359111358440982	0.016159246886153618	0.0069472635073507105	0.375895952902211	0.49094731384215184	0.26706338785188977	1.4327869536032534	1.4966003292808094	1.3583931863668437	4.982233502538071	7.164285714285715	2.3728813559322033	-0.03636162946266007	0.03636162946266007	ATC
GSM7980874_ATC-3	200	0.9964755305525653	1.0	0.9964755305525653	0.012935376574104018	0.018318659503858418	0.008303757870840358	0.390295623507055	0.5514254131150681	0.2723198127302967	1.4340438486617508	1.5133250200429353	1.3547892785921953	5.48	8.349056603773585	3.152542372881356	-0.0047545835072470635	0.0047545835072470635	ATC
GSM7980875_ATC-4	200	0.9957251415676573	1.0	0.9957251415676573	0.012643015348946842	0.01812318047807259	0.007936973352967369	0.3429453499845361	0.47592060600167124	0.24235940067426828	1.4063916115938904	1.4885225692352828	1.3252115220580192	5.305	8.0	2.984126984126984	-0.012063111237118042	0.012063111237118042	ATC
