sample_id	stage	module	feature	n	spearman_r
GSM7980860_N-1	PT	CD8_Teff	B4_tumor_stroma_ratio	200	-0.01196619511720367
GSM7980860_N-1	PT	CD8_Teff	C2_spatial_celltype_entropy	200	-0.004145911950033477
GSM7980860_N-1	PT	CD8_Teff	n_thy	200	0.029142765015887744
GSM7980860_N-1	PT	CD8_Teff	n_fib	200	0.0771289100268275
GSM7980860_N-1	PT	Bplasma	B4_tumor_stroma_ratio	200	-0.04295974446992929
GSM7980860_N-1	PT	Bplasma	C2_spatial_celltype_entropy	200	-0.05145553703423207
GSM7980860_N-1	PT	Bplasma	n_thy	200	0.07692598457914104
GSM7980860_N-1	PT	Bplasma	n_fib	200	0.16926151214054996
GSM7980860_N-1	PT	IFN_gamma	B4_tumor_stroma_ratio	200	0.05407951011354754
GSM7980860_N-1	PT	IFN_gamma	C2_spatial_celltype_entropy	200	0.014105865199674092
GSM7980860_N-1	PT	IFN_gamma	n_thy	200	0.08521423576514912
GSM7980860_N-1	PT	IFN_gamma	n_fib	200	0.0945559829816591
GSM7980860_N-1	PT	M1_M2	B4_tumor_stroma_ratio	200	0.03666271057277791
GSM7980860_N-1	PT	M1_M2	C2_spatial_celltype_entropy	200	0.008725871176974185
GSM7980860_N-1	PT	M1_M2	n_thy	200	0.0469916220955953
GSM7980860_N-1	PT	M1_M2	n_fib	200	0.003459056807409353
GSM7980860_N-1	PT	TLS	B4_tumor_stroma_ratio	200	0.038704626308500065
GSM7980860_N-1	PT	TLS	C2_spatial_celltype_entropy	200	0.022136265638812186
GSM7980860_N-1	PT	TLS	n_thy	200	0.06468406187715199
GSM7980860_N-1	PT	TLS	n_fib	200	0.058536485229727084
GSM7980860_N-1	PT	DM1_like_score	B4_tumor_stroma_ratio	200	-0.26526839092369064
GSM7980860_N-1	PT	DM1_like_score	C2_spatial_celltype_entropy	200	-0.21898169903014597
GSM7980860_N-1	PT	DM1_like_score	n_thy	200	-0.3610433337790572
