a	b	spearman_r	n
CAF	RAI_lineage	-0.3127215711640941	572
CD8	RAI_lineage	-0.15397016220408635	572
TLS	RAI_lineage	-0.3041796138595178	572
M1_M2	RAI_lineage	-0.47402207643723854	572
