ligand	n_slides	med_r	q25	q75
DCN	16	0.2856101488581352	0.2048301197956871	0.35829422762916563
COL1A2	16	0.27920173708656404	0.07127792971700123	0.42408071111143597
SFRP2	16	0.22876722489681472	0.09642935163138387	0.3043196158936641
COL1A1	16	0.1818181419490505	0.059683498284149025	0.4353027996949583
COL3A1	16	0.17794470483626584	0.02670455665595352	0.27809713279717896
LUM	16	0.17523153411997155	0.012027921433992823	0.2808442628118023
BGN	16	0.16650450086304053	0.05793841798391715	0.3889893888212021
SFRP4	15	0.14381938516255713	0.00919190937588155	0.23046818956524912
MMP2	16	0.08108422676841125	-0.013058264173204999	0.11092764771240349
TIMP1	16	0.07326858739351991	-0.02459145346608067	0.18615040626372653
CXCL12	16	0.06509632081335909	-0.022684517465197236	0.1295031487737387
CCL19	16	0.0635076461291535	0.027352641306692058	0.16003700540980542
CCL21	16	0.057067381032558595	-0.029792679951618398	0.15026587038289133
CXCL14	15	0.053072629768319904	-0.033033730767576486	0.12588253073158734
FN1	16	0.04904254327451914	-0.14297567338977582	0.08086545988290364
IL6	15	0.04399550723373251	-0.018495834188230073	0.05814048742216835
FGF7	16	0.03957019237634041	-0.013299964990460787	0.08197542664681354
OSM	11	0.02675827714485724	-0.0014846974098310477	0.04623643527151118
CCL2	16	0.007820449844934877	-0.007287211820116521	0.07928560191435423
CXCL13	14	0.0021219631518488587	-0.01810292320832137	0.03159498813964032
TGFB3	16	0.0020504763731020036	-0.03522234220782863	0.03142742843852128
GREM1	16	-0.0007966313659145319	-0.011758859005485053	0.01400644949685704
IL11	11	-0.009512980370178085	-0.029733287555036632	0.0028434951383179367
MMP9	16	-0.011602164392807913	-0.04178892456137205	0.02874525307931318
PDGFA	16	-0.016632716094921854	-0.05313523831351079	0.03417270595874225
DKK1	10	-0.02100375140963568	-0.0626587502803233	0.008553275301697461
SPP1	16	-0.027852840426669037	-0.08789323502749158	-0.0025920703359901274
BMP4	16	-0.030038454085220267	-0.057597014863908516	0.00535288834334624
TGFB2	16	-0.03010986821115169	-0.05372607265832701	-0.0073589546373154565
WNT5B	16	-0.03135163510957389	-0.043374923909451676	-0.01762464575332646
MMP11	16	-0.03151346332597917	-0.06889415367207535	0.018325931528572134
DKK3	16	-0.03811055523269391	-0.0671291686753763	-0.013208944821301213
FGF2	16	-0.04414030066112801	-0.07174259813415002	0.006914416620278587
LIF	16	-0.04928444152965649	-0.07275475330686794	-0.02329338036191134
TGFB1	16	-0.0561563580880923	-0.11239544399847946	-0.02313597279715701
POSTN	16	-0.05820033329471825	-0.10001759209959073	0.04703752946062792
PDGFB	16	-0.0632963859150425	-0.08335181855361068	-0.018841438050818404
WNT5A	16	-0.06340169529876358	-0.09147256800708309	-0.019550328790519468
TNC	16	-0.07024349360445775	-0.1200935627608117	0.048833066815709925
VEGFC	16	-0.1308242095825369	-0.16130890921867544	-0.10916790043454482
PDGFC	16	-0.14087879846723506	-0.16371732723377158	-0.06869577546945575
BMP7	14	-0.20543355362677407	-0.24549880594465404	-0.18105855694232675
VEGFA	16	-0.2166542293974016	-0.30096048323468794	-0.13397905094568227
