panel	n_genes	tile_size	spearman_r	pearson_r	auroc_top25	elapsed_s	panel_genes
housekeeping	8	224	-0.007757129175500895	0.027101585263534768	0.49806354166666666	5.444616794586182	ACTB,GAPDH,B2M,HPRT1,PPIA,RPL13A,RPLP0,TBP
random_0000	8	224	0.004864304918389151	0.023693030763983818	0.5007697916666667	5.538297414779663	C12orf57,RPL27A,SKP1,REEP5,MRFAP1,MT-CO2,C19orf53,RPS15
random_0001	8	224	-0.016151866079283792	-0.014718887330264012	0.4986260416666667	5.681586265563965	MT-ND4,RPS19,NDUFB2,ID3,CHCHD2,SDF4,NDUFAF3,CST3
random_0002	8	224	-0.007121935876165612	-0.011572470405759712	0.49663385416666667	5.476805925369263	SLC25A3,ATP6V0C,EEF1D,SAT1,NUCKS1,MT-ND2,SRRM2,CALM2
random_0003	8	224	0.02030962387242814	0.013684792417137388	0.5246567708333334	5.401134729385376	CYBA,MT-CYB,RPS19,RPS12,SSR4,UBB,HSPA8,RPL15
random_0004	8	224	0.017193092865536407	0.04785282736859334	0.5207354166666667	5.3666908740997314	HSPA5,TLE5,HLA-DRA,RPL41,ID3,LGALS1,UBE2D3,TMBIM6
random_0005	8	224	-0.009063010406543984	-0.021076369122099786	0.4748817708333333	5.521899223327637	TRMT112,PABPC1,EEF1D,HLA-DRB1,MYL6,COX6A1,RPL11,MT-CO2
random_0006	8	224	-0.0240385903602139	-0.003582956478588065	0.48682916666666665	5.442507982254028	SEC61A1,RPS27A,RPL21,ITM2B,EIF3H,SUMO2,MRFAP1,GLUL
random_0007	8	224	0.02300416044962504	0.03178898876698673	0.5016734375	5.5285186767578125	RPS17,ROMO1,FTH1,RPL28,RPS19BP1,RPS2,OST4,MYL12B
random_0008	8	224	0.0007031748733569212	-0.02822010322548532	0.4979145833333333	5.396831274032593	PCBP1,BRK1,RPL10,MT-CO1,REEP5,MYL12B,RPS15A,SF3B5
random_0009	8	224	0.026036248148071102	0.028467852341292954	0.5203156250000001	5.670912742614746	POLR2I,FTL,ATOX1,MT-CO1,GSN,VIM,DYNLL1,HNRNPDL
random_0010	8	224	-0.02056936797552421	-0.009664918673611316	0.5054505208333333	5.585549831390381	TMBIM6,SERF2,P4HB,FTL,GNB2,CHCHD2,ROMO1,MT-ATP6
random_0011	8	224	0.0046273268679030135	0.011939566575024553	0.5072583333333334	5.6052939891815186	CALD1,HINT1,RPS18,RPS3A,HMGB1,COX7A2,ARF1,CCNI
random_0012	8	224	0.002143251185864373	-0.032536772974718894	0.5005052083333333	5.303973913192749	TOMM7,MT-ND2,IGFBP6,COX7A2,RPL23A,YWHAZ,NDUFA2,COMMD6
random_0013	8	224	0.027019145216713395	0.00699482575126452	0.5063041666666667	5.508779764175415	CD74,NDUFA4,C12orf57,UBB,TMA7,HNRNPA2B1,HNRNPA1,HSPA8
random_0014	8	224	0.006371135265735866	0.009923025897691212	0.4980104166666667	5.4743664264678955	CANX,RPL31,FKBP8,RPL4,RPS20,ENSA,BRK1,MT-ND3
random_0015	8	224	-0.02366953209663399	0.00609416577032168	0.47103645833333335	5.470788955688477	PEBP1,MXRA7,GSTP1,RPS29,APRT,CRIP2,NPC2,SKP1
random_0016	8	224	0.01569800763652418	0.011855516358489436	0.49149999999999994	5.438235282897949	PSMB4,BTF3,RACK1,LMNA,CALR,PET100,CNBP,RPS11
random_0017	8	224	0.01263708631709827	0.02143121496948602	0.5103541666666666	5.508257865905762	COL18A1,PHB2,RPS26,RPL13,CAV2,CRIP1,COX7C,GSN
random_0018	8	224	0.02591657443032953	0.025134127244651826	0.5059484375000001	5.628838062286377	UBA1,MYL12B,NACA,LMNA,COMMD6,ARF1,RPS21,GNAS
random_0019	8	224	-0.021788653128774715	-0.025355282505811226	0.4752322916666667	5.5244691371917725	RPS4X,UBA52,TOMM7,COX6A1,MYL9,FIS1,NME2,PCBP2
random_0020	8	224	-0.014917120231164083	-0.008416375844619371	0.4884604166666666	5.409253358840942	RPS9,OS9,NOP53,GSTP1,CNBP,STUB1,HSP90AB1,ANXA2
random_0021	8	224	0.008589919113571499	-0.01383465007558434	0.4996427083333333	5.386133670806885	RPL36,RPS15,TRAPPC5,RHOA,HLA-A,RPL36A,CD151,PRDX6
random_0022	8	224	0.0011906386660779946	-0.011474859007494693	0.49801666666666666	5.328484058380127	NOP53,RPS4X,MT2A,GUK1,HINT1,S100A13,UBL5,HSPB1
random_0023	8	224	0.013269738844701057	0.017564414455657013	0.5089546875000001	5.492315053939819	TPI1,VIM,COX6C,GRN,ELOB,NEDD8,ATP5MC1,CSDE1
random_0024	8	224	-0.039517091139364365	-0.04171675140465643	0.4831489583333334	5.390008449554443	HINT1,MYL6,CD63,SRP14,SSU72,EEF1B2,NDUFC1,SEC61A1
random_0025	8	224	-0.008042103202353827	-0.002951548326947464	0.5012869791666666	5.614433526992798	TUFM,ERP29,RPL6,IFITM3,AEBP1,TRIR,CALR,RPL37A
random_0026	8	224	0.015314409698672819	0.0021886766829413307	0.5173177083333333	5.611503839492798	RPL35A,RPL41,ATP5MC1,CRIP2,POLR2I,SOD1,DAD1,HSPA8
