stage	gene	n_slides	mean_diff
LPTC	DES	1	0.5786627903580666
LPTC	IGLC7	1	0.5604481101036072
ATC	DES	1	0.4586878716945648
LPTC	CCL19	3	0.4170423484562586
LPTC	MPZ	1	0.415256142616272
LPTC	MYH11	2	0.39110822044312954
LPTC	ACTG2	1	0.3908716216683388
ATC	KRT7	3	0.3825700730085373
PT	CNN1	1	0.3679595459252596
ATC	MYH11	1	0.3679567016661167
LPTC	CNN1	1	0.3652072176337242
ATC	ACTG2	2	0.3538768067955971
ATC	MUSTN1	1	0.35231173411011696
LPTC	PLA2G2A	3	0.34888408829768497
PT	MYH11	2	0.3444571942090988
PT	MUSTN1	2	0.3421813389286399
PTC	IRF8	1	0.34106530994176865
PTC	MS4A1	1	0.3321779668331146
LPTC	CFD	4	0.3301850896095857
ATC	CFD	2	0.3138621300458908
PT	DES	2	0.3067197575146565
ATC	MYL9	4	0.3048557825386524
ATC	CD24	2	0.29814817011356354
PT	LTF	1	0.29513275623321533
PTC	ADAMTS1	1	0.29502877965569496
PTC	DUSP2	1	0.29398851096630096
LPTC	MT3	1	0.29375220835208893
ATC	LAMP5	1	0.2936365008354187
LPTC	HMCN2	1	0.2933126129209995
ATC	KRT18	4	0.2879186123609543
PTC	KRT17	1	0.2874709442257881
ATC	CNN1	2	0.2856867811642587
ATC	HMOX1	2	0.28442944725975394
PT	PPP1R14A	2	0.2823532286856789
ATC	ACTA2	3	0.2817331328988075
LPTC	TNXB	3	0.2816384236017863
LPTC	CCL21	3	0.27979514623681706
LPTC	SAA1	2	0.278991446364671
ATC	CST2	1	0.2752305082976818
LPTC	KRT6B	1	0.2723368061706424
LPTC	DPEP1	1	0.26715339347720146
LPTC	JCHAIN	2	0.26610180735588074
PTC	POU2AF1	1	0.25722818076610565
PT	TPM2	4	0.2566734733991325
PT	ACTA2	4	0.2560752893332392
PT	ADAMTS1	1	0.254541365429759
PTC	COL10A1	1	0.2524624690413475
ATC	HSPA1A	4	0.2522592768073082
ATC	LAMC2	3	0.24914267659187317
LPTC	COL3A1	4	0.24795569106936455
LPTC	LMOD1	1	0.2477165162563324
LPTC	COL1A1	4	0.2447633035480976
ATC	HSPA1B	4	0.24474783794721588
PTC	CD79B	1	0.2444802224636078
ATC	POSTN	4	0.24414938688278198
PT	C11orf96	3	0.24222134973388165
ATC	PLTP	4	0.24183343350887299
ATC	TPM2	4	0.2417875938117504
LPTC	COL1A2	4	0.24049898236989975
LPTC	PRX	1	0.23589246720075607
PTC	COL12A1	1	0.23583626002073288
LPTC	FLNC	1	0.23296093195676804
LPTC	MUSTN1	2	0.22953013330698013
ATC	SPINT2	3	0.2291988618671894
PTC	IGLC7	1	0.22913381457328796
ATC	ATP1B1	2	0.22817447036504745
LPTC	CILP2	2	0.22406657319515944
PTC	NR4A2	1	0.22392785549163818
LPTC	IGHG2	2	0.22290057688951492
ATC	KRT8	4	0.22274275124073029
LPTC	IGHM	2	0.2224387601017952
LPTC	PTGDS	2	0.22151606157422066
LPTC	COL6A2	4	0.22056380845606327
LPTC	MIA	1	0.21979805082082748
ATC	SAT1	4	0.21859212324488908
ATC	MMP7	1	0.21856028586626053
PT	TAGLN	4	0.21824131160974503
LPTC	SMTN	1	0.21817520604236051
PTC	CD83	1	0.21770019829273224
ATC	H19	3	0.2176547423005104
ATC	CST4	1	0.21692154556512833
PT	IGHG2	1	0.21648243069648743
LPTC	FBLN1	4	0.21528268791735172
PTC	PCED1B-AS1	1	0.21389548480510712
PTC	TRAC	1	0.21290793269872665
PTC	CD53	1	0.21287928521633148
LPTC	CCL4	1	0.21202829852700233
LPTC	DCN	4	0.2106655091047287
LPTC	S100B	2	0.21019872277975082
LPTC	KRT5	1	0.20959554240107536
PTC	ACTA2	4	0.20923805655911565
PTC	CSTA	1	0.208685040473938
LPTC	IGLC1	3	0.20837855835755667
ATC	ZFAS1	4	0.20791824534535408
LPTC	MZB1	2	0.20738779567182064
LPTC	IGHG4	3	0.206259419520696
ATC	KRT19	2	0.20596040785312653
LPTC	C11orf96	2	0.20561116375029087
ATC	SLIT3	1	0.20546220988035202
ATC	PPP1R14A	2	0.20292181381955743
PTC	MFAP5	1	0.20194564387202263
LPTC	LAMA3	1	0.20118860993534327
LPTC	APOD	4	0.19661959912627935
LPTC	SPARC	4	0.19645295105874538
LPTC	AEBP1	4	0.19624591618776321
LPTC	PDLIM3	1	0.19591913372278214
LPTC	PCOLCE	4	0.19552958663553
LPTC	IGHA2	1	0.19344067573547363
ATC	OCIAD2	4	0.18921123445034027
ATC	MYLK	4	0.1887826845049858
ATC	CST1	2	0.18845060467720032
LPTC	C1R	4	0.1877570440992713
LPTC	IGHG3	4	0.1872708909213543
LPTC	HSPB6	1	0.18612097343429923
LPTC	FABP4	1	0.18558967113494873
ATC	ITGB6	1	0.1854293756186962
LPTC	TAGLN	4	0.18523831479251385
PTC	CR2	1	0.18479123711585999
LPTC	LUM	4	0.18252922222018242
LPTC	HBA2	3	0.1791700671116511
LPTC	PI16	1	0.17914801090955734
LPTC	SERPING1	4	0.17892512422986329
