stage	module	feature	n	median_r
ATC	Bplasma	B4_tumor_stroma_ratio	4	0.006928958735378604
ATC	Bplasma	B5_thyrocyte_cluster_med	3	-0.05977353130682079
ATC	Bplasma	C2_spatial_celltype_entropy	4	0.024542646511750053
ATC	Bplasma	n_fib	4	-0.13242389647992764
ATC	Bplasma	n_thy	4	-0.14064031266945048
ATC	CAF_ECM_score	B4_tumor_stroma_ratio	4	-0.0525812743564877
ATC	CAF_ECM_score	B5_thyrocyte_cluster_med	3	-0.038766790164436106
ATC	CAF_ECM_score	C2_spatial_celltype_entropy	4	-0.038197887618703734
ATC	CAF_ECM_score	n_fib	4	-0.03532475170513436
ATC	CAF_ECM_score	n_thy	4	-0.029293957515212216
ATC	CD8_Teff	B4_tumor_stroma_ratio	4	7.508265401984238e-05
ATC	CD8_Teff	B5_thyrocyte_cluster_med	3	0.04297859070300539
ATC	CD8_Teff	C2_spatial_celltype_entropy	4	-0.022765281203774697
ATC	CD8_Teff	n_fib	4	0.004484181189123811
ATC	CD8_Teff	n_thy	4	-0.020211824777231192
ATC	DM1_like_score	B4_tumor_stroma_ratio	4	-0.03867025605145995
ATC	DM1_like_score	B5_thyrocyte_cluster_med	3	0.029989591393874488
ATC	DM1_like_score	C2_spatial_celltype_entropy	4	0.009324133693786565
ATC	DM1_like_score	n_fib	4	-0.05613986527688007
ATC	DM1_like_score	n_thy	4	-0.029804270549203364
ATC	EMT_score	B4_tumor_stroma_ratio	4	0.07945214863873135
ATC	EMT_score	B5_thyrocyte_cluster_med	3	0.033648143843296674
ATC	EMT_score	C2_spatial_celltype_entropy	4	0.043455118105148044
ATC	EMT_score	n_fib	4	0.09712480066736749
ATC	EMT_score	n_thy	4	0.08847517767476175
ATC	Epithelial_score	B4_tumor_stroma_ratio	4	0.02831240593826155
ATC	Epithelial_score	B5_thyrocyte_cluster_med	3	0.025458410231053157
ATC	Epithelial_score	C2_spatial_celltype_entropy	4	-0.007116565906337302
ATC	Epithelial_score	n_fib	4	0.19568553225811236
ATC	Epithelial_score	n_thy	4	0.208417896657552
ATC	Hypoxia_score	B4_tumor_stroma_ratio	4	0.03546299009433539
ATC	Hypoxia_score	B5_thyrocyte_cluster_med	3	0.022796875604313416
ATC	Hypoxia_score	C2_spatial_celltype_entropy	4	0.015452882210806
ATC	Hypoxia_score	n_fib	4	0.11201890431263364
ATC	Hypoxia_score	n_thy	4	0.12679716069422747
ATC	IFN_gamma	B4_tumor_stroma_ratio	4	0.017880152187372232
ATC	IFN_gamma	B5_thyrocyte_cluster_med	3	0.004037800819345632
ATC	IFN_gamma	C2_spatial_celltype_entropy	4	-0.0008500552239496702
ATC	IFN_gamma	n_fib	4	0.08076827064494704
ATC	IFN_gamma	n_thy	4	0.10081413516373243
ATC	M1_M2	B4_tumor_stroma_ratio	4	-0.023469424196882707
ATC	M1_M2	B5_thyrocyte_cluster_med	3	-0.07379436165632089
ATC	M1_M2	C2_spatial_celltype_entropy	4	-0.03100978203905827
ATC	M1_M2	n_fib	4	-0.06466795137024489
ATC	M1_M2	n_thy	4	-0.06440999515589554
ATC	Proliferation_score	B4_tumor_stroma_ratio	4	0.04080989868066232
ATC	Proliferation_score	B5_thyrocyte_cluster_med	3	-0.01568476408035901
ATC	Proliferation_score	C2_spatial_celltype_entropy	4	0.0079033190241137
ATC	Proliferation_score	n_fib	4	0.17314238697576703
ATC	Proliferation_score	n_thy	4	0.10706059440945948
ATC	RAI_8_score	B4_tumor_stroma_ratio	4	0.03867025605145995
ATC	RAI_8_score	B5_thyrocyte_cluster_med	3	-0.029989591393874488
ATC	RAI_8_score	C2_spatial_celltype_entropy	4	-0.009324133693786565
ATC	RAI_8_score	n_fib	4	0.05613986527688007
ATC	RAI_8_score	n_thy	4	0.029804270549203364
ATC	TLS	B4_tumor_stroma_ratio	4	-0.08549521857546537
ATC	TLS	B5_thyrocyte_cluster_med	3	-0.0045865612574891666
ATC	TLS	C2_spatial_celltype_entropy	4	-0.06979100570265039
ATC	TLS	n_fib	4	0.012386608380528793
ATC	TLS	n_thy	4	-0.06458195725778762
LPTC	Bplasma	B4_tumor_stroma_ratio	4	-0.14326260898020862
LPTC	Bplasma	C2_spatial_celltype_entropy	4	-0.11986607619095699
LPTC	Bplasma	n_fib	4	-0.2432834263982257
LPTC	Bplasma	n_thy	4	-0.2692745331863653
LPTC	CAF_ECM_score	B4_tumor_stroma_ratio	4	-0.05724523578137804
LPTC	CAF_ECM_score	C2_spatial_celltype_entropy	4	-0.011730990637020527
LPTC	CAF_ECM_score	n_fib	4	-0.15762681076775864
LPTC	CAF_ECM_score	n_thy	4	-0.1792393096285932
LPTC	CD8_Teff	B4_tumor_stroma_ratio	4	0.10564267904731736
LPTC	CD8_Teff	C2_spatial_celltype_entropy	4	0.106664448069553
LPTC	CD8_Teff	n_fib	4	0.024533483025475897
LPTC	CD8_Teff	n_thy	4	0.05099148283002858
LPTC	DM1_like_score	B4_tumor_stroma_ratio	4	-0.27694457725108834
LPTC	DM1_like_score	C2_spatial_celltype_entropy	4	-0.2927228183622397
LPTC	DM1_like_score	n_fib	4	-0.2487708930674919
LPTC	DM1_like_score	n_thy	4	-0.2906307758014709
LPTC	EMT_score	B4_tumor_stroma_ratio	4	0.13800547508834876
LPTC	EMT_score	C2_spatial_celltype_entropy	4	0.12101047673997498
LPTC	EMT_score	n_fib	4	0.11225808174091001
LPTC	EMT_score	n_thy	4	0.19791198001795618
LPTC	Epithelial_score	B4_tumor_stroma_ratio	4	0.15550072662526676
LPTC	Epithelial_score	C2_spatial_celltype_entropy	4	0.12961684890843264
LPTC	Epithelial_score	n_fib	4	0.15135747380893555
LPTC	Epithelial_score	n_thy	4	0.2246497773185286
LPTC	Hypoxia_score	B4_tumor_stroma_ratio	4	0.19465007834862966
LPTC	Hypoxia_score	C2_spatial_celltype_entropy	4	0.19124897375892408
LPTC	Hypoxia_score	n_fib	4	0.16380496798585725
LPTC	Hypoxia_score	n_thy	4	0.19159517901181533
LPTC	IFN_gamma	B4_tumor_stroma_ratio	4	0.027328319674735282
LPTC	IFN_gamma	C2_spatial_celltype_entropy	4	0.04198078525324851
LPTC	IFN_gamma	n_fib	4	0.20550205597473614
LPTC	IFN_gamma	n_thy	4	0.12757356803962894
LPTC	M1_M2	B4_tumor_stroma_ratio	4	-0.007845205005350627
LPTC	M1_M2	C2_spatial_celltype_entropy	4	0.049225445131760706
LPTC	M1_M2	n_fib	4	-0.08129633836165216
LPTC	M1_M2	n_thy	4	-0.04061900863641453
LPTC	Proliferation_score	B4_tumor_stroma_ratio	4	0.10595250268942599
LPTC	Proliferation_score	C2_spatial_celltype_entropy	4	0.10490794483117659
LPTC	Proliferation_score	n_fib	4	0.2058561056433756
LPTC	Proliferation_score	n_thy	4	0.14927167155407073
